Sample M4,,
Time (min),Intensity (a.u.),
0.0008333333535,284.0748596,
0.002500000177,271.5067139,
0.004166666884,274.3122559,
0.005833333358,290.875885,
0.007500000298,277.9360046,
0.009166667238,303.20224,
0.01083333418,302.8497925,
0.01250000019,271.5046387,
0.01416666713,290.4344788,
0.01583333313,262.245697,
0.01750000194,288.3536377,
0.01916666701,260.3126221,
0.02083333395,289.645874,
0.02250000089,285.2076416,
0.02416666783,306.7079163,
0.02583333477,296.8100281,
0.02749999985,274.8559265,
0.02916666679,252.1118622,
0.03083333373,304.7147217,
0.03250000253,306.0089417,
0.03416666761,320.4178467,
0.03583333641,284.7180481,
0.03750000149,310.5053101,
0.03916667029,266.5533752,
0.04083333537,279.2131348,
0.04250000045,284.4872131,
0.04416666925,284.9753723,
0.04583333433,264.0028992,
0.04750000313,293.4507446,
0.04916666821,310.9386597,
0.05083333328,320.188324,
0.05250000209,272.8536987,
0.05416666716,319.8688354,
0.05583333597,284.9279175,
0.05750000104,276.4154053,
0.05916666612,264.7086792,
0.06083333492,312.7686462,
0.0625,276.2601318,
0.06416667253,287.3925476,
0.0658333376,292.9266663,
0.06750000268,281.6192627,
0.06916666776,285.9822083,
0.07083333284,297.7216492,
0.07249999791,320.6147766,
0.07416667044,273.6280518,
0.07583333552,300.4668884,
0.0775000006,268.3934937,
0.07916666567,290.08255,
0.08083333075,271.3833923,
0.08250000328,302.7241516,
0.08416666836,255.3516541,
0.08583333343,266.6152344,
0.08749999851,293.1801147,
0.08916666359,295.8074036,
0.09083333611,286.4802551,
0.09250000119,280.6383972,
0.09416666627,288.7980652,
0.09583333135,299.8887939,
0.09749999642,300.682373,
0.09916666895,264.1074219,
0.100833334,302.8847046,
0.1024999991,279.2074585,
0.1041666642,304.6660156,
0.1058333293,266.7445984,
0.1075000018,306.5650024,
0.1091666669,302.9087524,
0.1108333319,285.8362122,
0.112499997,284.4367676,
0.1141666621,264.5162048,
0.1158333346,330.460083,
0.1174999997,289.1781616,
0.1191666648,292.9481201,
0.1208333299,290.3792419,
0.1224999949,289.9670715,
0.1241666749,274.9021912,
0.1258333325,267.9633484,
0.1274999976,325.7438965,
0.1291666627,308.7401428,
0.1308333278,268.7582092,
