Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,132.5338135,0.02170833386,102.7325592,0.04308333248,151.7145844,0.0638749972,160.6554871,0.0845208317,107.7138748,0.1054583341,584.0875244,
1.000833273,135.2342529,1.021687508,102.5137177,1.042520881,160.552887,1.064416647,164.4573669,1.085270762,106.184166,1.106104136,586.8736572,
2.000833273,133.6905365,2.021833181,105.3202362,2.042687416,167.0761414,2.063499928,169.358017,2.085020781,111.0986938,2.106520891,592.2839966,
3.000833273,134.4432678,3.020416737,105.5609283,3.042333126,168.8830566,3.063166618,172.4848022,3.085021019,111.8047485,3.105854273,588.7937012,
4.000833511,134.2646942,4.022000313,110.897377,4.042853832,171.1437836,4.063666821,173.7257996,4.084541798,105.8556671,4.106500149,577.222229,
5.000833035,138.9112091,5.021020889,107.6780167,5.042500019,168.3417206,5.064353943,175.0838013,5.085187435,110.3628159,5.106041431,585.8110352,
6.000833035,141.6445007,6.023208141,111.8010254,6.044166565,176.8715057,6.066020489,178.7528076,6.086853981,110.3101654,6.107687473,586.2166748,
7.000833035,142.8067932,7.020833492,110.2014542,7.042582989,169.8771667,7.063520908,181.1565704,7.083854198,109.8115997,7.105750084,649.0582275,
8.000833511,143.7162781,8.021687508,113.8725815,8.042208672,169.8512573,8.063854218,173.5973511,8.084666252,108.7033539,8.106520653,645.1203003,
9.000833511,142.9973297,9.022541046,112.0928116,9.043209076,176.1196442,9.063854218,177.1789856,9.085833549,107.1951294,9.106520653,631.677063,
10.00083351,140.1791687,10.02118778,115.4383469,10.04200077,179.1271667,10.06385422,177.531723,10.08468723,108.4145355,10.10552025,623.4602051,
11.00083351,136.8600159,11.020854,117.2203217,11.04260445,176.8735809,11.06337452,179.9393311,11.08500004,107.3744049,11.10585403,631.7440796,
12.00083351,140.4915314,12.02133369,115.2441711,12.04318714,172.0351563,12.0640831,176.2818909,12.08500004,107.4361496,12.10583305,627.0213623,
13.00083351,143.6798859,13.0217495,117.8751907,13.04349995,180.5460205,13.06433296,178.2505341,13.08618736,111.4432983,13.10704136,614.1211548,
14.00083351,141.3171997,14.0218544,112.7374496,14.04343796,174.5865631,14.06416607,176.8326721,14.08566666,108.1563644,14.10616684,621.4641113,
15.00083351,139.686554,15.02220821,114.814621,15.04310417,180.9057922,15.06466675,179.7562866,15.08549976,108.8201904,15.10654163,606.8190308,
16.00083351,136.1765442,16.02060509,116.2754211,16.04135513,181.4330292,16.06283379,176.5774078,16.08410454,105.7452698,16.10566711,603.8067627,
17.00083351,143.562561,17.0218544,114.7626343,17.04193687,181.2893219,17.06285477,179.5399628,17.08418846,112.4491425,17.1048336,600.8468018,
18.00083351,136.7835083,18.0221653,115.8740311,18.04316521,181.3228607,18.06468773,173.1737061,18.08633423,110.2599945,18.10737419,599.5789185,
19.00083351,138.8829651,19.02041626,115.4220123,19.04216766,182.368927,19.06350136,178.4052582,19.08441544,106.8851852,19.10549927,605.0026245,
