Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,Sample C6,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,413.1933899,0.02174999937,385.1549072,0.04366666451,336.9403687,0.06408333033,357.3764343,0.08599999547,258.6596985,0.1068333313,443.1701965,
1.000833273,417.9181213,1.02079165,393.7150269,1.042562485,330.2504883,1.063291669,358.7599792,1.084125042,257.1703796,1.104958296,446.6281128,
2.000833273,420.7613831,2.021458387,392.2331238,2.043208361,323.9135742,2.063916683,364.3165588,2.085583448,260.5398865,2.106416702,448.5387268,
3.000833273,414.6030884,3.021041632,395.8603821,3.041874886,329.8091125,3.063750029,358.7051392,3.085645914,261.080719,3.106479168,452.9347534,
4.000833511,413.5751953,4.021625042,397.6721802,4.043083668,324.7871704,4.064791679,360.886261,4.083541393,258.5727844,4.104395866,446.0507813,
5.000833035,419.9429321,5.021458626,403.1708374,5.042375088,329.8973389,5.063250065,362.3793335,5.083916664,259.8932495,5.10581255,445.1836853,
6.000833035,421.0600891,6.020416737,405.6768494,6.042375088,337.7350769,6.06320858,367.0732727,6.084042072,263.3190308,6.104875088,444.9467163,
7.000833035,419.9069824,7.021062851,403.3344727,7.042958736,326.2546997,7.063791752,360.8475647,7.084625244,258.1591797,7.105458736,453.9092712,
8.000833511,420.6551208,8.021291733,409.2881165,8.042208672,330.0309753,8.063041687,358.4756775,8.083874702,260.5748596,8.104708672,453.2893372,
9.000833511,423.7001648,9.022145271,407.8056641,9.04287529,329.90271,9.064416885,356.6739197,9.085249901,260.4237976,9.106145859,447.8158569,
10.00083351,420.1364136,10.02172947,411.2228699,10.04364586,332.9609985,10.0645628,353.7798157,10.08491611,261.4346924,10.10672951,448.0224609,
11.00083351,420.8304138,11.02054119,414.3832092,11.0425415,330.2426758,11.06422901,356.6737366,11.08491611,258.4222412,11.10581303,442.3240967,
12.00083351,419.1292419,12.02172947,411.5622864,12.04256248,333.2549438,12.06324959,356.6124573,12.0840826,262.0170593,12.10491657,440.9436035,
13.00083351,418.0036316,13.0215826,419.1957397,13.04347897,329.8098755,13.06431293,352.3060608,13.08520794,260.0696716,13.10604191,447.6896973,
14.00083351,418.336853,14.0204792,418.104126,14.04237461,330.5262756,14.06406212,362.0335388,14.08454227,262.2351685,14.10537529,438.5308838,
15.00083351,415.3880005,15.0209589,411.4790649,15.04158306,329.1729126,15.06306267,351.1509094,15.08406258,266.1519775,15.10506248,447.5402832,
16.00083351,420.3722839,16.0220623,418.8917847,16.04264641,325.6699829,16.06354141,352.0227661,16.08529091,262.2071533,16.10591698,440.3591309,
17.00083351,405.5065613,17.02145767,420.3850708,17.04214668,333.0757446,17.06337547,351.8120117,17.08397865,263.8899841,17.10570908,438.4067688,
18.00083351,409.5452881,18.02095795,419.7666626,18.04270744,332.4030151,18.06354141,354.7116089,18.08489609,262.4926147,18.10556221,444.574646,
19.00083351,408.8769836,19.02120781,417.7679443,19.04297829,336.7392273,19.0638752,351.0664673,19.08506203,267.5164795,19.10670853,429.9520874,
20.00083351,415.8522339,20.02103996,423.4285278,20.04272842,333.6106567,20.0640831,351.594696,20.08356285,266.5249939,20.10420799,439.2915344,
21.00083351,411.9839783,21.02272987,416.5671692,21.04323006,331.4856567,21.0647068,348.4961548,21.08539581,266.8219299,21.10691643,438.0819702,
22.00083351,410.5726318,22.02075005,418.4226074,22.0422287,334.5669861,22.06370926,348.8000183,22.08422852,264.9711304,22.10581207,439.4498291,
23.00083351,415.0821228,23.02156258,431.3639221,23.04306221,341.3606262,23.06370926,348.9305725,23.08556366,331.8493958,23.10637474,443.6104126,
24.00083351,405.1083679,24.02137375,421.8808594,24.04195786,334.4940186,24.06372833,342.0896912,24.08508301,334.8013611,24.10573006,437.1461487,
25.00083351,407.7416382,25.02222824,424.2867126,25.04270744,341.1091614,25.06424904,343.5690308,25.08579063,332.3967896,25.10664749,435.3446655,
26.00083351,412.3484497,26.02087402,419.2189026,26.04220772,336.195343,26.06347847,344.644989,26.08429146,330.0429993,26.10562515,433.1519165,
27.00083351,408.1876831,27.02054214,423.8682861,27.04189682,337.6366882,27.06347847,348.8633728,27.08489609,328.7581177,27.10529137,421.8179932,
28.00083351,406.9645386,28.02139473,430.9179382,28.04297829,336.9159546,28.06356239,348.4135742,28.08320999,322.4865417,28.10406303,424.9398499,
29.00083351,405.8353577,29.02197838,426.5483093,29.04372978,338.4523926,29.06404305,348.2395935,29.08575058,325.4961548,29.10772896,431.257019,
