Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,Sample A3_Ex465_Em530,,Sample A3_Ex465_Em590,,Sample A4_Ex465_Em530,,Sample A4_Ex465_Em590,,Sample A5_Ex465_Em530,,Sample A5_Ex465_Em590,,Sample A6_Ex465_Em530,,Sample A6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,179.9359894,0.0046666665,319.2221375,0.0255833324,150.3939972,0.02943750098,258.0588074,0.05124999955,176.1894379,0.05510416999,316.5840759,0.07624999434,143.9758606,0.08010416478,302.7499695,0.1023124978,157.0350342,0.1061666682,350.2293091,0.1284166723,153.0564117,0.1322708428,325.16745,
1.000833273,220.0198822,1.004750013,314.7903137,1.027333379,177.0433807,1.03125,250.7105713,1.053145885,196.5483246,1.057062507,313.7633057,1.077937484,153.9641418,1.081854105,298.6504517,1.101937532,164.6062469,1.105854154,349.1356201,1.126937509,164.2459259,1.13085413,307.5559998,
2.000833273,226.059433,2.004750013,305.8766479,2.026020765,184.2531738,2.029916525,255.9406128,2.051104307,204.0530396,2.055020809,305.2860107,2.076104164,159.4362335,2.080020666,304.4036255,2.101437569,168.7062531,2.105354071,346.3527832,2.126270771,168.5611877,2.130187511,307.7258606,
3.000833273,236.0374451,3.004750013,303.044281,3.026104212,191.0812836,3.030020952,244.3314514,3.050937414,204.6607361,3.054854155,300.7678528,3.076437473,165.0114899,3.080353975,312.9593506,3.101270914,182.8123627,3.105187416,353.3979187,3.127104282,168.039093,3.131020784,301.4533997,
4.000833511,235.3955841,4.004729271,300.0560303,4.027437687,189.7853851,4.031354427,242.615036,4.052937508,205.4918671,4.056854248,300.0632324,4.077937603,163.3939667,4.081854343,303.2067566,4.10341692,177.787796,4.107333183,344.6915283,4.129166603,173.6078644,4.133083344,302.3641663,
5.000833035,230.6955872,5.004750252,302.5347595,5.02575016,200.2363281,5.029666424,249.1537781,5.050750256,218.1785889,5.054666519,303.5226135,5.075750351,168.5257416,5.079666615,298.8700562,5.10077095,184.9505005,5.104687691,341.0926819,5.126770973,175.2115326,5.130687237,305.2669983,
6.000833035,242.4734039,6.004750252,296.5701294,6.025916576,187.4479675,6.029833317,246.9655304,6.050937176,215.170166,6.054854393,302.2081909,6.076333046,170.5223999,6.080250263,303.8570862,6.100937366,188.1126251,6.104854107,345.8659363,6.125937462,169.8059235,6.129854202,302.6116638,
7.000833035,237.9361115,7.004750252,306.6237793,7.026437283,194.8236847,7.0303545,238.9088898,7.05202055,219.717926,7.055937767,298.2201538,7.077083111,178.1445923,7.080999851,307.2453308,7.102499962,192.1089935,7.106416702,344.0786438,7.127604008,177.8059082,7.131520748,296.5846252,
8.000833511,242.3005066,8.004750252,300.9309387,8.02593708,195.7524872,8.029854774,240.2132721,8.05077076,216.490036,8.0546875,298.0092773,8.075771332,178.6718445,8.079687119,310.3155518,8.10077095,191.0879059,8.104729652,346.9248352,8.125771523,182.2745972,8.129687309,300.2115784,
9.000833511,238.1954803,9.004749298,292.9560547,9.026604652,202.3596954,9.030520439,244.6419983,9.051520348,223.066391,9.055417061,304.2967529,9.076582909,182.9723816,9.080500603,312.3967285,9.101437569,194.9700775,9.105353355,346.5035095,9.12660408,183.1006012,9.130520821,299.4008789,
10.00083351,234.585968,10.0047493,301.5888977,10.02543736,203.8751984,10.0293541,241.0556641,10.05147934,220.4724426,10.05539513,305.5593872,10.07597923,187.7918091,10.07989597,321.391449,10.10043716,199.0703888,10.1043539,337.7479248,10.12652111,180.2760468,10.13041687,295.8692627,
11.00083351,244.0677795,11.0047493,297.1039124,11.02514553,198.7175751,11.02906322,240.1165009,11.05125046,217.9127502,11.05516624,294.3230591,11.07593822,189.4149017,11.07985401,326.4980469,11.10177135,201.158493,11.10568714,337.1105042,11.12660408,187.5514679,11.13052082,292.4640503,
12.00083351,251.8394623,12.0047493,303.7167358,12.02593803,206.1822968,12.02985477,247.1729736,12.05160427,211.5230865,12.05552101,306.150177,12.07660389,180.3016357,12.08052063,312.7958069,12.10260391,204.375061,12.10652065,345.5403748,12.12760448,182.609024,12.13152027,287.7804565,
13.00083351,253.5715027,13.0047493,295.2976074,13.0265007,203.4841766,13.03041649,246.5439606,13.05193806,221.5589905,13.05585384,294.9042969,13.07693768,184.2151642,13.08085442,313.3665466,13.10193825,209.5845337,13.10585403,342.7989197,13.12800026,184.6803436,13.13191605,295.1847534,
14.00083351,258.5775146,14.0047493,293.9132996,14.02660465,200.9451447,14.03052044,242.6548004,14.05160427,217.5986481,14.05552101,298.0374756,14.07727051,183.5582275,14.0811882,310.3453369,14.10233402,208.0273743,14.10624981,322.7220459,14.12816715,183.9090271,14.13208294,294.2467346,
15.00083351,249.1467133,15.0047493,299.9132996,15.02608299,206.1079712,15.02999973,242.9405975,15.05058289,228.863739,15.05450058,293.9964294,15.076334,187.834549,15.08024979,311.8574524,15.1021452,191.6452026,15.10606289,307.8888855,15.126688,185.1688385,15.13058376,289.8449097,
16.00083351,254.7380676,16.0047493,293.1651917,16.02599907,203.0076294,16.02991676,241.3722839,16.05160332,218.7203217,16.05552101,283.5802612,16.07691574,195.0961304,16.08083344,316.9659729,16.10260391,189.947525,16.1065197,305.9916687,16.12825012,189.4293976,16.13216591,291.9597473,
17.00083351,255.8194427,17.0047493,301.149353,17.02616692,200.8328705,17.0300827,241.4794617,17.04964638,222.6739197,17.05356216,285.4766846,17.0752697,193.439743,17.07918739,314.1294556,17.09902191,184.0623779,17.10291672,292.1038818,17.12366676,191.1685638,17.12758446,299.3529053,
18.00083351,252.2833099,18.00475121,290.9099121,18.02693748,204.7822876,18.03085327,245.8936157,18.05033302,225.6538696,18.05425072,299.0941162,18.07577133,195.0298615,18.07968712,321.3882141,18.10060501,184.2373352,18.1045208,282.2162476,18.12577057,188.1325684,18.12968826,302.6390076,
19.00083351,248.4932098,19.00475121,309.4844055,19.02518654,197.3965149,19.02908325,242.2745514,19.05060387,226.6146088,19.05452156,288.9100647,19.07593727,197.3755646,19.07985497,316.1965332,19.10100174,181.6065521,19.10491753,283.3548889,19.1264782,186.0336456,19.13039589,292.0296021,
20.00083351,256.7976074,20.00475121,300.8942566,20.02593803,205.3603668,20.02985382,237.7992706,20.05075073,221.3539429,20.0546875,293.4701843,20.07631302,196.013504,20.08022881,315.967804,20.10143852,174.9442291,20.10535431,279.3375549,20.12710381,182.0923615,20.13101959,300.8998718,
21.00083351,254.8485107,21.00475121,308.1363525,21.02610397,206.3666382,21.03002167,239.9181061,21.0514164,218.4437714,21.05533218,282.5913391,21.07614517,202.5510101,21.08006096,312.5578003,21.10227013,181.4304199,21.10618782,270.9012451,21.12808418,187.2177582,21.13199997,284.1702881,
22.00083351,253.422348,22.00475121,304.8912659,22.02514648,198.5895233,22.02906227,238.5589752,22.05058479,228.0960236,22.05450058,285.6212463,22.07577133,200.8423462,22.07968712,315.1754456,22.10193634,181.6881409,22.10585403,275.7012024,22.12726974,192.1998749,22.13118744,298.2064514,
23.00083351,249.1521606,23.00475121,305.012085,23.02643776,209.9494171,23.03035545,238.1395264,23.05143929,229.1833649,23.05535507,281.7309265,23.07693672,199.8547974,23.08085251,318.654541,23.10227013,173.2460022,23.10618782,269.1792297,23.12793732,188.8679962,23.13185501,294.2415161,
24.00083351,247.9029388,24.00475121,291.1213989,24.02560425,205.2726288,24.02952003,234.0275879,24.05127144,217.6160736,24.05518723,283.1054688,24.07693672,200.7457428,24.08085251,320.0910034,24.10233307,173.1655273,24.10625076,264.0919189,24.12768745,190.4715424,24.13158417,292.9736328,
25.00083351,248.3791504,25.00475121,305.6633301,25.02614594,207.7008057,25.03006172,240.9371948,25.0511055,226.9548492,25.05502129,285.870697,25.07724953,208.5453339,25.08116722,324.3160706,25.10064507,168.2119446,25.10456276,253.5550537,25.1262722,194.0053864,25.13018799,301.6087036,
26.00083351,256.03302,26.00475121,306.8497314,26.0266037,210.3526611,26.03052139,233.6633606,26.05176926,223.7154694,26.05568886,287.1409912,26.07731247,207.0892334,26.08123016,329.9746094,26.10243797,176.6452332,26.10635376,263.80896,26.12660408,191.7207947,26.13052177,300.7631531,
27.00083351,248.9653168,27.00475121,309.4014282,27.02627182,210.8964081,27.03018761,235.0427094,27.05143929,220.7719116,27.05535507,287.9649048,27.0768528,204.4530487,27.08074951,319.4382019,27.1021862,174.6453705,27.10608292,262.4197388,27.12708282,198.8934021,27.13100052,297.9429321,
28.00083351,250.1496124,28.00475121,304.1950989,28.02610397,211.5447998,28.03002167,234.6145935,28.0511055,223.5784454,28.05502129,283.8780823,28.07660294,205.7041779,28.08052254,314.6104431,28.10149956,166.9424133,28.10541534,252.9528198,28.12726974,192.5069122,28.13118744,299.0919495,
29.00083351,253.9518127,29.00475121,300.2593689,29.02700043,212.0219879,29.03091621,240.1628265,29.05243683,220.9967651,29.05635452,280.8947754,29.07775116,207.7156372,29.08166695,306.1812744,29.10241699,165.9348907,29.10633278,250.9804077,29.12793732,195.4180603,29.13185501,295.3465271,
30.00083351,253.3033447,30.00475121,294.7338562,30.02566719,212.7976685,30.02958298,231.4379272,30.05147934,224.5686035,30.05539513,282.4748535,30.07752037,212.1839905,30.08141708,308.2128906,30.10193634,170.9587402,30.10585403,251.2463379,30.12743759,196.1529541,30.13139725,298.1870728,
31.00083351,251.6383514,31.00475121,290.9497681,31.02610397,205.6857147,31.03002167,238.992691,31.05181313,224.2148743,31.05572891,287.6239319,31.07658195,206.3703003,31.08049965,309.4613037,31.10193634,165.3889465,31.10585403,248.5622253,31.12683296,199.0654144,31.13074875,303.302948,
32.00083542,248.1149445,32.0047493,294.3354797,32.02510452,206.6755676,32.0290184,238.0065918,32.0511055,228.7521362,32.05501938,281.7571106,32.07677078,205.4206543,32.08068848,306.3138123,32.10097885,175.5070038,32.10489655,246.7185516,32.12693787,196.7483673,32.13085175,299.8863525,
33.00083542,252.4496002,33.0047493,291.7531128,33.02560425,209.4771881,33.02952194,236.8917084,33.0511055,221.1119843,33.05501938,280.2184448,33.07677078,200.7554169,33.08068848,307.0483093,33.10268784,170.8849792,33.10658264,242.7575531,33.12827301,202.7716675,33.13218689,303.9369202,
34.00083542,254.4840546,34.0047493,298.1499023,34.0253334,210.4763641,34.0292511,231.4385071,34.05010223,234.0470886,34.05401993,274.9751892,34.07593918,207.1085052,34.07985306,301.0559387,34.10043716,166.1556549,34.10435486,246.5786591,34.12643814,199.780365,34.13035583,296.9552307,
35.00083542,256.9318542,35.0047493,294.6651306,35.02626801,204.5445862,35.03018951,242.6604309,35.05074692,231.3215179,35.05466843,272.4388428,35.07624817,208.3746643,35.08016586,300.4871521,35.10083389,169.5448303,35.10474777,247.1432495,35.12610245,193.7834167,35.13002014,297.1339722,
36.00083542,248.8139648,36.0047493,294.8775024,36.02527237,212.3835449,36.02918625,233.5823212,36.05126953,228.1639709,36.05518723,282.5897522,36.07593536,203.3522949,36.07985306,299.5415649,36.10102081,166.4057312,36.10491562,244.4103851,36.1256485,199.0872498,36.12956238,295.1614685,
37.00083542,243.027298,37.0047493,296.0362549,37.02535248,210.9999847,37.02924728,231.4956207,37.05052185,224.9093781,37.05441666,285.5265503,37.07616806,201.22435,37.08008194,297.0090942,37.10160446,172.1929779,37.10552216,241.0441742,37.12691498,193.4224701,37.13083649,309.1393738,
38.00083542,249.1681976,38.0047493,297.8215637,38.02574921,215.5893555,38.0296669,238.0718689,38.05052185,231.3375092,38.05441666,281.8684387,38.07627106,203.1116638,38.08018875,296.5105286,38.10160446,169.2432709,38.10552216,244.1478882,38.12726974,200.8816986,38.13118744,302.9756775,
39.00083542,243.9069366,39.0047493,300.6659241,39.02568817,205.6817474,39.02958298,235.6878357,39.0502739,226.1198883,39.05418777,287.594574,39.0755806,206.0797729,39.07950211,299.4537659,39.10118866,170.1672058,39.10508347,252.3724365,39.12577057,199.3255615,39.12968826,296.5765381,
40.00083542,254.1727753,40.0047493,291.8485107,40.02510452,209.8477325,40.0290184,235.6660614,40.05126953,225.267746,40.05518723,278.3514099,40.07593536,205.6805267,40.07985306,297.9916687,40.10135651,167.3757782,40.1052475,238.8381805,40.12660217,190.6440125,40.13051987,298.9641724,
41.00083542,256.2194214,41.0047493,288.4772339,41.02626801,209.2317963,41.03018951,237.8834839,41.05110168,228.9647064,41.05501938,282.9427185,41.07660294,201.8319092,41.08052063,291.6063232,41.10214615,170.9322357,41.10606384,240.5506897,41.1271019,197.0781708,41.13102341,306.8405457,
42.00083542,254.3787994,42.0047493,289.562439,42.02710342,213.5534058,42.03102112,237.886322,42.05043793,231.338974,42.05435562,280.9446716,42.07610321,197.9957123,42.0800209,280.9759827,42.10093689,167.7831421,42.10485458,241.2375183,42.12643814,196.5614471,42.13035583,296.6957703,
43.00083542,251.4466705,43.0047493,289.1064758,43.02693558,211.7654114,43.03085709,229.1490784,43.05158234,231.8384399,43.05550003,281.883667,43.07627106,198.4385223,43.08018875,286.4703979,43.10160446,175.6179962,43.10552216,243.3599701,43.12743759,199.2850647,43.13135529,299.8268127,
