Sample E1_Ex465_Em530,,Sample E1_Ex465_Em590,,Sample E2_Ex465_Em530,,Sample E2_Ex465_Em590,,Sample E3_Ex465_Em530,,Sample E3_Ex465_Em590,,Sample E4_Ex465_Em530,,Sample E4_Ex465_Em590,,Sample E5_Ex465_Em530,,Sample E5_Ex465_Em590,,Sample E6_Ex465_Em530,,Sample E6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,45.08132553,0.004687500186,150.5453644,0.02566666529,44.27212143,0.02952083386,158.3647003,0.05172916502,41.41810989,0.05558333546,146.151413,0.07681249827,49.09617233,0.08066666871,164.7268372,0.1013541669,38.25476837,0.1052291617,132.7606201,0.125333339,40.00857162,0.1291874945,135.6503601,
1.000833273,47.11037827,1.004750013,153.5364685,1.026437521,46.1382637,1.030333281,160.9168243,1.051437497,41.29712677,1.055333376,147.0449677,1.076499939,48.76673126,1.08041656,172.5308838,1.101499915,41.45843887,1.105437517,140.5414276,1.127520919,40.97537613,1.13143754,142.393692,
2.000833273,44.50893402,2.004750013,159.6827087,2.026583433,47.35533905,2.030499935,161.0006866,2.05158329,44.38936234,2.055500031,152.1004639,2.076604128,49.69251633,2.080500126,174.3200226,2.102666616,44.88202667,2.106583357,143.8174438,2.12868762,42.67074203,2.132604122,146.2185516,
3.000833273,45.7189064,3.004750013,155.9430695,3.024916649,45.44703293,3.028833151,168.3161163,3.051020861,42.06956482,3.054937601,150.0346527,3.075854301,48.70762253,3.079770803,174.0250397,3.101229191,43.2550621,3.105145693,142.8113403,3.127333403,42.03200912,3.131249905,149.4445953,
4.000833511,46.05291367,4.004750252,160.4201355,4.026416779,46.07694626,4.030333519,166.6543884,4.05202055,42.80789185,4.05593729,152.8901062,4.076854229,49.53564835,4.080770969,175.3824921,4.101687431,50.8842659,4.105604172,149.2219391,4.127729416,43.81334686,4.131645679,154.0199127,
5.000833035,45.02893448,5.004750252,158.6629333,5.025353909,45.68424606,5.029312611,163.9239502,5.051020622,43.03905106,5.05493784,150.1930237,5.075853825,50.13473892,5.079771042,177.6822968,5.101521015,50.84099197,5.105437756,149.94133,5.126520634,43.32911682,5.130437851,154.6149139,
6.000833035,45.63436508,6.004750252,159.922699,6.026021004,45.60957718,6.029937744,160.1883392,6.051854134,43.74672699,6.055770874,152.6914215,6.076853752,49.50244141,6.080770969,175.3136902,6.100354195,45.24689102,6.104270935,148.676239,6.125353813,43.86792374,6.12927103,151.4444427,
7.000833035,46.34313583,7.004770756,158.2137299,7.026687622,46.03472519,7.030603886,164.0646362,7.052520752,43.40970993,7.056437492,151.6994171,7.077604294,47.98106384,7.081500053,174.1292114,7.102666855,43.11411285,7.106583118,151.5258179,7.12766695,45.32276917,7.131583214,155.5599976,
8.000833511,44.61204529,8.004750252,156.04953,8.026062965,46.16071701,8.029978752,160.4376526,8.052166939,42.97268677,8.056082726,152.8307343,8.077854156,48.03490448,8.081770897,176.2407532,8.102854729,44.01869202,8.106770515,150.1045532,8.12889576,43.94271088,8.1328125,154.6107788,
