Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,Sample E7,,Sample E8,,Sample E9,,Sample E10,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
400,23.1580677,400,22.67450333,400,20.99534988,400,24.39941406,400,21.73326874,400,22.18191719,400,21.45033264,400,21.96455002,400,21.26466751,400,5.864039421,
401.0700073,26.17760658,401.0700073,25.20877266,401.0700073,22.57129097,401.0700073,26.4889183,401.0700073,25.88333511,401.0700073,24.1928997,401.0700073,24.72782326,401.0700073,24.80854607,401.0700073,23.26312447,401.0700073,6.114889622,
402,27.98396301,402,26.76561928,402,25.22867203,402,28.60555267,402,26.90501785,402,27.06552696,402,25.98953247,402,26.36062813,402,26.44705963,402,5.6978302,
403.0700073,30.23702431,403.0700073,30.61998177,403.0700073,27.37415886,403.0700073,30.62048149,403.0700073,29.30883598,403.0700073,28.63565445,403.0700073,28.66815758,403.0700073,29.86488533,403.0700073,27.30057144,403.0700073,5.821261883,
404,32.34809494,404,32.46408844,404,30.14450836,404,32.1388588,404,32.12634659,404,30.97776985,404,31.08888626,404,31.75978279,404,29.64259338,404,6.691121101,
405.0700073,36.04796219,405.0700073,35.05541992,405.0700073,33.15021896,405.0700073,35.47701645,405.0700073,35.46874237,405.0700073,34.6341629,405.0700073,33.2936058,405.0700073,35.25143433,405.0700073,33.12424088,405.0700073,6.607674122,
406,38.75834274,406,38.25444412,406,35.58771515,406,38.12852478,406,38.6537056,406,37.93651199,406,37.59426498,406,35.70435333,406,36.4768219,406,6.685432911,
407.0700073,40.98232651,407.0700073,41.48068619,407.0700073,37.96936035,407.0700073,41.6267128,407.0700073,42.36486816,407.0700073,38.97634125,407.0700073,40.13043213,407.0700073,41.56798553,407.0700073,39.41970825,407.0700073,7.006726265,
408,44.17802811,408,45.31615067,408,41.64169693,408,44.64916229,408,45.09589005,408,42.20478821,408,42.23331451,408,45.18459702,408,42.34230804,408,7.249334335,
409.0700073,47.12939453,409.0700073,48.22740173,409.0700073,44.23251724,409.0700073,46.77231598,409.0700073,48.95733643,409.0700073,46.0431633,409.0700073,46.26223755,409.0700073,49.56448364,409.0700073,44.59848022,409.0700073,7.41503191,
410,49.85415649,410,52.70638275,410,48.42633438,410,50.69299698,410,52.21977997,410,49.91791534,410,50.4264679,410,51.34243774,410,49.05638885,410,7.908759594,
411.0599976,55.12133408,411.0599976,56.95162201,411.0599976,52.59821701,411.0599976,55.00753021,411.0599976,54.66741943,411.0599976,53.87760544,411.0599976,54.89913559,411.0599976,55.74424362,411.0599976,52.06255722,411.0599976,8.113019943,
411.9599915,57.44000626,411.9599915,60.545681,411.9599915,55.37853241,411.9599915,57.5021286,411.9599915,61.42266464,411.9599915,56.59729767,411.9599915,57.23009109,411.9599915,59.78483963,411.9599915,56.80779266,411.9599915,7.900383472,
413.0299988,61.67391968,413.0299988,63.30469894,413.0299988,58.57313919,413.0299988,60.34783554,413.0299988,64.10804749,413.0299988,59.06402588,413.0299988,62.1235733,413.0299988,63.10842896,413.0299988,59.5420723,413.0299988,7.789877415,
413.9299927,64.66507721,413.9299927,67.99658966,413.9299927,62.68302917,413.9299927,64.5987854,413.9299927,65.01815796,413.9299927,63.01081085,413.9299927,66.01765442,413.9299927,67.74292755,413.9299927,63.73223495,413.9299927,8.466382027,
415,67.6081543,415,71.32444,415,66.320961,415,68.4473114,415,71.36071014,415,68.0173111,415,69.46630859,415,72.10583496,415,66.75125885,415,8.631820679,
416.0599976,75.21144867,416.0599976,75.77415466,416.0599976,71.22747803,416.0599976,75.21013641,416.0599976,75.60913086,416.0599976,72.68558502,416.0599976,75.20993042,416.0599976,78.81323242,416.0599976,74.13620758,416.0599976,8.577368736,
