Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,20.46512794,0.02183333226,22.66044998,0.04312499985,20.5075779,0.06372916698,18.77155876,0.08472916484,23.79361534,0.105416663,27.24646378,0.1260416657,26.0762558,0.1470416635,23.57014847,0.1902083457,193.7263489,
1.000833273,20.80032921,1.022229195,22.41841125,1.042750001,20.87690544,1.063291669,19.23629761,1.084125042,23.66501808,1.10512507,26.62659645,1.126041651,25.65000153,1.147041678,23.91454315,1.188979268,205.7936859,
2.000833273,21.26411057,2.021062374,22.80138397,2.041083336,20.3480587,2.061749935,19.17108345,2.082416773,23.1716156,2.103625059,27.29729462,2.123979092,27.22291565,2.14487505,24.50806808,2.186062574,201.996582,
3.000833273,20.92794991,3.020729065,23.62919998,3.041895866,20.79480743,3.062041759,18.9996357,3.083208323,23.92561913,3.104374886,27.64971161,3.124729156,27.85326195,3.145812511,24.08809471,3.187812567,200.4161835,
4.000833511,20.84260941,4.021062374,23.68358994,4.042562485,19.66612816,4.063208103,18.82110786,4.083541393,23.039608,4.104708195,27.085392,4.125895977,26.32450485,4.146895885,24.31949234,4.187812328,204.5643463,
5.000833035,22.27716255,5.020708084,23.77810478,5.04181242,20.85166931,5.062624931,19.51917076,5.083062649,23.89253807,5.104291916,26.57128906,5.124416828,26.90708923,5.145958424,23.75196266,5.186895847,201.9121857,
6.000833035,21.55993843,6.021395683,23.03241539,6.042708397,20.27560997,6.06320858,19.2798481,6.084708214,23.79337883,6.105875015,27.05368996,6.126208305,27.72393036,6.147208214,24.04674911,6.189062595,202.5231476,
7.000833035,21.28786659,7.020895958,23.09181213,7.042041302,20.65800476,7.062375069,19.16283989,7.083645821,24.10557365,7.104583263,26.95562363,7.125416756,27.31332207,7.146062851,24.1747551,7.188750267,199.3952484,
8.000833511,21.78220177,8.02104187,23.96762848,8.042312622,20.21637154,8.063083649,18.78924751,8.084083557,23.91822433,8.105250359,25.73657799,8.126625061,26.54280853,8.14764595,24.51329231,8.188458443,199.2686157,
9.000833511,21.33820915,9.022208214,22.86204529,9.043375015,19.9412899,9.064208031,19.41038895,9.084708214,23.97977638,9.105709076,26.71473885,9.127041817,26.21171951,9.148395538,24.62361908,9.188875198,198.6183167,
10.00083351,21.95589447,10.02039623,23.39587784,10.0415411,20.21741486,10.06247997,19.15330315,10.08308315,24.12721252,10.10429192,27.52282715,10.12512493,26.32691193,10.14575005,24.53685379,10.18889523,200.0794983,
11.00083351,21.22847939,11.02145767,23.62424469,11.04195881,20.29578209,11.06279182,19.47354317,11.08325005,24.12738609,11.10445881,26.40923882,11.12491703,26.69384193,11.14558315,23.70695114,11.18725014,198.9043121,
12.00083351,21.42167664,12.02070808,23.54799843,12.04187489,20.11709023,12.06237507,18.78821182,12.0828743,23.01157188,12.10387516,27.47125816,12.12520885,27.1904068,12.14620876,23.99664307,12.18754196,201.0412445,
13.00083351,21.76366806,13.020895,23.41297722,13.04137516,20.61466408,13.06270885,18.95101357,13.08354187,23.3599453,13.10454178,27.05633163,13.12520885,26.60805702,13.1456461,24.52920914,13.18720818,200.5728912,
14.00083351,21.23414421,14.0217495,23.52690506,14.04239559,20.93514442,14.06356239,18.75562286,14.08406258,23.71955109,14.10564613,26.31904793,14.12629223,26.85206604,14.14708328,24.49202728,14.18879223,198.5901794,
15.00083351,21.17164421,15.02172947,23.26138878,15.0427084,20.49144936,15.06404209,19.15979958,15.08454227,23.87497902,15.1057291,26.22485733,15.1268959,26.23178482,15.14739609,24.40067291,15.19091702,197.9754791,
16.00083351,21.81777573,16.02056313,23.79098129,16.04172897,20.08699799,16.062397,18.92408371,16.08387375,24.07543564,16.10420799,26.97478676,16.12470818,26.17181587,16.1453743,24.93120766,16.18656158,200.0319061,
17.00083351,21.75592613,17.02179146,24.14070129,17.04287529,19.96622658,17.0639782,19.15174484,17.0845623,23.92543221,17.10604286,25.76964188,17.12656212,25.89424133,17.14787674,24.15786552,17.18872833,197.8664551,
18.00083351,21.79753113,18.0215416,23.53709602,18.0425415,20.46136093,18.06370926,19.21334267,18.08431244,24.13620949,18.10587502,26.56922913,18.1263752,26.51482201,18.14704132,24.147295,18.1893959,197.2407684,
19.00083351,21.30052948,19.02191544,23.39724159,19.04256248,20.19527054,19.06356239,19.31563187,19.08472824,24.36432838,19.10491753,26.80692291,19.12579155,27.33058929,19.14658356,24.12194633,19.18964577,197.855835,
20.00083351,22.11899185,20.02072906,23.96777725,20.04154205,20.38023376,20.06304169,19.24729729,20.08322906,24.14316177,20.10420799,26.18333054,20.12506294,27.39758873,20.14612389,24.97498894,20.18654251,199.0067139,
21.00083351,21.22723007,21.02137375,23.66094589,21.04270744,20.43590164,21.06347847,19.00575829,21.08414459,23.50850105,21.10554123,27.06499863,21.12624931,26.63742638,21.14689445,24.90710449,21.18841743,197.5522308,
22.00083351,22.04650688,22.02089691,23.81335258,22.04172897,20.45110703,22.0631237,19.38386154,22.08345795,24.70228195,22.10479164,26.37195587,22.1256237,26.30893517,22.14645767,24.62489319,22.18881226,199.9329224,
23.00083351,21.24252319,23.02054214,23.5071373,23.04172897,20.64498329,23.06204224,19.07579613,23.08322906,23.95991898,23.10387611,26.44992638,23.1252079,26.68019104,23.14603996,24.6419754,23.18689537,198.0926056,
24.00083351,21.78900528,24.02087402,23.53102303,24.04206276,20.84560776,24.06287384,19.07832909,24.08353996,24.1442585,24.10454178,26.05895233,24.1252079,26.41998291,24.14620781,24.44441605,24.18962479,197.1492004,
25.00083351,21.7966404,25.0220623,23.42428398,25.0425415,20.30450821,25.06329155,18.84396935,25.08437538,23.36383438,25.10539627,27.51783752,25.1268959,26.23770332,25.1470623,25.046978,25.18854141,200.9897614,
26.00083351,21.91048622,26.02170753,23.48575592,26.04270744,20.56963921,26.06420898,19.29052734,26.08470917,24.14927292,26.10570908,26.57956886,26.12589455,26.22954941,26.14670753,25.29214668,26.19012451,195.2366638,
27.00083351,21.90061951,27.02120781,23.37067032,27.04289627,20.83785057,27.06320763,19.19238281,27.0837307,23.44054222,27.1047287,25.91482353,27.12541771,26.41434669,27.14729118,25.39748383,27.18814468,196.4893036,
28.00083351,21.8424263,28.02089691,23.84131813,28.04204178,19.9536705,28.06237602,19.64100838,28.08322906,23.44218445,28.10372925,26.3421917,28.1243763,25.45691109,28.14539528,24.0459938,28.18704224,197.9160156,
29.00083351,21.91777611,29.02254295,24.16007042,29.04287529,20.77046967,29.0639782,18.85972023,29.08437538,23.67518806,29.10554123,26.2801609,29.12606239,25.81558609,29.14672852,25.04786301,29.1897068,197.2822571,
30.00083351,21.70602608,30.02112389,23.85059929,30.04247856,20.55637741,30.06295776,19.30315399,30.08431244,23.96913338,30.10547829,25.58583832,30.12612534,26.39031601,30.14670753,24.7952404,30.18791771,199.3078461,
31.00083351,21.72656822,31.02220917,24.70362091,31.04337502,20.54327583,31.06395912,19.49215508,31.08491707,24.03763962,31.10573006,26.566082,31.12695885,26.08598328,31.14820671,23.68375015,31.18920898,196.7078552,
32.00083542,21.89494324,32.02206039,23.38856316,32.04356384,20.05148315,32.06370926,19.57012749,32.08504105,24.39024353,32.10604095,26.62279129,32.12654114,25.89695549,32.14770889,25.26302719,32.18989563,199.6778107,
33.00083542,21.90724945,33.02054214,24.95990372,33.04137421,20.92861366,33.06221008,19.26914406,33.08348083,24.35338211,33.10381317,25.93964386,33.12487411,25.93849754,33.1453743,24.26683807,33.18820953,195.1132965,
