Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,18.73570442,0.02118750103,27.84620094,0.04235416651,31.33966064,0.06335416436,32.07827759,0.08402083814,34.36843109,0.105020836,34.03491974,0.1263541728,26.85422134,0.174104169,486.1612549,
0.5008333325,17.1712513,0.5210000277,25.70431328,0.5415624976,34.09493637,0.5618957877,35.37296295,0.5831041932,32.42984009,0.6041666865,34.67346191,0.6243957877,23.70074272,0.6729166508,493.8109131,
1.000833273,17.37242126,1.02125001,26.72023773,1.041604161,37.22360611,1.062895894,35.0050087,1.083395839,36.52635956,1.104583383,34.87750626,1.125249982,25.60435295,1.173583388,491.9033813,
1.500833392,16.78593063,1.520645738,29.65579414,1.541062593,37.36394882,1.562083364,31.56217194,1.583145738,34.99375534,1.603604078,33.71921158,1.624895811,22.5794487,1.673479199,481.3062439,
2.000833273,20.37018967,2.020416737,28.326828,2.041083336,33.44465256,2.062437534,30.99021149,2.083312511,34.61757278,2.103812456,37.46107483,2.12522912,25.60478973,2.17324996,487.6615601,
2.500833273,15.10508442,2.521937609,29.58666039,2.543062687,35.95946503,2.563416481,31.51675987,2.583916664,31.62486458,2.605145693,35.26599121,2.625437498,25.23411179,2.674416542,466.7203369,
3.000833273,16.37651634,3.020895958,30.35838699,3.041562319,37.1401329,3.062562466,32.89016724,3.08306241,34.56772232,3.104583263,35.05847168,3.125250101,25.54435921,3.173666716,495.4185791,
3.500833273,19.55449677,3.521749973,33.43820572,3.542770863,34.73216629,3.563729048,33.57443237,3.584333181,35.13972092,3.605416536,34.68151855,3.626416683,21.99427795,3.674895763,490.3011475,
4.000833511,19.9103775,4.021562576,27.16043663,4.041895866,35.15880966,4.062916756,34.59173203,4.084249973,33.81469727,4.104583263,36.00793839,4.125750065,24.18106079,4.17577076,492.5196228,
4.500833035,15.39561558,4.521062851,30.83183861,4.542229176,31.65271568,4.563104153,33.56847382,4.584104538,32.80641937,4.605229378,35.86917496,4.626062393,23.46034241,4.674499989,484.3670959,
5.000833035,15.84712791,5.022062778,29.40443611,5.042666435,33.01676559,5.063895702,30.86056328,5.084916592,32.31389236,5.106083393,41.33466339,5.126416683,26.8199234,5.175583363,488.6888428,
5.500833035,15.50091839,5.520750046,29.77178192,5.541978836,34.49132538,5.562895775,30.65435791,5.584083557,37.2773056,5.60510397,33.8494072,5.626229286,26.84645462,5.674416542,494.5794678,
6.000833035,14.72446346,6.021000385,26.98822212,6.042062283,32.38945389,6.062229633,32.79525375,6.083083153,37.70013809,6.104562283,35.7037468,6.125562668,23.21823311,6.173666954,506.9341736,
6.500833035,15.78896713,6.520895958,28.30027962,6.542062283,35.6462059,6.562562466,26.759758,6.583729267,33.58552551,6.604583263,37.31620026,6.62525034,27.33360481,6.674395561,488.8840027,
7.000833035,15.85336781,7.022395611,29.90041161,7.043395996,37.36772537,7.063562393,28.86798668,7.084729195,38.36907578,7.105583191,36.42087555,7.126416683,24.35092545,7.174729347,488.5512695,
7.500833035,15.24242783,7.521749973,27.17470932,7.542749882,35.84316635,7.56293726,28.16364479,7.584583759,33.98869705,7.604583263,37.65487289,7.625833035,25.88038635,7.673916817,468.5822144,
8.000833511,13.59430408,8.020583153,30.58811951,8.041749954,31.45624733,8.062937737,29.65090752,8.08343792,33.30290604,8.104000092,36.03007126,8.125229836,26.78108406,8.173895836,483.4362793,
8.500833511,17.52469826,8.520729065,28.81761551,8.541583061,31.8037262,8.562438011,30.6327343,8.583561897,35.14068222,8.604729652,38.68637466,8.625582695,25.57544708,8.67408371,496.8324585,
9.000833511,13.60426998,9.020771027,29.29753876,9.041936874,34.48939514,9.063229561,25.84798431,9.083895683,37.79974747,9.104249954,37.40909958,9.125582695,24.55111694,9.174228668,486.5090637,
9.500833511,18.18503189,9.52041626,27.26612091,9.541479111,36.65864182,9.562396049,26.15859032,9.582896233,36.47489166,9.604249954,30.78761864,9.624604225,22.62046814,9.673563004,478.5162964,
10.00083351,14.94495201,10.02058315,29.54170799,10.04193687,33.75936508,10.06306267,24.33877945,10.08323002,35.98928833,10.10424995,34.9529686,10.12531185,26.05254745,10.17272949,469.1498413,
10.50083351,17.79404068,10.52110386,28.89383888,10.54197884,35.31203079,10.56231308,31.25386238,10.58323002,36.25362778,10.60422897,39.55912781,10.62472916,25.83556938,10.67327023,493.299408,
11.00083351,17.10780334,11.02210426,28.8311882,11.0432291,35.29961777,11.0640831,28.06965256,11.08439541,34.59673691,11.10539532,36.11936188,11.12641716,25.24204826,11.17525005,479.4992371,
11.50083351,15.35962105,11.52181339,28.42878151,11.54289532,36.17036819,11.56391716,31.09582901,11.58427143,32.61709213,11.60539532,38.22652054,11.62625027,22.9299984,11.67391682,489.775238,
12.00083351,17.87607574,12.02216721,29.30277061,12.04333305,33.87033081,12.06406212,27.72740364,12.0845623,34.2008934,12.105896,39.37695694,12.12656212,25.3622303,12.17556286,501.3158264,
12.50083351,16.68447685,12.52081299,28.75594139,12.54206276,31.3881855,12.56291676,28.33176613,12.5841465,35.61872864,12.60466671,40.35703278,12.62539577,24.94965935,12.67474937,500.661499,
13.00083351,17.66740799,13.02183342,26.11053658,13.0432291,36.34282684,13.06389523,29.47171974,13.08506298,37.43910599,13.10539532,36.10349274,13.12641716,24.78619576,13.17508316,481.1184692,
13.50083351,15.13534069,13.52214527,24.31447411,13.54314613,34.57906723,13.56397915,28.56230736,13.58450031,31.7308197,13.60597897,36.81293488,13.62664604,23.70986938,13.67674923,503.1364441,
14.00083351,16.10412407,14.02043724,29.08019257,14.04093742,37.71630859,14.06216621,29.32812881,14.08341694,34.40676498,14.10441685,34.33560944,14.12560463,24.54211617,14.1737299,485.582489,
14.50083351,15.2762022,14.52108383,27.42529678,14.54191685,32.99129105,14.56291676,27.62927628,14.58341694,32.43412781,14.60408306,34.60292435,14.62506199,23.42364693,14.67491627,471.0729675,
15.00083351,16.74484062,15.02122879,29.19708061,15.04208374,34.84312057,15.06322956,30.19301414,15.0840826,33.01839447,15.10522842,36.28681946,15.12572956,24.71016693,15.17497921,495.5317688,
15.50083351,16.9446125,15.52122879,29.51315117,15.54172897,35.58718872,15.56283379,25.84633446,15.58323002,32.1239357,15.60439587,38.52671432,15.62539577,26.71494293,15.67389584,486.6900635,
16.00083351,15.39894009,16.02060509,30.08529472,16.04110336,35.71342468,16.06189537,30.42489433,16.0822506,33.20907593,16.10306358,31.69957161,16.12389565,20.13094902,16.17360497,470.2137451,
16.50083351,17.61360931,16.5216465,31.55526161,16.54206276,34.08430099,16.56327057,28.98373222,16.58449936,35.77104568,16.60474968,33.05644608,16.62572861,23.3989563,16.67539597,489.1566467,
17.00083351,16.72043037,17.02222824,31.14733887,17.04308319,32.25806427,17.06372833,29.46809959,17.08422852,35.48714447,17.10491753,33.69289017,17.12593842,23.03539658,17.17339706,481.5270081,
17.50083351,16.33384895,17.52158356,28.71993256,17.5419178,35.58963776,17.562603,27.29528618,17.58389473,35.53822327,17.60506248,37.12319183,17.62541771,24.94444275,17.6755619,475.0897522,
18.00083351,15.37411976,18.02106285,22.69336128,18.0419178,32.56649017,18.06331253,26.20545006,18.08356285,36.84248352,18.10474968,35.63956833,18.12514687,24.69566154,18.17358398,482.8313599,
18.50083351,15.06119442,18.52143669,25.97402573,18.54272842,38.47522354,18.56299973,25.65222549,18.5845623,35.26750946,18.60541534,37.12980652,18.62572861,21.35954857,18.67527008,502.9523926,
19.00083351,16.02142525,19.02222824,27.29426575,19.04272842,36.64699936,19.06389618,28.25480652,19.08443832,32.42041779,19.10549927,36.451828,19.12572861,23.70473099,19.1755619,479.0557556,
19.50083351,15.92647839,19.52022934,27.38191795,19.5407486,34.20133209,19.56172943,25.89137077,19.58291626,31.90063667,19.60310555,34.69744492,19.62389565,22.54113007,19.67306328,473.2614441,
20.00083351,15.37692165,20.02141762,26.23653793,20.04247856,35.07113647,20.06341743,28.3034668,20.08391762,34.87146759,20.10491753,38.5069313,20.1262722,21.33256149,20.17374992,491.2520142,
20.50083351,15.20672417,20.52089691,31.25749207,20.54206276,33.58394623,20.56331253,25.55382729,20.58366776,35.75194168,20.6048336,36.68742752,20.62591743,24.4921608,20.67456245,475.2431641,
21.00083351,14.42006207,21.02189445,25.15454674,21.04239464,33.1378746,21.06273079,27.38101006,21.08391762,35.76492691,21.10497856,36.97996902,21.12523079,26.50602341,21.17372894,478.253479,
21.50083351,16.02828026,21.5220623,28.26469612,21.54289627,35.22154617,21.56358147,27.62349129,21.58491707,31.59733582,21.60541534,38.26524353,21.62610435,22.71377754,21.67572784,477.3090515,
22.00083351,16.34870911,22.02091599,29.80997086,22.04122925,33.20195389,22.06181145,28.95355606,22.08275032,34.82574463,22.1032486,34.96167374,22.12416649,23.68324661,22.17391777,488.1650085,
22.50083351,14.62268925,22.52060318,27.06733894,22.54166603,36.08066559,22.562397,26.63082695,22.58258247,36.86509323,22.60349846,36.00058365,22.62391853,23.27267647,22.67389488,477.9915466,
23.00083351,13.83928585,23.02158356,27.4889946,23.04283333,38.25682068,23.06322861,23.41830254,23.08389473,34.74771881,23.10539627,36.72779846,23.1257515,21.47676659,23.17589569,487.3180847,
23.50083351,16.28688622,23.52022934,25.92774582,23.54125023,36.50891113,23.56164551,23.88311958,23.58208466,33.81886292,23.60308456,30.74225998,23.62356186,25.67397308,23.67343712,489.5794678,
24.00083351,15.10937405,24.02256203,26.09698105,24.04291534,36.0219841,24.06381226,23.7451458,24.0842514,32.51686478,24.10539627,38.01295853,24.12664604,24.2963047,24.17639542,468.5215149,
24.50083351,14.78543091,24.52172852,26.26961708,24.54239464,34.81395721,24.56277084,25.53362274,24.58393669,32.3018074,24.60506248,34.82514191,24.62572861,23.0438385,24.6735611,478.6389771,
25.00083351,14.61910152,25.0205822,31.25304794,25.0418129,36.43448639,25.06225014,24.55951691,25.08358383,32.01520538,25.1044178,34.90991211,25.12491608,25.88785934,25.17523003,477.177124,
25.50083351,15.74333954,25.52222824,27.40419388,25.54327011,34.59886169,25.5643959,26.28017426,25.58458328,37.237854,25.60547829,36.39263916,25.62606239,24.91312218,25.67627144,489.3601379,
26.00083351,21.19169807,26.02008247,28.90789604,26.04131317,37.52483368,26.062397,26.62117577,26.08258247,33.38792038,26.10347939,33.04494095,26.12472916,24.07388878,26.17308426,492.7207336,
26.50083351,16.67880821,26.52108383,28.26259422,26.54189682,35.07711792,26.56291771,29.47935486,26.58400154,34.61654282,26.60506248,41.44680023,26.62543678,27.34845543,26.67389488,480.0821228,
27.00083351,16.65908623,27.02091599,27.95306778,27.0419178,33.97161865,27.06293678,26.92530441,27.08377075,29.18686867,27.1043129,35.75308609,27.12506294,24.66505051,27.1735611,475.1698303,
27.50083351,17.12553787,27.52075005,27.77979088,27.54139519,34.40356064,27.56258392,27.76276398,27.58291626,32.08582306,27.60389519,34.68194199,27.624897,24.19758034,27.67391777,482.5710754,
28.00083351,15.9593935,28.02116776,30.82876015,28.04239464,32.30853271,28.06343842,26.98654366,28.08377075,33.20274734,28.1048336,32.7211113,28.12556076,21.91564178,28.17575073,485.1611328,
28.50083351,16.21954346,28.52050018,26.81817055,28.54097939,33.39003754,28.56206322,29.55973244,28.58293724,33.88427734,28.60349846,35.16461563,28.62389565,19.84729004,28.67239571,472.0529175,
29.00083351,15.30962181,29.02072906,26.05044174,29.04141617,34.30028915,29.06191635,27.59517288,29.08300018,31.55020332,29.10406303,35.3453331,29.12541771,21.60034561,29.17516708,495.5184326,
29.50083351,15.52095413,29.52010536,27.96578598,29.54125023,32.30521393,29.56273079,27.81533623,29.58391762,30.95442772,29.60408401,30.92173576,29.62543678,23.01493073,29.67327118,471.8557739,
30.00083351,15.32787228,30.02139473,28.56791878,30.04177094,33.56548691,30.06306076,25.41418076,30.08356285,36.34477997,30.10389519,36.88199997,30.12460327,22.23596382,30.17275047,452.9450073,
30.50083351,16.9356842,30.52160454,28.85727119,30.5427494,33.33581161,30.56308365,27.32437897,30.58377075,31.72628975,30.60422897,37.04961777,30.62475014,24.74866676,30.67431259,473.6239014,
31.00083351,19.6193409,31.02041626,26.05019569,31.04156303,36.59027863,31.06264687,28.41892242,31.0829792,34.19788361,31.10433388,36.53732681,31.12539673,22.31926346,31.17374992,480.6446228,
31.50083351,13.13925648,31.52106285,28.71174049,31.54206276,35.66733932,31.56258392,24.56604195,31.58408356,37.25873184,31.6044178,32.01810837,31.62560463,20.89122581,31.67364502,482.9418335,
32.00083542,16.45469475,32.02131271,28.8016777,32.04183197,35.64582443,32.06306076,27.96874237,32.08439636,33.51693344,32.10491562,36.21693802,32.12599945,19.40513802,32.17593765,494.2102051,
32.50083542,13.82971001,32.52043533,30.78969383,32.54150009,35.82566071,32.56275177,24.2531929,32.58341599,34.43971252,32.60458374,37.39417267,32.62493515,22.47467232,32.6735611,491.5863647,
33.00083542,13.39232349,33.02183533,30.75170898,33.04227066,31.27147675,33.0632515,26.17700577,33.08448029,31.34302711,33.10456467,34.62326431,33.1257515,26.06212997,33.17581177,481.6746216,
33.50083542,14.72959709,33.52098083,26.50957298,33.54206467,36.56169891,33.5632515,27.53648186,33.58406067,32.0409317,33.60422897,32.89457321,33.62572861,25.26158524,33.67439651,479.8992615,
34.00083542,14.39992428,34.02077103,25.93937111,34.04183197,34.87807083,34.06275177,28.24385452,34.0839386,29.33514977,34.10427094,37.3978157,34.12533188,25.99594879,34.17541504,482.9134521,
34.50083542,16.58169365,34.52039337,25.72956276,34.54141998,37.08612442,34.56227112,26.85201073,34.58256531,30.2145462,34.60358429,36.00594711,34.62464523,23.6102581,34.67256165,475.1376038,
