Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,55.74101257,0.02062499896,67.3046875,0.04039583355,65.3080368,0.06020833179,65.58519745,0.08104167134,153.8850403,0.1862291694,25.43750954,0.1664583385,85.45187378,0.1466666758,107.426384,0.1258333325,105.0934372,0.1060416698,345.9981384,
1.000833273,51.58069611,1.021729112,69.33074188,1.041458368,69.32274628,1.061229229,68.86472321,1.081062436,160.5782013,1.187291741,25.11957169,1.167562485,131.9225464,1.146729112,144.7077484,1.126875043,140.2855377,1.107062578,334.0967407,
2.000833273,57.64401245,2.020625114,74.47016144,2.040395975,65.96858978,2.060229063,70.98728943,2.081041813,165.1855316,2.186229229,28.01631927,2.166458368,145.5307922,2.146708488,174.4032288,2.126875162,169.5364227,2.10604167,332.6753235,
3.000833273,54.09981155,3.021708488,70.63139343,3.041416645,72.18625641,3.061229229,70.4050827,3.082062483,163.8885651,3.187249899,25.59726906,3.167541742,155.0312347,3.147708416,176.1482849,3.126875162,171.67099,3.107062578,335.1094666,
4.000833511,56.80885315,4.020583153,76.37703705,4.040395737,69.2486496,4.061229229,71.66627502,4.081041813,161.1667786,4.187250137,28.5981102,4.166416645,163.3242188,4.146646023,191.6102448,4.126874924,176.9633484,4.10706234,347.0420227,
5.000833035,56.18152618,5.020583153,78.39559174,5.040395737,73.25663757,5.060228825,72.10079956,5.079978943,157.695755,5.186228752,24.05739403,5.166396141,170.6593781,5.146645546,192.5102539,5.12579155,181.4859467,5.106041431,342.5072937,
6.000833035,61.40454102,6.021624565,70.7275238,6.041396141,69.74651337,6.061228752,79.67536926,6.081062317,162.3559265,6.187229633,25.66499329,6.167458057,162.4061279,6.146624565,187.7412567,6.126874924,181.1008301,6.10706234,347.7989502,
7.000833035,58.16783142,7.020562649,77.64806366,7.040374756,70.78476715,7.060208321,73.34059143,7.079957962,161.8523865,7.186228752,25.25547028,7.166396141,170.8691101,7.145562649,191.9266357,7.12579155,184.117218,7.106041431,331.3895264,
8.000833511,56.0511055,8.020563126,75.38019562,8.041396141,65.01213837,8.061228752,73.56348419,8.081041336,156.5644531,8.187229156,26.08088303,8.167416573,162.6805573,8.146583557,205.3741302,8.126874924,189.8793335,8.10706234,342.9004822,
9.000833511,58.76850891,9.020563126,73.69522095,9.040395737,68.70822906,9.060146332,71.85190582,9.080979347,163.7743225,9.187229156,25.62108803,9.166396141,174.3272705,9.146582603,199.3639069,9.125749588,192.6763306,9.105978966,342.4179077,
10.00083351,58.12950897,10.02156258,70.1173172,10.04239559,68.18004608,10.06222916,70.69560242,10.08204174,161.8166962,10.18822956,26.04778671,10.16845798,169.3951263,10.14764595,201.9542694,10.12789631,193.31073,10.10806274,338.8078308,
11.00083351,53.26200485,11.02056313,79.39464569,11.04039574,70.65979767,11.0601244,76.21166229,11.07989597,164.3054047,11.18622971,25.35819435,11.16639614,168.0375671,11.14556313,200.1172333,11.12572956,194.781311,11.10595798,355.3169556,
12.00083351,58.44837952,12.02056313,75.52306366,12.04137516,69.34422302,12.06120777,74.14463043,12.08095837,163.3748169,12.18722916,25.27160263,12.16639614,175.1177216,12.14656258,197.2450256,12.126791,202.1523132,12.10704136,336.9776611,
13.00083351,59.06218338,13.02156258,75.82901764,13.04239559,77.19747162,13.06222916,77.13209534,13.08197975,157.318634,13.18822956,22.91089249,13.16739559,169.2787628,13.14758301,204.547226,13.12781239,200.4734497,13.10804176,342.9121094,
14.00083351,56.36278534,14.02056313,73.01422882,14.04139614,72.90009308,14.06114578,75.13661194,14.0809164,166.0981445,14.18722916,24.23911667,14.16637516,178.7797546,14.14656258,216.545105,14.12674999,207.4927979,14.10697937,340.0591125,
15.00083351,54.86333084,15.02156258,74.37888336,15.04239559,68.91312408,15.06220818,74.41191864,15.08195782,160.5332947,15.18822956,27.89607239,15.168396,178.3999023,15.14756298,211.5660706,15.1277914,200.5774231,15.10806274,348.9096375,
16.00083351,54.97453308,16.0215416,72.80033875,16.04139519,68.71208191,16.0611248,78.15054321,16.08089638,156.0203705,16.18720818,26.47926712,16.16737556,175.255722,16.1465416,214.2689514,16.12672997,204.0295258,16.10695839,344.5906372,
17.00083351,57.2882309,17.02156258,71.76717377,17.04239655,67.91907501,17.06220818,78.62522888,17.08191681,160.8020782,17.18822861,27.25796318,17.168396,177.3638153,17.14756203,212.2428284,17.1277504,203.8159637,17.10804176,343.0227966,
18.00083351,56.17406845,18.0215416,77.47051239,18.04131317,74.77330017,18.06108475,74.43089294,18.08089638,165.9216156,18.18714523,24.09919548,18.16737556,167.4607544,18.14756203,211.1253967,18.12672997,204.0118103,18.10691643,350.9327698,
19.00083351,54.710186,19.0204792,72.63394928,19.04022789,69.8844986,19.06006241,77.40447235,19.08089638,158.4923248,19.18606186,24.50867081,19.16629219,170.3876801,19.14656258,229.0932159,19.12572861,210.0996857,19.10587502,339.4671021,
20.00083351,61.6522789,20.02156258,77.47511292,20.04129219,66.90943909,20.06106186,76.49396515,20.08089638,171.3167725,20.18712616,25.84500885,20.16739464,174.6468964,20.14656258,217.8456268,20.12672997,203.238739,20.10689545,332.3434143,
21.00083351,55.01680756,21.0215416,72.36075592,21.04239464,67.16505432,21.06212616,77.06400299,21.08189583,164.1295776,21.18820763,26.08459091,21.168396,179.2915497,21.14754295,218.4273834,21.12772751,214.3191223,21.10795975,335.5691833,
22.00083351,59.74511719,22.02147865,79.53839111,22.04125023,71.44244385,22.06106186,78.07038116,22.08089638,160.8560333,22.18708229,26.07882118,22.16731071,177.8227234,22.14647865,214.2134247,22.12672997,200.7150421,22.10689545,339.8202209,
23.00083351,59.25176239,23.02041626,77.66687012,23.04022789,73.1468811,23.06106186,73.85229492,23.08089638,155.9464722,23.18708229,24.17000771,23.16625023,169.7563171,23.14647865,209.9380798,23.12672997,206.8844604,23.10689545,343.7097168,
24.00083351,58.03588867,24.02145767,73.44944763,24.04122925,72.25791168,24.06206322,76.85137939,24.08189583,154.9703064,24.1881237,25.62397385,24.168396,175.9259186,24.14756203,211.3343964,24.12770844,208.4633789,24.1078968,342.1734009,
25.00083351,57.47978973,25.02145767,71.21974182,25.04122925,71.18881989,25.06104088,77.82557678,25.08089638,160.8543701,25.18706322,25.79064178,25.16729164,171.5491028,25.14645767,223.9490356,25.12672997,195.4919739,25.10687447,326.4764404,
26.00083351,56.8132782,26.02141762,74.04672241,26.04224968,73.03349304,26.06206322,77.60558319,26.08189583,165.4535522,26.18808365,24.20109177,26.16837502,169.8401031,26.14754295,225.5471954,26.12770844,206.2436523,26.1078968,338.4687195,
27.00083351,51.12729263,27.02141762,70.28269196,27.04122925,72.0306778,27.06104088,77.55756378,27.08081245,162.0630493,27.18706322,23.89662933,27.16724968,171.8174438,27.14748001,218.5102997,27.12664604,212.2881012,27.10689545,330.8872375,
28.00083351,57.07807159,28.02039528,76.81745148,28.04122925,69.19741058,28.06104088,79.99530792,28.08079147,156.9858093,28.18706322,24,28.1672287,168.2913513,28.14639473,218.2238312,28.12662506,203.1451721,28.10687447,343.714447,
29.00083351,53.78020096,29.02139473,76.78937531,29.0422287,72.77186584,29.06204224,77.22142029,29.08187485,165.0741882,29.18806076,24.74996948,29.168293,174.5356598,29.14745903,222.5017395,29.12770844,201.8316345,29.10787582,332.4901733,
30.00083351,58.70264816,30.02139473,77.49777222,30.04122925,72.15007019,30.06204224,87.36264038,30.08187485,158.4889526,30.18806076,24.52122498,30.1672287,176.897049,30.14741707,213.7316895,30.12772751,203.720932,30.10687447,342.3875122,
31.00083351,51.63043213,31.02039528,70.77269745,31.04120827,71.67235565,31.06097794,77.08695984,31.08074951,165.8079681,31.18704224,25.67504311,31.16620827,176.6728058,31.14639473,231.9297485,31.1265831,201.541626,31.10681152,336.5914307,
32.00083542,54.98791122,32.02139664,78.49642944,32.04121017,69.08113098,32.06204224,78.41396332,32.08181,158.5077057,32.18704224,24.42472267,32.1672287,170.3463898,32.14741516,218.6501465,32.12764359,203.6646271,32.10681152,341.3779602,
33.00083542,54.35080719,33.02039719,71.91500854,33.04012299,68.17828369,33.06095886,80.25894928,33.08073044,155.6144409,33.18595886,25.2173233,33.16622925,170.1730499,33.14639664,216.8291016,33.12656403,206.1851654,33.10572815,333.6192017,
34.00083542,57.51383972,34.02139664,76.28012085,34.04122925,68.02880096,34.06095886,84.11943817,34.08179092,157.6715088,34.18804169,21.84945488,34.1672287,171.9356842,34.14739609,221.0128021,34.12656403,200.334671,34.10679245,340.2552795,
35.00083542,58.81666183,35.0203743,77.69889832,35.04120636,78.08798981,35.0609169,84.81062317,35.08174896,161.1604309,35.18703842,24.05498314,35.1672287,169.432251,35.14739609,206.7688446,35.12656403,194.6625366,35.10675049,332.6828613,
36.00083542,59.88302612,36.02031326,77.44963837,36.04008484,71.77986145,36.05989456,81.96401215,36.08073044,168.0728607,36.18697739,24.92935371,36.16614532,173.2274323,36.14637375,208.723114,36.12656403,193.3470306,36.10675049,335.164856,
37.00083542,58.75215149,37.02137375,73.53907013,37.04114532,69.49806976,37.06195831,78.02275085,37.08174896,160.7444305,37.18695831,24.36548233,37.16720963,170.3106537,37.14737701,208.6695557,37.12756348,194.0806274,37.10673141,329.6879272,
38.00083542,51.52079391,38.02029037,75.84247589,38.04006195,69.50154877,38.06089783,85.5447998,38.08070755,158.0970306,38.18589783,24.46829414,38.16612625,169.2717743,38.14637375,211.8739166,38.12656403,193.6324158,38.10572815,343.9064331,
39.00083542,54.17253876,39.02137375,75.24252319,39.04112625,75.30518341,39.06089783,82.49528503,39.08172989,160.1766815,39.18695831,26.34233475,39.16720963,164.9286957,39.14739609,214.0524139,39.12656403,200.6394196,39.10673141,344.3957214,
40.00083542,52.68841934,40.02025223,77.27414703,40.04006195,66.61991882,40.05987549,74.36437225,40.08073044,170.4134674,40.18691635,23.7863884,40.16608429,163.6526337,40.14631271,218.8906708,40.12548065,207.1731873,40.10572815,334.5292664,
41.00083542,57.38847733,41.02131271,75.71821594,41.04108429,74.28105927,41.06191635,81.55189514,41.08172989,161.594635,41.18691635,23.76883698,41.16714859,158.1341248,41.14739609,221.2730103,41.12756348,211.7780304,41.10673141,336.9645386,
42.00083542,56.27841568,42.02022934,74.81723022,42.04006195,70.17681122,42.06089783,76.3602066,42.08073044,156.1118622,42.18689728,27.26655769,42.16606522,158.5589142,42.14629364,222.1832886,42.12656403,210.3141327,42.10673141,332.2296753,
43.00083542,57.14841461,43.02239609,76.67707062,43.0421257,72.3215332,43.06189728,80.36717224,43.08272934,154.082077,43.18796158,20.08876419,43.16822815,160.4957581,43.14839554,224.5382996,43.12856293,215.2688293,43.10773087,324.5987244,
44.00083542,55.50777817,44.02237701,75.8567276,44.04207993,74.29967499,44.06189728,83.41778564,44.08172989,154.903183,44.1879158,22.44524765,44.16820908,161.0169525,44.14737701,218.160553,44.12756348,212.8877869,44.10773087,345.8980103,
45.00083542,53.23075867,45.02124786,78.99265289,45.04106522,80.37982178,45.06089783,81.48699951,45.08064651,159.6268005,45.18689728,25.29182816,45.16707993,176.0198212,45.14624786,231.6254883,45.1264801,226.8946838,45.10673141,329.5689087,
46.00083542,56.36178207,46.02231598,79.03351593,46.04207993,70.21589661,46.06189728,79.09693146,46.08172989,159.32164,46.18789291,21.55842018,46.16812515,182.8582611,46.14728928,240.1362152,46.12756348,219.7484589,46.10773087,340.0627747,
47.00083542,53.10795975,47.02122879,82.02639771,47.04103851,70.40442657,47.06089783,81.45061493,47.08062363,154.6206665,47.18687439,23.18048859,47.16706085,174.9136505,47.14622879,236.9885864,47.12645721,221.6082764,47.10673141,341.2922974,
48.00083542,56.52106476,48.02228928,77.25805664,48.04312515,72.23194885,48.06289291,79.81347656,48.08270645,160.3755035,48.18891525,26.16030502,48.16808319,188.3317108,48.14837646,242.4113159,48.12856293,217.8711243,48.1087265,339.2446594,
49.00083542,55.09416199,49.02022934,74.47554779,49.03997803,74.76599884,49.06081009,78.41841125,49.08058167,154.9914551,49.18581009,23.09037971,49.16606522,180.7444305,49.14622879,241.961319,49.12641525,231.7273712,49.10558319,337.4941101,
