Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,22.74825478,0.02066666633,53.50896835,0.04041666538,102.3956146,0.06124999747,60.17949295,0.08104167134,332.0256958,0.1873333305,15.39671803,0.1665000021,32.44253159,0.1466666758,51.75621414,0.1268749982,53.03592682,0.1060416698,219.5148926,0.2123333365,20.14275551,0.2320833355,48.50134277,0.2529166639,52.19974136,0.2727083266,55.71847534,0.29354164,309.9243164,
1.000833273,22.12670517,1.020729184,111.9477768,1.040458322,159.5519257,1.061291695,92.0489502,1.081062436,328.9991455,1.186291575,15.07102203,1.166562557,77.2735672,1.14670825,77.82260895,1.126895785,77.85788727,1.106062412,214.7693481,1.212395906,20.59674835,1.232124925,114.5114975,1.251895785,87.76258087,1.272729158,84.29875183,1.292541623,308.3579712,
2.000833273,21.38898087,2.02170825,133.7910004,2.041541576,186.229248,2.062375069,111.3853073,2.082124949,328.087616,2.188374996,15.12216949,2.167562723,101.584343,2.147729158,93.49214172,2.127958298,93.08152771,2.107125044,217.2710266,2.213375092,21.00288773,2.234208345,144.4840088,2.254041433,110.3717499,2.27379179,101.2993851,2.293562651,310.4285889,
3.000833273,23.0933075,3.021729231,153.1194458,3.041562319,202.2042236,3.061291695,122.7389755,3.082125187,329.3121948,3.18737483,15.47999191,3.167562723,115.6452484,3.147729158,105.2788544,3.126895905,102.3522415,3.107125044,220.1807556,3.213395834,19.79570389,3.233208179,158.0372314,3.252958536,124.1195908,3.272729158,112.3434982,3.293562651,311.8575134,
4.000833511,22.87911034,4.022729397,165.7721863,4.042562485,213.4721985,4.062375069,135.1190033,4.082083225,327.3129272,4.188395977,15.23240662,4.168562412,128.0015106,4.148749828,111.1898041,4.127916813,109.9056244,4.108208179,225.3242188,4.214396,20.08714294,4.234229088,168.4995422,4.253979206,132.8048706,4.273749828,119.1684494,4.294583321,311.8259277,
5.000833035,22.44107819,5.021728992,173.9928131,5.041479111,217.9255981,5.061249733,139.0899048,5.082083225,330.0742493,5.187312126,15.0333662,5.167562485,131.082489,5.14772892,114.2803726,5.126895428,112.0647659,5.107083321,227.2693176,5.213395596,20.06414604,5.233145714,175.0746155,5.252916336,139.5093994,5.273749828,123.4739609,5.293562412,310.2037659,
6.000833035,22.08730507,6.020645618,178.442276,6.040416241,225.7547913,6.061249733,144.4610748,6.081062317,328.3886414,6.187312126,15.0806818,6.166479111,138.5496979,6.146728992,119.1045609,6.126895428,117.1174545,6.106062412,232.1569519,6.212312222,20.45081329,6.232083321,177.9090271,6.252916336,141.6454926,6.27272892,127.4161606,6.293562412,313.897522,
7.000833035,22.2998085,7.020624638,183.5304871,7.040395737,227.5654449,7.061228752,146.1792755,7.081062317,330.8360901,7.187291622,14.54559135,7.16645813,140.4608154,7.146728992,122.2702484,7.126895428,117.7307587,7.106062412,231.6053772,7.212291241,20.32382965,7.233124733,182.9053497,7.252895832,145.3876801,7.27272892,129.1031647,7.293562412,312.2285461,
8.000833511,22.35772324,8.020625114,184.7524872,8.040395737,230.1569366,8.061228752,150.2676544,8.081062317,329.1244507,8.187291145,14.69924736,8.16645813,144.9372406,8.146729469,123.2614822,8.126895905,118.4013748,8.10706234,229.5310059,8.212291718,19.95441055,8.23206234,184.566391,8.252895355,145.8535767,8.27272892,132.5848541,8.292562485,309.5175476,
9.000833511,22.03908157,9.021708488,188.5981293,9.041416168,229.6495361,9.062250137,151.208313,9.082062721,328.2913818,9.188374519,15.30400658,9.167541504,146.2465363,9.147729874,125.637558,9.127896309,121.4048004,9.108082771,229.427475,9.213375092,20.51636696,9.233082771,183.2590179,9.25391674,147.6855011,9.273729324,134.8222046,9.293562889,308.4339294,
10.00083351,22.14905739,10.02058315,189.6764069,10.04141617,232.9685974,10.06122971,152.4737701,10.08106327,327.3945313,10.18725014,14.93319416,10.16641617,150.2663574,10.1466465,127.6738968,10.1268959,119.782486,10.10706234,230.103363,10.21224976,19.94174385,10.23206234,185.3374176,10.25289631,151.7256927,10.27272987,133.8674164,10.29247952,309.239502,
11.00083351,22.24647903,11.0216465,192.6767883,11.04141617,236.5619812,11.06225014,153.5289917,11.08206272,330.4432678,11.18725014,15.57457066,11.16747952,147.8336029,11.14770794,128.8426819,11.12789631,122.1371155,11.10706234,227.0917969,11.2133131,20.19024658,11.23308277,186.1981201,11.25391674,154.3679199,11.27372932,136.3636475,11.29356289,304.6516724,
12.00083351,22.16683769,12.02162457,195.5876007,12.04139614,239.5014648,12.06120777,154.6071167,12.08104134,330.165741,12.18722916,14.47923279,12.16745853,151.1720123,12.14662457,131.8858032,12.12687492,122.879776,12.10704136,227.3875427,12.21222973,20.51340103,12.23306274,189.2379303,12.25287437,160.5243378,12.27270794,134.5872345,12.29245853,305.9587097,
