Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,27.96916389,0.02166666649,34.15013123,0.04254166782,33.7757225,0.06306250393,33.33739853,0.08441666514,29.27873611,0.1048333347,40.09394073,0.1260416657,27.3753624,0.1473333389,26.60541534,0.1683333367,25.57466507,0.1888958365,38.59899902,
1.000833273,26.32990456,1.021041632,26.50369263,1.041374922,34.38536072,1.061895847,30.20265007,1.082916617,30.48989296,1.103958368,38.92179108,1.125041723,26.91999245,1.145395756,23.0314045,1.166729212,28.36368752,1.187062502,30.16011238,
2.000833273,23.58921242,2.020625114,34.36352921,2.041708469,31.80237579,2.062895775,32.44983673,2.083250046,29.24614906,2.104041576,34.86716843,2.124875069,24.84687614,2.14625001,22.81138992,2.166708469,30.95588303,2.187875032,34.83065033,
3.000833273,26.90131378,3.021041632,31.60078049,3.042041779,37.30929947,3.063229084,32.67611313,3.083729029,29.38087654,3.104916573,31.69309807,3.125979185,26.22262383,3.147374868,21.7249794,3.168395758,31.98694038,3.188729048,35.63495255,
4.000833511,23.51920509,4.021708488,29.29125404,4.042645931,34.96386337,4.063541889,32.99181747,4.084208488,29.3383255,4.105208397,37.12158966,4.125708103,21.84796333,4.146062374,26.73733711,4.167124748,29.84810638,4.188541889,34.11380005,
5.000833035,24.75187111,5.02104187,33.18642807,5.041541576,35.6885376,5.062395573,30.70057678,5.083395958,29.3900795,5.104541302,37.6144371,5.125208378,22.46638489,5.146416664,23.40570641,5.16681242,29.91514778,5.187874794,31.17911148,
6.000833035,25.73213768,6.021062851,30.68865776,6.041416645,35.96435547,6.062812328,33.14785385,6.083374977,30.59931564,6.103896141,32.25727463,6.125374794,25.22595024,6.146375179,22.02685928,6.166541576,27.94264984,6.187562466,37.53501511,
7.000833035,26.86481094,7.021249771,34.28050613,7.042541504,33.79104614,7.062874794,32.13218307,7.084042072,28.75313759,7.105395794,30.31745529,7.126062393,24.38100052,7.146562576,23.33261681,7.167582989,30.477314,7.18864584,33.53076553,
8.000833511,22.09563255,8.02104187,31.63737869,8.041707993,36.55731201,8.062208176,32.85141754,8.083395958,29.63229942,8.103750229,32.96431732,8.124875069,26.34718895,8.145729065,23.46177483,8.166749954,24.76530266,8.188041687,34.80576324,
