Sample A1_Ex555_Em570,,Sample A1_Ex555_Em670,,Sample A2_Ex555_Em570,,Sample A2_Ex555_Em670,,Sample A3_Ex555_Em570,,Sample A3_Ex555_Em670,,Sample A4_Ex555_Em570,,Sample A4_Ex555_Em670,,Sample B1_Ex555_Em570,,Sample B1_Ex555_Em670,,Sample B2_Ex555_Em570,,Sample B2_Ex555_Em670,,Sample B3_Ex555_Em570,,Sample B3_Ex555_Em670,,Sample B4_Ex555_Em570,,Sample B4_Ex555_Em670,,Sample C1_Ex555_Em570,,Sample C1_Ex555_Em670,,Sample C2_Ex555_Em570,,Sample C2_Ex555_Em670,,Sample C3_Ex555_Em570,,Sample C3_Ex555_Em670,,Sample C4_Ex555_Em570,,Sample C4_Ex555_Em670,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.001666666707,51.59620285,0.008354167454,27.16130447,0.03218749911,54.02240753,0.03887499869,27.12590599,0.06252083182,67.98279572,0.06920833886,37.62342453,0.09341666847,59.1532135,0.1001041681,11.71249104,0.2205833346,61.71524811,0.2272708267,32.69250488,0.1892499924,50.90031815,0.1959374994,23.00504303,0.1589166671,50.34233475,0.1656041592,26.06344032,0.1277499944,106.7191772,0.1344375014,33.21232986,0.2548541725,60.5561409,0.2615416646,33.03137589,0.2860833406,47.31663513,0.2927708328,32.8067894,0.3162499964,57.33116531,0.3229374886,28.457901,0.3473541439,74.13967133,0.3540416658,29.50564384,
0.5016666651,61.70853043,0.5084166527,24.61628532,0.5322083235,55.51654053,0.5389375091,26.49114227,0.5632708073,66.69803619,0.5700207949,34.5419693,0.5938749909,58.32544708,0.6006041765,15.90408897,0.7221041322,66.80758667,0.7288541794,25.28257751,0.6907708645,65.75746918,0.6975208521,31.45759964,0.6604375243,49.07141495,0.6671875119,28.77248192,0.6302083135,89.13224792,0.636937499,29.57486153,0.7575416565,69.2257843,0.7642708421,29.03384781,0.7884375453,45.71746826,0.7951875329,34.01723862,0.8191041946,45.24708939,0.8258541822,21.21082115,0.8499374986,87.38243866,0.8566874862,31.216362,
1.001666665,65.8631134,1.008416653,27.10522079,1.03193748,60.56141663,1.038687468,32.02645493,1.062541604,65.91537476,1.069270849,24.42418861,1.093604207,64.2796936,1.100354075,13.74540424,1.220375061,65.04003143,1.227104187,29.07732582,1.188958406,52.23918152,1.195749998,22.89309692,1.158604145,52.17085648,1.165354133,32.98170853,1.128104091,93.40293121,1.134854078,23.14678764,1.256541729,83.12529755,1.263270855,32.47487259,1.286937475,49.9030571,1.293687463,38.63817596,1.317520738,50.48454285,1.324270844,29.23132515,1.348104239,79.21307373,1.354854226,28.48159409,
1.501666665,72.07506561,1.508416653,27.48622513,1.532937527,61.48256302,1.539687514,27.71965218,1.563270807,60.03623199,1.570020795,34.15356445,1.594187498,64.1253891,1.600937486,12.97497654,1.720437527,67.46186066,1.727187514,35.03314972,1.689708352,66.97011566,1.696437478,29.9842453,1.659270883,45.06648636,1.66602087,30.0773983,1.628270864,91.44713593,1.635020852,34.52861786,1.75643754,64.48312378,1.763187528,28.26909256,1.78677094,60.47877121,1.793520808,31.32458115,1.816958308,47.10750961,1.823708296,23.47705078,1.848104239,86.54428101,1.854854226,29.08790207,
2.001666546,56.04392624,2.008416653,28.55877686,2.032770872,57.31235504,2.039520741,28.02059174,2.063041687,77.29667664,2.069770813,29.98091507,2.094270945,67.48405457,2.101020813,13.17200947,2.220770836,66.52612305,2.227520704,29.76610565,2.189770699,55.07164001,2.196520805,32.86819458,2.159437656,51.4972496,2.166187525,31.0351963,2.128124952,94.2179718,2.134916782,26.15671158,2.256270885,63.50777435,2.263020754,36.68265533,2.287041664,49.26312637,2.293791771,33.881073,2.318354368,54.05543518,2.325104237,23.519207,2.348437548,88.38672638,2.355187416,24.84775925,
2.501666784,67.03687286,2.508416653,24.83595276,2.532604218,55.69202423,2.539354086,28.74018669,2.563041687,57.76554489,2.569770813,25.05504608,2.593541622,59.06829071,2.600270748,13.32355976,2.721770763,66.82266235,2.728520632,27.51454735,2.691541433,54.05061722,2.698271036,33.71961212,2.661020994,63.30265808,2.667770863,30.43571281,2.630041838,92.53417969,2.636770964,32.24016571,2.757958174,79.72839355,2.764708519,27.70907974,2.78893733,49.75183487,2.795687675,32.34896088,2.819604158,58.5473175,2.826354265,24.47204971,2.849874973,95.18108368,2.856604338,24.58533478,
3.001666784,54.8044548,3.008416653,29.94762993,3.031770945,59.44363022,3.038520813,24.1996994,3.062104225,56.06529236,3.068854332,27.41411591,3.093208313,59.43704605,3.099937439,14.16749954,3.219270945,66.16004181,3.226020813,31.35897255,3.188270807,50.27890015,3.195020914,33.21754074,3.157687426,50.54722214,3.164437532,32.0750351,3.127437592,82.67353058,3.13418746,32.54656219,3.255604029,66.23789215,3.262354374,32.48944473,3.285937548,48.7875824,3.292687416,32.60033798,3.316271067,56.02616119,3.323020935,29.59103584,3.347770929,100.2254868,3.354521036,21.71409225,
3.501666784,58.38981247,3.508416653,26.61955643,3.53160429,62.00030136,3.538354158,33.02870941,3.56227088,63.29208755,3.569020748,26.76053047,3.593270779,58.56435394,3.600020885,12.67966938,3.719958305,68.33855438,3.726708174,34.49704361,3.689208269,65.12902069,3.695937634,27.92345047,3.658604145,56.63103104,3.665354252,35.82707977,3.627270699,89.77464294,3.634020805,31.49791145,3.756041765,66.55397797,3.762791634,34.61275864,3.787020922,58.21792603,3.79377079,38.08916473,3.81743741,49.14271927,3.824187517,27.77287483,3.847604036,79.8691864,3.854374886,25.68789101,
4.001666546,64.57322693,4.008416653,23.8619957,4.033270836,50.91707611,4.040020943,20.31357002,4.06285429,72.03301239,4.069604397,32.15887833,4.094270706,70.77877808,4.101020813,18.35874557,4.221937656,77.54196167,4.228687763,33.25740814,4.19177103,73.81401825,4.198521137,31.60321426,4.161041737,53.4372139,4.167770863,27.95260048,4.130437374,88.70251465,4.137187481,28.31090927,4.258437634,70.33429718,4.26518774,28.91101837,4.289353848,54.02783966,4.296103954,26.29378128,4.31960392,55.65412903,4.326354027,23.61350632,4.350937366,80.65692902,4.357687473,25.32216072,
