Sample D1_Ex509_Em563,,Sample D1_Ex509_Em660,,Sample D2_Ex509_Em563,,Sample D2_Ex509_Em660,,Sample D3_Ex509_Em563,,Sample D3_Ex509_Em660,,Sample D4_Ex509_Em563,,Sample D4_Ex509_Em660,,Sample E1_Ex509_Em563,,Sample E1_Ex509_Em660,,Sample E2_Ex509_Em563,,Sample E2_Ex509_Em660,,Sample E3_Ex509_Em563,,Sample E3_Ex509_Em660,,Sample E4_Ex509_Em563,,Sample E4_Ex509_Em660,,Sample F1_Ex509_Em563,,Sample F1_Ex509_Em660,,Sample F2_Ex509_Em563,,Sample F2_Ex509_Em660,,Sample F3_Ex509_Em563,,Sample F3_Ex509_Em660,,Sample F4_Ex509_Em563,,Sample F4_Ex509_Em660,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.001666666707,233.0707855,0.008249999955,149.9854889,0.03208333254,304.5863953,0.03870833293,172.3799896,0.06379166991,210.4234924,0.07039583474,145.4632721,0.09408333153,242.0549164,0.1007083356,146.19133,0.2224166691,770.7132568,0.2290416658,55.52927399,0.1915416718,616.7290649,0.1981458366,45.84899902,0.1609166563,642.3413086,0.1675416678,46.81599426,0.1304166615,705.1765747,0.1370416582,50.78765488,0.2582499981,93.87873077,0.2648749948,18.07695007,0.2897500098,81.56242371,0.2963749766,14.82759857,0.3204166591,75.93817139,0.3270416558,14.48176956,0.3505833447,89.02742767,0.3572083414,15.97338867,
0.5016666651,236.9190369,0.5083125234,155.1190491,0.5315416455,339.2348938,0.5382083058,179.4637909,0.5621250272,207.7763824,0.5688124895,144.4287262,0.5924583673,239.2682953,0.5991458297,142.8229675,0.7183125019,776.3522339,0.7249791622,54.96018982,0.6881249547,613.2459717,0.6947916746,45.53594208,0.6567291617,644.2652588,0.663395822,48.17732239,0.6264583468,714.3430176,0.6331250072,52.87017059,0.7542916536,94.68203735,0.760979116,18.55043411,0.7852291465,81.80529022,0.7918958068,14.88043213,0.8152291775,76.1606369,0.8218958378,14.06278229,0.84662503,86.75695801,0.8532916307,16.37720108,
1.001666665,239.5014648,1.008312464,156.2326813,1.031875014,344.2981567,1.038541675,183.9613953,1.061791658,207.307251,1.068458319,144.4356995,1.093041658,240.5790863,1.099708319,149.74646,1.219874978,779.6860962,1.2265625,55.39995193,1.18945837,625.8398438,1.196145892,47.04735565,1.158625007,646.8815918,1.165312409,46.89962006,1.128062487,729.1117554,1.134729147,53.06233978,1.256562591,91.5929184,1.263229132,17.3993206,1.286958337,81.79353333,1.293624997,14.71317482,1.317458391,74.48789978,1.324145913,13.6181221,1.347895861,90.59459686,1.354562521,15.63281536,
1.501666665,236.8483429,1.508312464,153.0048828,1.532458425,342.5635071,1.539145827,184.8866577,1.563312531,203.00354,1.569979191,150.044342,1.594291687,244.2337952,1.600958347,149.3462067,1.722625017,777.7894897,1.729312539,54.63665009,1.692458391,619.5621948,1.699125051,46.53393173,1.660791636,652.3746338,1.667458296,46.63969803,1.63062501,724.7161865,1.63729167,51.08878326,1.759041667,95.11277008,1.765708327,17.7016716,1.790458322,80.20426178,1.797124982,14.79228306,1.820458293,75.26566315,1.827125072,14.19812489,1.851645827,87.21762848,1.858312488,15.22076988,
2.001666546,237.1758881,2.008312464,161.2423859,2.03262496,334.5939636,2.03929162,184.09021,2.063229084,205.0127563,2.069895744,150.0252228,2.093958378,237.3536224,2.100625038,152.9043274,2.220395803,780.2913208,2.227062464,54.46629333,2.190124989,637.1932373,2.196791649,46.09410477,2.15979147,634.0823364,2.166458368,47.76760101,2.128645897,744.2414551,2.135312319,52.43278122,2.254145861,94.58547211,2.260812283,17.77203941,2.284958363,82.97098541,2.291645765,15.21161366,2.316124916,77.04158783,2.322791576,14.32216167,2.346895933,87.90608215,2.353562355,15.65342617,
2.501666784,234.1784363,2.508312464,164.2337494,2.531895876,338.6625671,2.538562536,187.3219299,2.562479258,203.4769287,2.569145679,153.5159454,2.593124866,245.0036163,2.599791765,150.9380951,2.720625162,786.0234985,2.727312565,56.30253601,2.689895868,628.2463379,2.696562529,46.41698456,2.658645868,665.3134766,2.665312529,47.88899612,2.628291607,725.9447632,2.634979248,52.666996,2.757145882,92.73296356,2.763812542,17.71375275,2.787958384,81.21738434,2.794646025,14.25781155,2.818458319,74.9285965,2.825145721,13.875741,2.84881258,89.51064301,2.85547924,15.76351166,
3.001666784,236.3270264,3.008312464,166.6159515,3.031291723,336.1221619,3.037979126,185.2273254,3.062312603,206.2844238,3.068979025,152.2157898,3.092958212,244.9718323,3.099624872,153.9899597,3.219645977,792.0623779,3.226312399,56.84922409,3.189145803,637.3696899,3.195812464,47.32485962,3.158062458,648.7086792,3.164729118,47.46303558,3.127791643,706.4290161,3.134458303,53.2820282,3.255479097,92.2504425,3.262145758,18.32394791,3.286124945,81.68923187,3.292812586,14.60990906,3.317229271,76.09936523,3.323895693,14.01608562,3.34764576,87.37034607,3.35431242,15.46995544,
3.501666784,241.1743317,3.508312464,164.9584961,3.53262496,334.8547668,3.53929162,184.5731049,3.562958241,203.2765045,3.569625139,155.4819641,3.593291759,245.7579193,3.599958181,153.3550568,3.719062567,783.9237671,3.725729227,55.88317871,3.688812494,635.9164429,3.695479155,46.83224869,3.65762496,656.484314,3.66429162,47.91188431,3.627562523,734.5453491,3.634229183,52.41440201,3.754041433,93.06616974,3.760708332,17.9796505,3.784458399,81.89535522,3.791125059,14.73946953,3.815062523,75.38297272,3.821729183,14.05323505,3.845791578,87.84918976,3.852478981,16.42412758,
4.001666546,237.1043396,4.008312702,166.7573395,4.032124996,338.0484924,4.038791656,183.3307037,4.062791824,204.5014648,4.069458485,158.0160065,4.092625141,247.4604492,4.099312782,157.093811,4.220458031,766.1518555,4.227125168,55.13949966,4.18945837,642.7113647,4.196146011,46.60660553,4.159458637,655.6324463,4.166124821,46.69028473,4.1284585,728.6340942,4.135145664,51.50407791,4.254458427,94.87294006,4.261125088,17.77209854,4.284458637,80.43039703,4.291124821,14.89613628,4.315124989,75.50449371,4.321791649,14.18459034,4.344958305,86.45223999,4.351645947,16.31669998,
