Sample A9_Ex509_Em563,,Sample A9_Ex509_Em660,,Sample A10_Ex509_Em563,,Sample A10_Ex509_Em660,,Sample A11_Ex509_Em563,,Sample A11_Ex509_Em660,,Sample A12_Ex509_Em563,,Sample A12_Ex509_Em660,,Sample B9_Ex509_Em563,,Sample B9_Ex509_Em660,,Sample B10_Ex509_Em563,,Sample B10_Ex509_Em660,,Sample B11_Ex509_Em563,,Sample B11_Ex509_Em660,,Sample B12_Ex509_Em563,,Sample B12_Ex509_Em660,,Sample C9_Ex509_Em563,,Sample C9_Ex509_Em660,,Sample C10_Ex509_Em563,,Sample C10_Ex509_Em660,,Sample C11_Ex509_Em563,,Sample C11_Ex509_Em660,,Sample C12_Ex509_Em563,,Sample C12_Ex509_Em660,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.001666666707,359.6856995,0.008291666396,100.8034515,0.03254166618,331.362915,0.03914583474,87.14241791,0.06333333254,326.2875061,0.06995833665,123.1646423,0.09333333373,396.6376953,0.09995833039,89.07421112,0.2196666747,945.8320923,0.2262916714,60.63023376,0.188500002,913.3848267,0.1951250136,59.95018005,0.158374995,945.7985229,0.1649791747,60.93733978,0.1281666607,874.9938354,0.1347916573,59.07999039,0.2552083433,78.23863983,0.2618125081,14.47192287,0.285708338,68.29061127,0.2923125029,12.45992279,0.3156666756,79.94853973,0.3222916722,13.78191757,0.3465000093,78.18412018,0.353125006,13.49034119,
0.5016666651,357.8852844,0.5083333254,105.5309448,0.5322291851,328.5111389,0.5388958454,90.70040131,0.5620625019,322.7252808,0.5687291622,122.8322678,0.5933958292,386.2940674,0.6000624895,88.6144104,0.7213750482,943.9024658,0.7280416489,61.97290039,0.6902083158,896.3476563,0.6968749762,59.68342972,0.6602083445,914.088623,0.6668750048,62.33460617,0.6298750043,890.7512207,0.6365416646,58.73729324,0.7568749785,75.77817535,0.7635625005,14.36481571,0.7873750329,69.1496582,0.7940624952,12.06357002,0.8183957934,79.05094147,0.8250625134,14.34010601,0.8488958478,75.71720886,0.8555625081,13.10436153,
1.001666665,354.1537476,1.008333325,104.8204498,1.032708406,333.2068176,1.039374948,90.3973999,1.062979221,316.6769714,1.069645762,124.5821686,1.093875051,397.361969,1.100541711,88.41461945,1.222208261,957.5568848,1.228874922,62.73108673,1.191208363,888.5425415,1.197874904,58.6094017,1.161395788,932.6980591,1.168062449,61.45464325,1.130208373,892.1502686,1.136875033,57.91026306,1.256562591,75.72088623,1.263229132,14.72230816,1.286895871,70.85992432,1.293562412,12.42541695,1.317062497,80.04904175,1.323708296,14.19621563,1.347895861,76.9765625,1.354562521,12.86775208,
1.501666665,354.1130371,1.508333325,105.9012527,1.532062531,324.4158325,1.538729191,89.96337891,1.561874986,319.5769043,1.568541765,122.1122284,1.592812419,397.0289307,1.599479198,87.11235809,1.719708323,961.220459,1.726374984,61.78727341,1.689375043,867.2279663,1.696041584,58.24663925,1.658979177,909.2324219,1.665666699,61.28341675,1.628645778,868.1768188,1.635312557,58.10774994,1.754541636,75.69859314,1.761229157,15.02191639,1.785541654,69.54508972,1.792208314,12.73994255,1.816708326,79.82676697,1.823374987,13.99984455,1.846874952,80.83805084,1.853562593,13.03137779,
2.001666546,358.8179321,2.008333445,102.0137787,2.032374859,335.2347107,2.039041758,88.54599762,2.062708378,319.1778564,2.069375038,122.6118774,2.093041658,384.0918274,2.099708319,88.82365417,2.221041679,964.6693726,2.22770834,63.56374359,2.190812349,871.5994873,2.197479248,59.21495438,2.15979147,901.7606812,2.166458368,61.78055573,2.128708363,878.7093506,2.135395765,57.55466843,2.25722909,77.65977478,2.263895988,13.88975716,2.287729025,70.30224609,2.294395924,12.78664494,2.318374872,77.2622757,2.325041771,13.9679451,2.349708319,76.4585495,2.356375217,13.74710178,
2.501666784,357.8711853,2.508333445,101.8402328,2.533041716,327.2061157,2.539708376,89.20241547,2.56387496,323.2506714,2.57054162,125.5026321,2.59387517,391.3456726,2.600541592,86.92467499,2.722062349,952.541748,2.728729248,63.56800461,2.690875053,878.9889526,2.697541475,59.3338623,2.660062313,903.2750244,2.666729212,60.72787476,2.629895687,858.0048828,2.636562586,58.50934982,2.756312609,77.46213531,2.762979031,14.12061787,2.786791801,70.47982025,2.793458223,12.44240952,2.81756258,78.58527374,2.82422924,14.17517948,2.848479271,76.76506042,2.855145693,12.83643627,
3.001666784,362.206543,3.008333445,99.94218445,3.032875061,332.8757629,3.039541721,89.79413605,3.063895941,316.0252686,3.070562601,125.6901169,3.094375134,388.9994202,3.101041555,84.82222748,3.221062422,977.960022,3.227729321,61.5258255,3.189875126,883.7437134,3.196562529,58.9280777,3.159541607,918.8300781,3.166208506,61.92316055,3.129041433,879.9983521,3.135708332,56.53690338,3.255562544,76.2924881,3.262229204,14.55833912,3.285895824,69.03945923,3.292562723,13.06128883,3.316229343,80.49917603,3.322895765,14.26140118,3.347062349,76.0544281,3.353729248,14.06764126,
3.501666784,360.9487305,3.508333445,102.5083694,3.532875061,330.5465698,3.539541721,88.21038055,3.563458204,315.0590515,3.570125103,124.7836075,3.59489584,389.1994629,3.6015625,86.39342499,3.722229242,966.526062,3.728895903,62.4991188,3.691958427,890.4559326,3.698624849,58.63866806,3.661395788,908.4351196,3.668062687,60.71240234,3.631041765,836.9873657,3.637708187,58.50958633,3.756708384,78.19119263,3.763396025,14.30558109,3.787875175,70.92201996,3.794541597,12.76468086,3.817874908,81.05899048,3.824541807,14.14006424,3.848374844,77.10019684,3.855041742,13.48512936,
4.001666546,374.2844238,4.008333206,101.5226974,4.033041477,329.3643188,4.039708614,85.15190125,4.063729286,324.9428101,4.070395947,123.8815155,4.094312668,387.7958984,4.100979328,84.83260345,4.222541332,951.2286987,4.229208469,60.62467194,4.192541599,875.6689453,4.19920826,59.44701385,4.161375046,909.1620483,4.168041706,60.85722733,4.131541729,875.9659424,4.138208389,57.42913437,4.258708477,77.24165344,4.265375137,14.1273222,4.289874554,70.33488464,4.296541691,12.25184917,4.320374966,79.43768311,4.327041626,14.41866016,4.350395679,76.40007782,4.35706234,13.01030827,
