Sample F9,,Sample F10,,Sample F11,,Sample F12,,Sample G9,,Sample G10,,Sample G11,,Sample G12,,Sample H9,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.001666666707,147.4370728,0.02408333495,175.5265503,0.04558333009,158.461441,0.0679166615,190.3127136,0.1628749967,243.9088593,0.1401041597,208.8842926,0.1169166639,282.7821655,0.09443750232,322.8287354,0.1905416697,88.3250885,0.2135416716,73.34365845,0.2367499918,81.90922546,0.2590833306,79.49833679,
0.5016666651,144.6085358,0.5233333111,182.4832153,0.5456666946,161.073349,0.5687500238,192.6198883,0.6651041508,233.4538116,0.6425208449,211.5989685,0.6194583178,264.8382263,0.5967708826,310.8713074,0.6934375167,87.56032562,0.7154375315,73.27125549,0.7388333678,81.155159,0.761916697,78.87307739,
1.001666665,143.184494,1.0234375,184.1946106,1.046270847,163.8864288,1.069104075,188.1295166,1.165500045,230.6937866,1.14327085,214.8897095,1.120416641,266.6217041,1.097416639,298.5895081,1.192416668,88.21585846,1.214437485,73.2456665,1.238083363,81.04949951,1.260270834,80.50016785,
1.501666665,142.6168823,1.524749994,187.1957245,1.547583342,158.0102997,1.570500016,194.938736,1.665583253,230.4887848,1.642625093,211.5810547,1.619583368,261.8293457,1.596916676,302.2048035,1.692499995,87.48101807,1.71541667,72.26128387,1.737270832,82.94701385,1.760499954,79.80947113,
2.001666546,144.8153076,2.023583412,194.628479,2.045270681,161.9826202,2.067500114,195.504425,2.163125038,233.1924591,2.139625072,207.8917847,2.117291689,263.7718506,2.094583273,305.5458984,2.191437483,86.40981293,2.2134583,72.82698059,2.237020969,80.91417694,2.259604216,81.22441101,
2.501666784,144.8574524,2.523937464,196.4788513,2.546770811,163.4459991,2.569437504,197.9266968,2.665937662,237.9777222,2.643083334,205.8108521,2.620020866,267.5588074,2.598104,302.1358643,2.693916559,88.08552551,2.717083216,73.49674988,2.739937544,83.49047089,2.76274991,80.73800659,
3.001666784,144.2121735,3.024416685,197.073761,3.046958447,166.824295,3.069604158,200.2082214,3.163604259,239.1672668,3.141354084,204.8103943,3.119999886,265.5623169,3.097625017,294.2848511,3.190270662,87.81123352,3.213270903,73.55258942,3.235437632,82.26070404,3.258416653,78.89175415,
3.501666784,145.2635345,3.52458334,196.6776886,3.547083378,166.2918396,3.569937468,204.337616,3.665604115,242.3517914,3.642771006,210.6846161,3.620270729,261.5204773,3.597937584,286.5738525,3.692333221,87.18894958,3.716083288,74.3336792,3.738937378,81.99893188,3.760937452,80.81103516,
4.001666546,147.6657867,4.023499966,198.0789948,4.046249866,167.9078674,4.069604397,204.5762939,4.164166927,239.1694031,4.140937328,215.2887268,4.118937492,262.269989,4.095770836,286.4095154,4.192416668,87.77909088,4.214937687,73.32923889,4.238104343,80.9644928,4.260437489,79.2904892,
4.501666546,143.6935272,4.52368784,196.7102051,4.54643774,168.0222168,4.569333553,207.1423798,4.665937424,237.8242035,4.64293766,213.6033478,4.620854378,261.8536682,4.597437382,300.527832,4.694582939,86.89039612,4.717416763,72.72994995,4.740020752,83.16316223,4.761854172,81.22472382,
5.001666546,145.2658691,5.023416519,200.4456177,5.045603752,167.0513,5.06835413,209.2007599,5.164021015,235.5204773,5.140958309,215.7875671,5.118270874,260.4499512,5.095083237,297.2925415,5.192124844,86.67618561,5.214250088,73.49869537,5.236937523,82.64355469,5.260499954,80.31050873,
5.501666546,145.6316681,5.524416447,203.8400116,5.547270775,166.7527466,5.569458485,207.4388428,5.666333675,235.38414,5.643603802,212.2053986,5.620916843,262.0351868,5.59800005,292.9875183,5.694270611,87.39033508,5.717083454,73.79305267,5.740770817,81.97885895,5.763583183,78.31668091,
6.001666546,142.4296722,6.023604393,203.4563751,6.046770573,170.7578888,6.069291592,213.6363678,6.165437222,239.2507172,6.142437935,214.6467896,6.119771004,261.8009949,6.096916676,300.7312012,6.191957951,87.8494339,6.214916706,73.8146286,6.236791611,82.20858002,6.260416508,81.63538361,
6.501666546,148.1643372,6.524520874,205.1203308,6.546604633,171.0280914,6.56952095,212.5258789,6.66362524,240.2198334,6.639770985,221.5178375,6.61868763,263.7029724,6.596604347,309.2893372,6.691416264,87.64969635,6.714125156,73.74230957,6.737770557,79.88380432,6.760749817,80.54418945,
7.001666546,146.9697723,7.023104191,205.9636078,7.044250011,170.8431244,7.067749977,217.9932098,7.159249783,238.7719574,7.137333393,219.2680359,7.116271019,261.9966125,7.094250202,309.0598755,7.18724966,86.7431488,7.209937572,74.62757111,7.232083321,80.96092987,7.253916264,81.98046112,
7.501666546,146.0388641,7.523020744,212.1734772,7.545770645,169.6448212,7.568583012,216.4916077,7.663792133,236.4065399,7.640770912,215.127594,7.618083,256.6661682,7.59649992,298.6327209,7.691333294,85.8074646,7.713125229,74.26713562,7.735937595,81.4927597,7.758624554,80.00698853,
8.001667023,148.4413147,8.023458481,209.0362854,8.045749664,172.6415405,8.068437576,214.8252563,8.165082932,233.8500519,8.142292023,216.2818146,8.119271278,256.1867981,8.096416473,303.6757202,8.192958832,87.28675842,8.216291428,73.61672974,8.239167213,81.85192871,8.261333466,81.35945892,
8.501667023,147.8957977,8.524603844,212.2400818,8.54668808,174.5609436,8.567749977,220.3765106,8.664999962,237.0272675,8.64212513,212.3510284,8.619271278,261.7351379,8.596688271,300.7685852,8.692770004,87.93872833,8.716166496,73.15158081,8.738750458,81.33989716,8.76091671,80.3099823,
9.001666069,149.4634705,9.023938179,211.7500153,9.046771049,171.7961884,9.069604874,219.9120178,9.166166306,238.4282074,9.143437386,217.4783325,9.120583534,254.8587952,9.09774971,304.451355,9.192438126,86.47040558,9.214499474,72.38669586,9.236416817,81.59427643,9.258915901,80.58325958,
9.501666069,149.0679321,9.523916245,214.3805847,9.546771049,178.0916138,9.569687843,222.5516357,9.664104462,234.2407532,9.641583443,219.1465607,9.620354652,258.8982849,9.597958565,300.1219788,9.692583084,86.36205292,9.715270996,74.20583344,9.738082886,80.5067215,9.759520531,80.14148712,
10.00166607,150.4413757,10.0244379,212.230835,10.04716682,175.6824341,10.06808376,225.7419586,10.16300011,239.5361023,10.14110374,217.8132477,10.11762524,260.6183777,10.09527111,304.5521545,10.1897707,87.71183777,10.2127924,75.23192596,10.23558331,82.01172638,10.25874996,81.29376221,
10.50166607,151.2065735,10.5234375,216.6219788,10.54600048,177.9521942,10.56860447,233.6130066,10.66541672,234.7011261,10.64274979,213.6884003,10.61941624,261.5592957,10.59685421,298.9825439,10.69243813,87.15367126,10.71508408,73.53831482,10.73779202,82.10603333,10.76041698,81.06230164,
11.00166607,150.2620087,11.02418709,212.8500824,11.04593754,176.9493256,11.06879139,229.0357819,11.16377068,237.9875641,11.14193726,215.4455261,11.11995888,257.3619995,11.09710407,297.7640991,11.19185352,85.66481018,11.21475029,73.55057526,11.2369175,81.67124176,11.25977039,80.41530609,
11.50166607,152.1995697,11.52395821,214.9749908,11.54675007,177.5554657,11.56966686,226.9931488,11.66291714,235.5061035,11.64008427,216.339325,11.61883354,260.370575,11.59625053,308.3827515,11.69091702,86.74667358,11.71391678,74.32214355,11.73683357,82.31022644,11.7589159,79.90913391,
12.00166607,150.76474,12.0234375,216.5430756,12.04568768,177.205246,12.06677055,229.6990967,12.16174984,238.344986,12.13958359,218.8787994,12.11625004,253.9303589,12.09312534,302.993103,12.19033337,86.77520752,12.21177101,73.3469696,12.23443699,80.31288147,12.25716686,81.26002502,
