Sample A1,,Sample A2,,Sample A3,,Sample B1,,Sample B2,,Sample B3,,Sample C1,,Sample C2,,Sample C3,,Sample D1,,Sample D2,,Sample D3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,152.085968,0.02187499963,2.030212641,0.04254166782,71.01366425,0.1115208343,142.1929779,0.09062500298,3.073440313,0.06899999827,74.75172424,0.1376666725,145.8734131,0.1591666639,2.274089336,0.1801874936,75.49713898,0.2467916608,144.5060425,0.2252916694,2.503307343,0.20479168,71.43630219,
1.000833273,153.2007446,1.022166729,2.146545649,1.043333292,71.90522003,1.111541629,141.2623596,1.090520859,3.197978973,1.069499969,74.61512756,1.136166692,141.7906342,1.156499982,2.200333595,1.177166581,75.64782715,1.243666768,149.6464233,1.222666621,2.611645937,1.201833367,67.96525574,
2.000833273,150.6999969,2.021333218,2.097685337,2.041499853,71.87203217,2.108833313,141.2349091,2.087604046,3.266401768,2.066541672,73.65645599,2.134916782,144.7787323,2.156104326,2.283457279,2.177333355,74.07775116,2.24541688,148.3373718,2.224187374,2.602492571,2.203854084,67.54940033,
3.000833273,150.3888092,3.020749807,2.202058792,3.042000055,71.44029236,3.109833241,138.2731934,3.088604212,3.194986105,3.067687511,72.92064667,3.135937452,143.9248047,3.157270908,2.16468811,3.177666664,73.86715698,3.246604204,150.9027252,3.225354195,2.579299688,3.203854084,66.63887787,
4.000833511,149.2228546,4.02183342,2.162918806,4.042687416,70.95948029,4.108603954,142.1698151,4.087416649,3.299363136,4.06720829,73.08604431,4.135250092,140.4383087,4.157021046,2.282206774,4.177854061,74.91177368,4.244604111,151.8939209,4.223249912,2.538829088,4.201916695,68.46466827,
5.000833035,149.3493958,5.020916939,2.048886299,5.041333675,71.74365234,5.109187126,138.3868561,5.088521004,3.464679241,5.068020821,72.71304321,5.133937359,144.1086578,5.155499935,2.416696548,5.176353931,74.51050568,5.244020462,151.820755,5.22302103,2.589351892,5.202666759,67.43087006,
6.000833035,150.366684,6.021187305,2.159675598,6.042541504,71.84690094,6.111166954,139.6839752,6.089999676,3.289910793,6.069333553,73.27616882,6.135166645,144.6959991,6.156666756,2.358282566,6.177187443,75.75395966,6.245500088,154.3938141,6.224104404,2.658228874,6.203520775,67.74945068,
7.000833035,148.642807,7.021666527,2.204065084,7.043187618,71.90457916,7.110333443,140.9392395,7.088166714,3.364110231,7.067875385,74.59589386,7.135000229,141.8777466,7.155333519,2.24706912,7.176332951,74.66679382,7.244833469,154.4146118,7.224667072,2.644279003,7.203270912,67.18885803,
8.000833511,150.458313,8.020208359,2.11662364,8.04127121,71.10774231,8.109541893,138.3173981,8.088541985,3.398328781,8.068354607,72.91414642,8.136500359,138.9757996,8.157000542,2.274966478,8.177854538,73.66101074,8.246354103,157.6607208,8.225354195,2.416021824,8.204187393,67.15861511,
9.000833511,145.0017548,9.02183342,2.276473999,9.042853355,71.22346497,9.111332893,140.2214661,9.090332985,3.142015934,9.068917274,72.2421875,9.135166168,141.9795074,9.156374931,2.33539772,9.177437782,74.26811218,9.245666504,156.5385437,9.224604607,2.383392572,9.204375267,66.58714294,
10.00083351,147.6822662,10.02202034,2.20207572,10.04235458,70.23933411,10.10985374,139.7198334,10.08968735,3.371058941,10.06849957,73.39572144,10.13633347,143.0743408,10.1578331,2.289434433,10.17916679,74.5296936,10.24504185,162.5767822,10.2241869,2.500850677,10.20368767,65.80110931,
11.00083351,146.6105194,11.02187538,2.060225487,11.04310417,70.39160919,11.11199951,140.7903442,11.09091663,3.287583828,11.07002068,72.30097198,11.13793755,145.9296112,11.15899944,2.304184437,11.17933369,74.65788269,11.2463541,161.8273773,11.22516727,2.626298666,11.20483303,67.38127136,
12.00083351,148.0940247,12.02149963,2.082764626,12.04300022,70.66997528,12.10852051,140.7304382,12.08770847,3.405019522,12.06733322,72.39559174,12.13333321,142.6780396,12.15416622,2.37612462,12.17516708,72.78639984,12.24285412,162.508255,12.22149944,2.649758816,12.20060444,66.34441376,
13.00083351,147.1456909,13.02133369,2.224659443,13.04216671,69.74407959,13.11093712,141.2922821,13.08937454,3.220496655,13.06808376,74.24922943,13.13493729,141.9232483,13.15608311,2.352426767,13.17700005,73.29046631,13.24600029,162.9528198,13.22420883,2.553460598,13.20399952,66.32540131,
14.00083351,148.1053772,14.02168751,2.098118067,14.04218769,70.25170135,14.10941696,136.0126801,14.08808327,3.228410006,14.06693745,71.30435181,14.13568687,142.8934326,14.15687466,2.42669034,14.17791653,73.45523834,14.24366665,163.2870483,14.2234993,2.53947854,14.20233345,66.7698822,
15.00083351,146.0932159,15.0211668,2.215365171,15.04235458,70.09107208,15.11102104,137.4756622,15.09000015,3.445028543,15.06877041,71.58258057,15.13541698,139.8899689,15.15637493,2.24682498,15.17816639,73.33181,15.24383354,167.5086823,15.22302055,2.624896765,15.20191669,65.18630219,
16.00083351,147.7272644,16.02183342,2.079945087,16.0420208,69.31179047,16.1087513,138.0375671,16.08835411,3.252188921,16.06733322,71.92696381,16.13502121,138.9780426,16.15535355,2.313949108,16.17668724,72.84274292,16.24383354,163.105484,16.22368813,2.64368248,16.20243645,64.78619385,
17.00083351,148.6343994,17.02102089,2.193421364,17.04218674,71.46195221,17.11104202,138.0261841,17.0895195,3.339310646,17.06916618,70.99837494,17.1356678,142.383316,17.15633392,2.237610817,17.17685318,74.95061493,17.24475098,170.222229,17.22377205,2.620269537,17.20343781,66.42115784,
18.00083351,148.3242035,18.0206871,2.259005785,18.0419178,69.47190094,18.1099987,137.8662567,18.08902168,3.303231955,18.06816673,72.65631104,18.13618851,141.5006409,18.15704155,2.246866465,18.1784153,73.82556152,18.24435425,167.8453369,18.22335434,2.71614027,18.20300102,64.47320557,
19.00083351,152.9998779,19.02166748,2.166718245,19.04250145,70.74395752,19.11016655,139.1544647,19.09008408,3.549132347,19.06902122,70.7904129,19.13620758,142.4375458,19.15668678,2.287414312,19.1780014,73.2199173,19.24433327,167.8018799,19.2236042,2.486035347,19.2023735,65.338974,
20.00083351,143.408371,20.02083397,2.16144371,20.04102135,70.20565796,20.10802078,136.9399414,20.08766747,3.430859327,20.06610489,71.26501465,20.13458252,140.7726593,20.1554985,2.424271584,20.17637444,74.11759186,20.24270821,168.7624207,20.22199821,2.62283206,20.20100021,65.39860535,
