Sample E1,,Sample E2,,Sample E3,,Sample F1,,Sample F2,,Sample F3,,Sample G1,,Sample G2,,Sample G3,,Sample H1,,Sample H2,,Sample H3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,36.12467575,0.02231249958,8.920628548,0.04347916692,280.2622375,0.1119375005,32.45494461,0.09097916633,12.20901489,0.07010416687,282.9207153,0.1361458302,32.47939301,0.1574791521,7.378734589,0.1783124954,256.5081482,0.2472708374,59.75073242,0.2253541648,12.2884798,0.2050208449,263.7177734,
1.000833273,36.17672729,1.021645904,8.5859375,1.042687535,273.6319885,1.10914588,32.74291611,1.088062525,11.70245743,1.067395806,282.0400696,1.133833289,31.09871864,1.154312491,7.512857437,1.175500035,246.0206604,1.241333365,65.80403137,1.220729232,13.25710773,1.200520873,260.3521729,
2.000833273,35.81044006,2.02033329,9.388682365,2.041499853,277.9292297,2.110166788,32.7525444,2.088729143,11.08295155,2.068062544,276.5203857,2.134395838,31.50128555,2.155583382,7.493251801,2.17658329,246.0756073,2.244333506,69.87887573,2.223312378,12.89261627,2.202979326,252.4463501,
3.000833273,36.1062355,3.020666838,9.363945007,3.041854143,286.2625427,3.107645988,32.76074219,3.086979151,11.34142208,3.066145897,272.3316956,3.132479191,31.33386421,3.153479338,7.778405666,3.174166679,253.8201141,3.240833282,75.1419754,3.220000029,12.65754223,3.198979139,260.5065613,
4.000833511,37.74715805,4.02183342,8.672660828,4.042833328,281.6948547,4.109312534,32.31238174,4.087812424,11.73829937,4.066812515,270.8981323,4.133333206,31.46136856,4.154312611,7.92422533,4.175312519,250.5648804,4.243666649,77.08621979,4.222854137,12.50643253,4.201333523,250.796402,
5.000833035,35.89299011,5.021749973,8.916660309,5.043145657,278.3310242,5.111583233,33.23111343,5.090666771,11.320755,5.069979191,267.6703186,5.138145924,30.82814217,5.159312248,7.840108871,5.180333614,246.5229034,5.246666431,81.93927002,5.225333214,12.87595654,5.204833508,256.8511963,
6.000833035,37.74576569,6.020895958,9.315933228,6.042083263,275.7965698,6.109229088,33.12522507,6.088583469,11.41327477,6.066978931,274.5845947,6.13556242,32.05289459,6.156166553,8.054240227,6.176979065,252.8208466,6.245354176,82.38384247,6.224687576,12.85460949,6.203395367,250.1417694,
7.000833035,36.2220192,7.021812439,9.578190804,7.042250156,270.2807617,7.108812332,32.8776741,7.088062763,12.07406044,7.067166805,281.2509155,7.133749962,32.10301208,7.154520512,7.600897312,7.175729275,248.1023712,7.244812489,86.60808563,7.222854137,13.35313797,7.201833248,245.2123566,
8.000833511,35.42391586,8.020833015,8.657773018,8.041999817,279.8825073,8.108979225,32.39812469,8.087812424,11.64374924,8.066812515,268.0987244,8.133500099,30.72555161,8.154313087,8.048793793,8.175312042,246.7055817,8.243729591,94.66123962,8.222166061,12.9121294,8.201499939,251.5468903,
9.000833511,35.65540314,9.02183342,9.780343056,9.04268837,271.4526978,9.108729362,31.5013237,9.088354111,11.82057095,9.067416191,281.3577271,9.134979248,32.13594818,9.155667305,8.35771656,9.176980019,254.5095673,9.245083809,93.07208252,9.224582672,12.73247242,9.20372963,254.4040985,
10.00083351,37.35214996,10.02091694,9.467538834,10.04181194,274.6474304,10.10999966,31.91292191,10.08949947,12.37468147,10.06797886,270.6173706,10.1345005,33.6482811,10.15533352,7.693404675,10.17597961,249.6283875,10.24481201,95.83370209,10.22322941,13.1554203,10.20300007,260.4009094,
11.00083351,36.50838852,11.02168751,8.398453712,11.04206276,264.7767639,11.11141682,32.66910553,11.08939648,10.83300495,11.06875038,275.4984741,11.13531303,31.99653625,11.15625,8.450372696,11.17708302,250.9426422,11.24441624,93.40592957,11.22364616,13.3332262,11.20247936,253.4525757,
12.00083351,35.5494957,12.02131271,8.959154129,12.04206276,276.6827087,12.10999966,33.52528,12.08931255,11.04657269,12.06797886,268.4352722,12.13664532,31.02468491,12.15747929,7.784617901,12.17797947,246.0601959,12.24581337,99.56682587,12.22531223,13.15717983,12.20466709,252.8087158,
