Sample A10,,Sample A11,,Sample A12,,Sample B10,,Sample B11,,Sample B12,,Sample C10,,Sample C11,,Sample C12,,Sample D10,,Sample D11,,Sample D12,,Sample E10,,Sample E11,,Sample E12,,Sample F10,,Sample F11,,Sample F12,,Sample G10,,Sample G11,,Sample G12,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,53.59516907,0.02145833336,8.476606369,0.04295833409,310.3215637,0.1091666669,51.86433029,0.08850000054,8.443695068,0.06733333319,345.4765625,0.1359999925,49.06779099,0.1559999883,8.24074173,0.1770416796,377.1049194,0.2438958287,60.68699265,0.2232500017,8.556764603,0.2024166733,305.8579407,0.2706666589,52.53380966,0.2909999788,8.275053978,0.3125,360.7672119,0.3783958554,56.52347946,0.3578958213,7.418261051,0.3368749917,316.903717,0.4034166634,57.47939682,0.4247500002,7.129725456,0.4461666644,311.9354248,0.5123333335,73.49362183,0.4913333356,7.659932613,0.4704999924,316.0684509,
1.000833273,49.4040184,1.021541715,9.441102028,1.04239583,287.3310242,1.110958338,51.54100037,1.089125037,8.072824478,1.06858325,340.2901306,1.135291696,49.12250137,1.155812502,8.428671837,1.177062511,374.7593994,1.246062517,61.97122192,1.225250006,7.855478764,1.203583241,308.8086243,1.272624969,49.27147293,1.293479204,7.605591297,1.314812422,350.8087158,1.381395817,58.40220642,1.360041738,7.574147224,1.338895798,323.8061218,1.407062531,57.34896851,1.428229094,7.191671371,1.449249983,314.584137,1.517562509,74.92956543,1.496291637,8.287249565,1.475812554,307.1348572,
2.000833273,49.39404678,2.020541668,9.323709488,2.04181242,275.9853516,2.110708475,51.90709305,2.089562416,7.994049072,2.068708181,340.1182861,2.137374878,52.54753494,2.158041716,8.040447235,2.179208279,368.3041077,2.245479107,67.41371918,2.224541664,7.582998276,2.203875065,301.6097717,2.270375013,52.77516937,2.291312456,8.631465912,2.311895847,343.5292969,2.37854147,55.5008812,2.357875109,7.743261337,2.336541653,307.0041504,2.4037292,59.05197144,2.42406249,7.537767887,2.445395947,316.8534241,2.513062477,75.84945679,2.492229223,7.749693394,2.47162509,312.8069153,
3.000833273,50.47159958,3.021979332,9.288433075,3.042479277,274.2314453,3.11156249,53.14897919,3.090562344,7.885975838,3.069562435,328.7428894,3.135729313,52.8178215,3.156895876,7.757324219,3.177395821,365.0749207,3.246416807,69.59673309,3.225125074,8.72243309,3.204458475,298.3545532,3.271208525,52.75544357,3.292041779,7.851612568,3.31272912,325.5306091,3.378208399,57.46014404,3.357562542,7.842493057,3.337229252,308.3170166,3.404895782,59.57994843,3.425708294,7.242753029,3.446541548,301.059967,3.51504159,82.44059753,3.49356246,7.63550663,3.473208427,312.6533813,
4.000833511,51.52613449,4.02112484,9.399171829,4.042562485,281.3655396,4.108541489,50.83364868,4.088208199,7.659352303,4.066625118,324.1895447,4.134729385,52.57896423,4.155395985,7.668613911,4.177062511,362.4488831,4.246145725,71.45722961,4.224874973,7.584252357,4.203291416,297.8716736,4.272375107,55.15154266,4.293208122,8.385777473,4.313874722,325.7174377,4.380541325,57.4945755,4.359375,7.035381794,4.338541508,296.2089844,4.406541348,59.09368515,4.428041458,8.091030121,4.448541641,305.0982666,4.516083241,84.94137573,4.495416641,7.676970959,4.47506237,304.4163818,
5.000833035,51.96405792,5.020874977,9.031598091,5.041875362,281.0333252,5.110062599,53.84831619,5.088729382,8.186314583,5.067895889,314.7791748,5.134062767,53.12627411,5.155229092,7.745528698,5.175916672,365.7821045,5.244708061,69.76993561,5.223708153,8.758018494,5.202562332,299.4130554,5.269395828,55.17050171,5.289729118,8.288031578,5.310708046,316.4645081,5.379125118,56.3771019,5.358624935,7.715095997,5.337291241,291.7712097,5.40554142,58.41030121,5.426874638,6.876988411,5.448145866,294.7350159,5.514874935,84.08571625,5.493708134,7.932561398,5.472479343,303.9863892,
6.000833035,53.65610123,6.021542072,8.688028336,6.041958332,284.4110107,6.110395908,53.42432022,6.089708328,8.338287354,6.068541527,319.3408203,6.136416435,53.66602325,6.157624722,7.504837513,6.178792,364.9809875,6.245707989,72.61792755,6.224708557,8.769530296,6.203541756,292.6825256,6.270395756,56.25556564,6.290395737,7.573872566,6.311979294,303.5644836,6.377708435,54.73523712,6.357562065,7.536297798,6.335875034,294.1924438,6.404229164,58.79350662,6.424874783,7.135906696,6.446208,289.0290527,6.514229298,86.20555878,6.492875099,8.050668716,6.472229004,305.8396912,
7.000833035,54.85755157,7.021458626,9.469081879,7.041916847,289.5716248,7.110312462,52.99464035,7.089395523,8.435325623,7.068875313,319.1246338,7.137041569,54.10652542,7.15739584,7.682025433,7.178562641,356.970459,7.246958256,72.94847107,7.226292133,8.43901825,7.205458641,298.1645813,7.271874905,55.47493362,7.292708397,8.007328033,7.31320858,291.8598633,7.381583214,56.14261246,7.361249924,7.495414734,7.339729309,283.4884644,7.408708096,57.86151886,7.429208279,7.642192841,7.450541496,289.4266052,7.516708374,89.27926636,7.495874882,8.185221672,7.474708557,301.4101563,
8.000833511,52.10968018,8.02112484,9.250315666,8.04145813,286.1761169,8.108562469,52.40098953,8.087229729,8.102294922,8.066896439,310.4095459,8.134916306,54.97528076,8.155124664,8.081160545,8.17647934,350.6006165,8.244750023,71.85089874,8.2240839,8.267889977,8.203395844,290.1144409,8.271416664,55.5111351,8.292082787,8.436844826,8.313458443,288.3548584,8.381541252,55.42486954,8.360375404,8.120965004,8.339374542,284.0059814,8.407917023,56.22464752,8.429291725,7.327402115,8.449791908,278.1530457,8.518312454,89.60379791,8.497125626,8.475164413,8.47647953,298.1407776,
