Quality Indicator	Measurement Type	Result State	Sample Name	Measurement Start Date And Time	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	Ext 1 Ctrl	07/08/2023 14:31	134.2	0.0778	100	145.4
GoodData	Size	Completed	Ext 1 0 ATP	07/08/2023 14:34	156.6	0.08032	100	172.3
GoodData	Size	Completed	Ext 2 Ctrl	07/08/2023 14:37	135.1	0.07763	100	146.3
GoodData	Size	Completed	Ext 2 0 ATP	07/08/2023 14:40	157.6	0.08314	100	174
GoodData	Size	Completed	Ext 3 Ctrl	07/08/2023 14:43	134	0.02586	100	141.6
GoodData	Size	Completed	Ext 3 0 ATP	07/08/2023 14:46	160.2	0.03978	100	170.2
GoodData	Size	Completed	Ext 1 1uM ATP	07/08/2023 14:49	153	0.0675	100	164.8
GoodData	Size	Completed	Ext 2 1uM ATP	07/08/2023 14:53	166.6	0.1233	100	188
GoodData	Size	Completed	Ext 3 1uM ATP	07/08/2023 14:56	161.2	0.005051	100	167.4
GoodData	Size	Completed	Ext 1 10uM ATP	07/08/2023 14:58	160.9	0.02144	100	166.4
GoodData	Size	Completed	Ext 2 10uM ATP	07/08/2023 15:01	162.1	0.08665	100	180.1
GoodData	Size	Completed	Ext 3 10uM ATP	07/08/2023 15:04	160.4	0.1568	100	172.3
GoodData	Size	Completed	Ext 1 100uM ATP	07/08/2023 15:13	167.8	0.08817	100	185.8
GoodData	Size	Completed	Ext 2 100uM ATP	07/08/2023 15:15	158.6	0.04995	100	168.8
GoodData	Size	Completed	Ext 3 100uM ATP	07/08/2023 15:18	163.6	0.08355	100	177.4
GoodData	Size	Completed	Ext 1 1mM ATP	07/08/2023 15:27	162.9	0.116	100	179.1
GoodData	Size	Completed	Ext 2 1mM ATP	07/08/2023 15:30	158.7	0.05068	100	169.9
GoodData	Size	Completed	Ext 3 1mM ATP	07/08/2023 15:33	164.4	0.05848	100	176.9
GoodData	Size	Completed	Ext 1 3mM ATP	07/08/2023 15:41	157.1	0.1213	100	168.9
GoodData	Size	Completed	Ext 2 3mM ATP	07/08/2023 15:43	158.4	0.1372	100	179.9
GoodData	Size	Completed	Ext 3 3mM ATP	07/08/2023 15:45	159.6	0.07381	100	172.9
