Well,Content,Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30)
,Time [s],0,60,120,180,240,300,360,420,480,540,600,660,720,780,840,900,960,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1620,1680,1740,1800,1860,1920,1980,2040,2100,2160,2220,2280,2340,2400,2460,2520,2580,2640,2700,2760,2820,2880,2940,3000,3060,3120,3180,3240,3300,3360,3420,3480,3540,3600,3660,3720,3780,3840,3900,3960,4020,4080,4140,4200,4260,4320,4380,4440,4500,4560,4620,4680,4740,4800,4860,4920,4980,5040,5100,5160,5220,5280,5340
A01,Sample X1,3464131,3472985,3441811,3489955,3453801,3439044,3433511,3460257,3456014,3452694,3420045,3437938,3413220,3465237,3484052,3403813,3392376,3404182,3420967,3421152,3441258,3385551,3376882,3369688,3395881,3380755,3371164,3354931,3369872,3348844,3359174,3377804,3344786,3385551,3415249,3355485,3337777,3361387,3390347,3338699,3338699,3352718,3337777,3339621,3337777,3390163,3346077,3335194,3334456,3360280,3388318,3333534,3330952,3344048,3340912,3362863,3345339,3327631,3356407,3319146,3345155,3327631,3367474,3399386,3339806,3332796,3374668,3342019,3325233,3340912,3327447,3335932,3376513,3337039,3329845,3340912,3353824,3347553,3382231,3333534,3329845,3363601,3326525,3349029,3340912,3338330,3344233,3361572,3360834,3361572
A02,Sample X2,36800213,36798369,36829358,36812757,36835814,36872521,36837105,36807038,36824009,36816815,36861638,36844852,36883220,36834892,36816815,36823824,36851308,36801689,36787855,36768855,36746536,36745245,36722556,36676257,36682898,36666297,36646928,36640841,36653384,36635307,36572223,36548981,36568902,36530166,36477227,36514487,36510798,36491245,36416909,36442917,36410084,36367474,36353270,36365814,36363047,36342756,36304942,36313427,36319330,36262332,36242411,36254032,36248682,36220460,36216587,36239459,36206810,36194267,36164938,36142250,36126386,36124173,36076398,36112736,36083223,36084699,36041535,36005566,36014420,35994130,35975868,35980480,35927909,35938977,35908541,35916104,35875338,35895075,35873678,35871465,35858737,35809856,35804322,35841951,35776837,35783662,35806904,35820001,35788089,35721131
A03,Sample X3,22765317,25250527,25729750,26138879,26477545,26702216,26834288,26975030,27034795,27088103,27147683,27178119,27214826,27221835,27264630,27248029,27264445,27241573,27220175,27248213,27225156,27239728,27215564,27191215,27231243,27227738,27233825,27206157,27222758,27219253,27201914,27201914,27218700,27196934,27203205,27186788,27192322,27174061,27186419,27195273,27165022,27195827,27171109,27174061,27169818,27186051,27171663,27148605,27141043,27153586,27136800,27163547,27140674,27142887,27145285,27156168,27137353,27144732,27126102,27131082,27110238,27114112,27085152,27104335,27098248,27116510,27091608,27109685,27110054,27054163,27046415,27030921,27060619,27063386,27056192,27020222,27055823,27053794,27016902,27022805,27016902,27015426,27002699,26975214,26999378,27000301,27000485,26989233,26998272,26945148
A04,Sample X4,17294831,26627695,28554364,29388854,29786178,29917328,29996645,30042022,30095884,30188298,30218918,30215782,30260790,30250091,30301002,30259867,30271673,30269090,30298788,30325719,30271673,30340476,30309856,30276469,30320185,30255625,30320001,30323137,30308749,30339738,30324243,30332913,30316496,30335864,30339185,30343796,30327564,30368698,30367222,30357446,30343427,30379765,30369251,30348039,30353572,30366300,30377552,30358368,30358368,30315574,30359291,30374416,30346932,30319632,30414628,30371649,30393969,30345456,30367960,30329777,30330884,30320923,30292517,30345641,30315574,30329224,30342689,30314283,30284769,30238101,30290488,30270197,30322214,30272595,30251382,30294915,30267615,30302293,30304322,30265586,30250644,30240499,30254887,30148454,30209695,30123921,30168745,30212646,30230723,30216335
A05,Sample X5,19078729,23479356,24035499,24205754,24171998,24286731,24463627,24480597,24552905,24547002,24559730,24517489,24539993,24538517,24486316,24461229,24463812,24416406,24388368,24387630,24362728,24335613,24309420,24304808,24262752,24241539,24259063,24198745,24238588,24201696,24159639,24160193,24172367,24153737,24145252,24133262,24101351,24104855,24062430,24068517,24053760,24041586,24038266,24058372,24004141,23999898,23998423,23948434,23961715,23930542,23927591,23912096,23884058,23875942,23863030,23862661,23809168,23746083,23825032,23748666,23710114,23728191,23726715,23656437,23685581,23645185,23672116,23647029,23633379,23466260,23593536,23609400,23579517,23535247,23525840,23553509,23551111,23546684,23450765,23402991,23409816,23352449,23333450,23316664,23298218,23264278,23239376,23252841,23184223,23165039
A06,Sample X6,22708320,25809990,25924539,26170237,26220964,26336803,26505767,26548193,26562212,26613307,26630646,26670858,26661082,26620870,26716419,26671965,26671965,26530300,26673071,26662926,26668829,26647985,26627695,26613491,26617180,26587483,26537679,26608880,26562212,26572357,26532145,26563319,26561474,26558154,26542844,26549853,26547640,26565901,26518311,26521815,26500418,26508165,26483448,26431615,26397859,26460206,26366132,26449323,26413538,26340677,26424606,26405422,26420363,26207683,26406529,26390850,26368161,26368715,26407636,26374802,26374433,26282573,26345657,26342706,26348609,26226497,26310057,26270767,26302863,26292902,26291427,26255826,26269661,26256748,26249924,26241438,26240885,26229633,26265787,26229633,26238303,26244390,26202702,26220410,26235351,26205838,26234798,26214323,26195139,26090920
A07,Sample X7,15849598,22067142,24780527,25154793,25692121,25675889,25599523,25305127,25610959,25924539,25915869,25616862,25561893,25762031,25780661,25607823,25610959,25598416,25565767,25700422,25684189,25681422,25638259,25648035,25419491,25573330,25555068,25619444,25570932,25585873,25558020,25461179,25500837,25544554,25460810,25344048,25391638,25185598,25377435,25185229,24858737,25304389,25240566,24913337,25176375,25097058,24366049,25051681,25053894,24998372,25100747,24439463,25020507,24791779,24907065,24834758,24801371,24545527,24725927,24582603,24587768,24276771,24472481,24450899,24331555,24400911,24382281,24179930,24338011,24306284,24240617,24228443,24171814,24207783,24132709,24004694,24119796,24077555,23927591,24061508,24034023,23804188,23769325,23971676,23942532,23891252,23777072,23730773,23912096,23844400
A08,Sample X8,20109484,24535382,24856708,25087466,25421520,25674413,25831387,25867357,25890414,25988361,25976187,26009390,26055320,26065281,26052922,26092211,26064912,26030049,25991497,26041854,26029311,25945936,26052553,25924908,25958295,26061407,25976372,25980983,25998138,26056427,26067310,25571116,26052184,26043699,26042961,25977663,26043514,25995740,25741002,26060485,25969731,25968624,25975449,26018981,25859425,25994080,26026544,25792835,25972498,25902219,25709829,25913102,25939480,25937266,25315641,25936160,25783243,25944091,25954974,25941693,25925645,25233188,25919189,25886356,25908860,25861085,25887463,25871784,25872152,25861085,25859056,25852046,25838397,25835999,25755759,25843561,25803718,25868832,25716654,25750041,24360146,25806116,25304758,25615940,25765904,25765904,25761477,25758895,25784904,25791360
A09,Sample X9,19223160,23039607,24144145,24767615,24968121,25227654,25354377,25435539,25495488,25502498,25560418,25546030,25567796,25553777,25537729,25544185,25537176,25542156,25485712,25486265,25469295,25468004,25478887,25419122,25415987,25418384,25415064,25380386,25405288,25372085,25365076,25299409,25372085,25350135,25336854,25328553,25297011,25294982,25305311,25246469,25271371,25205519,25184491,25266575,25243518,25185229,25233373,25237615,25220829,25219538,25185598,25224334,25185044,25112921,25127862,25135425,25141512,25114212,25119746,25102591,25026041,25021614,24979558,24991916,24926434,25031022,25027332,24986198,24884008,24976975,24907065,24770935,24983985,24952258,24938792,24957238,24926802,24846932,24932336,24802109,24790488,24799342,24813360,24789012,24895998,24803584,24793992,24839369,24795099,24791410
