batch,sample_type,sample_number,z_average,peak_1_mean_intensity
2,ctrl,1,146.6,158.7
2,ctrl,2,151.3,161.1
2,ctrl,3,15,160.6
2,38,6.6,162.8,173.2
2,38,1.65,154.5,164.9
2,38,0.33,152,163.2
2,53,6.6,169.3,180.4
2,53,1.65,156.8,168.7
2,53,0.33,151.1,162.2
2,68,6.6,185.2,196.2
2,68,1.65,177.3,189.2
2,68,0.33,160,175
2,80,6.6,188.2,200.9
2,80,1.65,177.2,192.4
2,80,0.33,170.1,175.7
3,ctrl,1,150.6,162.1
3,ctrl,2,152.5,161.3
3,ctrl,3,152,160.2
3,38,6.6,170.8,179.6
3,38,1.65,161.5,176.1
3,38,0.33,159.9,165.5
3,53,6.6,180.9,194.1
3,53,1.65,172.1,178.9
3,53,0.33,163.4,169.1
3,68,6.6,184.5,195.2
3,68,1.65,171.9,181.4
3,68,0.33,160.9,172.5
3,80,6.6,191.7,201.8
3,80,1.65,186.6,195.9
3,80,0.33,166.6,174.9
1,ctrl,1,148.3,160.2
1,ctrl,2,153.2,166.7
1,ctrl,3,154.6,164.5
1,38,1.65,163,175.7
1,38,0.33,156.5,166.9
1,53,6.6,171.5,183.3
1,53,1.65,159.8,169.1
1,53,0.33,152.8,163.6
1,68,6.6,187.7,199.7
1,68,1.65,167.5,182.7
1,68,0.33,158.3,169.9
1,80,6.6,192.4,204.5
1,80,1.65,179.9,187.7
1,80,0.33,164.3,169.1
4,ctrl,143.1,153
4,ctrl,2,139.7,151.4
4,ctrl,3,146.7,159.1
4,ctrl,4,146.7,157.1
4,38,33,165.7,177
4,53,33,175.2,184.3
4,68,33,177.1,197.4
4,80,33,183.3,196.1
5,ctrl,1,149.6,151.2
5,ctrl,2,156.2,172.7
5,ctrl,3,156.7,173.6
5,38,33,166.6,181
5,53,33,177.4,191.9
5,68,33,181.3,196.6
5,80,33,189.0,208.4
6,ctrl,1,148.6,162.8
6,ctrl,2,147.3,155.3
6,ctrl,3,153.7,165.2
6,38,33,166.2,178.9
6,53,33,175.3,185.7
6,68,33,181.2,195.9
6,80,33,185.7,198.4
