Quality Indicator,Measurement Type,Result State,Sample Name,Measurement Start Date And Time,Temperature (°C),Z-Average (nm),Polydispersity Index (PI),Peak 1 Area by Intensity ordered by area (%),Peak 1 Mean by Intensity ordered by area (nm),Peak 2 Area by Intensity ordered by area (%)
GoodData,Size,Completed,Ctrl 10 Dextrin Before,12/10/2023 13:05,25,176.5,0.08924,100,195.8,
GoodData,Size,Completed,Ctrl 5 Dextrin Before,12/10/2023 13:07,25,191.8,0.08646,100,209.8,
GoodData,Size,Completed,Ctrl 2 Dextrin Before,12/10/2023 13:08,25,190.9,0.09188,100,208.4,
GoodData,Size,Completed,DNA 10 Dextrin Before,12/10/2023 13:09,25,219.8,0.06847,100,238.3,
GoodData,Size,Completed,DNA 5 Dextrin Before,12/10/2023 13:11,25,221.1,0.1024,100,248.8,
GoodData,Size,Completed,DNA 2 Dextrin Before,12/10/2023 13:13,25,220.6,0.05666,100,237.3,
GoodData,Size,Completed,Ctrl 10 Dextrin 1min,12/10/2023 13:16,25,159.4,0.1682,100,187.2,
GoodData,Size,Completed,Ctrl 5 Dextrin 1min,12/10/2023 13:19,25,171.3,0.1402,100,197.6,
GoodData,Size,Completed,Ctrl 2 Dextrin 1min,12/10/2023 13:22,25,178.1,0.09795,100,196.9,
GoodData,Size,Completed,DNA 10 Dextrin 1min,12/10/2023 13:25,25,187.3,0.2396,100,199.1,
GoodData,Size,Completed,DNA 5 Dextrin 1min,12/10/2023 13:28,25,209.8,0.1965,100,229.8,
GoodData,Size,Completed,DNA 2 Dextrin 1min,12/10/2023 13:31,25.01,215.1,0.06082,100,230.9,
GoodData,Size,Completed,Ctrl 10 Dextrin 30min,12/10/2023 13:45,25,159.2,0.1933,100,194.8,
GoodData,Size,Completed,Ctrl 5 Dextrin 30min,12/10/2023 13:48,25,174.5,0.1905,100,186.1,
GoodData,Size,Completed,Ctrl 2 Dextrin 30min,12/10/2023 13:51,25.01,181.9,0.1354,100,212.5,
GoodData,Size,Completed,DNA 10 Dextrin 30min,12/10/2023 13:54,25,173.5,0.1573,100,201.9,
GoodData,Size,Completed,DNA 5 Dextrin 30min,12/10/2023 13:57,25,177,0.1181,100,199.9,
GoodData,Size,Completed,DNA 2 Dextrin 30min,12/10/2023 14:00,25,199.1,0.08234,100,218.6,
