Quality Indicator,Measurement Type,Result State,Sample Name,Record Created Date,Measurement Start Date And Time,Z-Average (nm),Polydispersity Index (PI),Peak 1 Area by Intensity ordered by area (%),Peak 1 Mean by Intensity ordered by area (nm)
GoodData,Size,Completed,Ext 1 Control,11/05/2023 11:14,11/05/2023 11:14,124.3,0.08559,100,137.3
GoodData,Size,Completed,Ext 1 IM 0 HCl,11/05/2023 11:15,11/05/2023 11:15,159.1,0.04078,100,169.4
GoodData,Size,Completed,Ext 1 IM 1 HCl,11/05/2023 11:17,11/05/2023 11:17,155.6,0.05027,100,166.4
GoodData,Size,Completed,Ext 1 IM 2 HCl,11/05/2023 11:18,11/05/2023 11:18,147.1,0.05701,100,157.4
GoodData,Size,Completed,Ext 1 IM 3 HCl,11/05/2023 11:21,11/05/2023 11:21,148.5,0.05388,100,158.3
GoodData,Size,Completed,Ext 1 IM 4 HCl,11/05/2023 11:23,11/05/2023 11:23,147.4,0.09324,100,164
GoodData,Size,Completed,Ext 1 IM 5 HCl,11/05/2023 11:25,11/05/2023 11:25,148.6,0.08531,100,163.3
GoodData,Size,Completed,Ext 1 IM 6 HCl,11/05/2023 11:27,11/05/2023 11:27,148.7,0.04133,100,158.4
GoodData,Size,Completed,Ext 1 IM 7 HCl,11/05/2023 11:29,11/05/2023 11:29,147,0.0447,100,157.2
GoodData,Size,Completed,Ext 1 IM 8 HCl,11/05/2023 11:30,11/05/2023 11:30,146.3,0.06401,100,158.2
GoodData,Size,Completed,Ext 1 IM 9 HCl,11/05/2023 11:32,11/05/2023 11:32,143.9,0.06339,100,155.9
GoodData,Size,Completed,Ext 1 IM 10 HCl,11/05/2023 11:34,11/05/2023 11:34,146,0.1213,100,157.3
GoodData,Size,Completed,Ext 1 IM 11 HCl,11/05/2023 11:35,11/05/2023 11:35,144.6,0.06161,100,155.8
GoodData,Size,Completed,Ext 1 IM 12 HCl,11/05/2023 11:38,11/05/2023 11:38,141.4,0.08312,100,154.9
GoodData,Size,Completed,Ext 1 IM 13 HCl,11/05/2023 11:40,11/05/2023 11:40,141.2,0.09336,100,155.4
GoodData,Size,Completed,Ext 1 IM 14 HCl,11/05/2023 11:42,11/05/2023 11:42,141.8,0.08004,100,155.7
GoodData,Size,Completed,Ext 1 IM 15 HCl,11/05/2023 11:44,11/05/2023 11:44,137.4,0.06319,100,148.1
GoodData,Size,Completed,Ext 2 Control,11/05/2023 11:45,11/05/2023 11:45,130.3,0.08771,100,143.7
GoodData,Size,Completed,Ext 2 IM 0 HCl,11/05/2023 11:47,11/05/2023 11:47,160.5,0.03154,100,169.8
GoodData,Size,Completed,Ext 2 IM 1 HCl,11/05/2023 11:48,11/05/2023 11:48,156.2,0.02518,100,164.5
GoodData,Size,Completed,Ext 2 IM 2 HCl,11/05/2023 11:51,11/05/2023 11:51,150.8,0.008035,100,158
