Quality Indicator,Measurement Type,Result State,Sample Name,Measurement Start Date And Time,Z-Average (nm),Polydispersity Index (PI),Temperature (°C),Peak 1 Area by Intensity ordered by area (%),Peak 1 Mean by Intensity ordered by area (nm)
GoodData,Size,Completed,Ext 1 Ctrl,08/06/2023 09:58,122.2,0.1013,25,100,136.4
GoodData,Size,Completed,Ext 1 IM 0 HCl,08/06/2023 10:00,154.9,0.004333,25,100,161.5
GoodData,Size,Completed,Ext 1 IM 1 HCl,08/06/2023 10:01,149.9,0.01962,25,100,157.7
GoodData,Size,Completed,Ext 1 IM 2 HCl,08/06/2023 10:04,147.3,0.0938,25,100,159.3
GoodData,Size,Completed,Ext 1 IM 3 HCl,08/06/2023 10:06,142.6,0.07387,25,100,154.8
GoodData,Size,Completed,Ext 1 IM 4 HCl,08/06/2023 10:07,141.8,0.1161,25,100,156.5
GoodData,Size,Completed,Ext 1 IM 5 HCl,08/06/2023 10:08,141.4,0.1038,25,100,155.3
GoodData,Size,Completed,Ext 1 IM 6 HCl,08/06/2023 10:10,141,0.08868,25,100,155.4
GoodData,Size,Completed,Ext 1 IM 7 HCl,08/06/2023 10:12,141.8,0.1583,25,100,141.3
GoodData,Size,Completed,Ext 1 IM 8 HCl,08/06/2023 10:15,139.7,0.05581,25,100,150.1
GoodData,Size,Completed,Ext 1 IM 9 HCl,08/06/2023 10:16,139.5,0.04296,25,100,148.6
GoodData,Size,Completed,Ext 1 IM 10 HCl,08/06/2023 10:18,137.6,0.2021,25,100,142.3
GoodData,Size,Completed,Ext 1 IM 11 HCl,08/06/2023 10:20,140.1,0.08999,25,100,155.6
GoodData,Size,Completed,Ext 1 IM 12 HCl,08/06/2023 10:22,139.4,0.06129,25,100,150.6
GoodData,Size,Completed,Ext 1 IM 13 HCl,08/06/2023 10:24,135.4,0.1124,25,100,145.7
GoodData,Size,Completed,Ext 1 IM 14 HCl,08/06/2023 10:25,134.6,0.1303,25,100,151.5
GoodData,Size,Completed,Ext 1 IM 15 HCl,08/06/2023 10:27,132.6,0.08027,25,100,144
GoodData,Size,Completed,Ext 1 NoIM 0 HCl,08/06/2023 10:29,159,0.03158,25,100,168.8
