Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	Ext 1 Ctrl	01/08/2023 14:03	01/08/2023 14:03	25	129.4	0.07851	100	142.4
GoodData	Size	Completed	Ext 1 30 bp 0 HCl	01/08/2023 14:05	01/08/2023 14:05	25	158.4	0.07839	100	173
GoodData	Size	Completed	Ext 1 30 bp 3 HCl	01/08/2023 14:08	01/08/2023 14:08	25	152.5	0.03599	100	161.7
GoodData	Size	Completed	Ext 1 30 bp 9 HCl	01/08/2023 14:13	01/08/2023 14:13	25	144.6	0.06965	100	156
GoodData	Size	Completed	Ext 1 30 bp 12 HCl	01/08/2023 14:15	01/08/2023 14:15	25	143.9	0.0941	100	156.5
GoodData	Size	Completed	Ext 1 30 bp 15 HCl	01/08/2023 14:16	01/08/2023 14:16	25	141.6	0.07642	100	153.5
GoodData	Size	Completed	Ext 1 I Motif 0 HCl	01/08/2023 14:18	01/08/2023 14:18	25	158.2	0.07781	100	172.6
GoodData	Size	Completed	Ext 1 I Motif 3 HCl	01/08/2023 14:21	01/08/2023 14:21	25	158.3	0.1356	100	184.3
GoodData	Size	Completed	Ext 1 I Motif 6 HCl	01/08/2023 14:22	01/08/2023 14:22	25	150.3	0.08386	100	165.6
GoodData	Size	Completed	Ext 1 I Motif 9 HCl	01/08/2023 14:24	01/08/2023 14:24	25	144.2	0.1028	100	161.9
GoodData	Size	Completed	Ext 1 I Motif 12 HCl	01/08/2023 14:26	01/08/2023 14:26	25	144.5	0.143	100	149.7
GoodData	Size	Completed	Ext 1 I Motif 15 HCl	01/08/2023 14:27	01/08/2023 14:27	25	140.8	0.08215	100	153.4
GoodData	Size	Completed	Ext 2 Ctrl	01/08/2023 14:29	01/08/2023 14:29	25	134	0.08014	100	146.9
GoodData	Size	Completed	Ext 2 30 bp 0 HCl	01/08/2023 14:31	01/08/2023 14:31	25	162	0.07618	100	177.2
GoodData	Size	Completed	Ext 2 30 bp 3 HCl	01/08/2023 14:34	01/08/2023 14:34	25	153.1	0.07354	100	166
GoodData	Size	Completed	Ext 2 30 bp 6 HCl	01/08/2023 14:35	01/08/2023 14:35	25	153.5	0.1435	100	164
GoodData	Size	Completed	Ext 2 30 bp 9 HCl	01/08/2023 14:38	01/08/2023 14:38	25	148.4	0.07948	100	162.5
GoodData	Size	Completed	Ext 2 30 bp 12 HCl	01/08/2023 14:39	01/08/2023 14:39	25	145.7	0.03849	100	154.3
GoodData	Size	Completed	Ext 2 30 bp 15 HCl	01/08/2023 14:41	01/08/2023 14:41	25	140.6	0.07338	100	151.4
GoodData	Size	Completed	Ext 2 I Motif 0 HCl	01/08/2023 14:43	01/08/2023 14:43	25	157.9	0.1051	100	176.7
GoodData	Size	Completed	Ext 2 I Motif 3 HCl	01/08/2023 14:45	01/08/2023 14:45	25	154.2	0.08511	100	169.3
GoodData	Size	Completed	Ext 2 I Motif 6 HCl	01/08/2023 14:47	01/08/2023 14:47	25	150.5	0.09911	100	164.1
GoodData	Size	Completed	Ext 2 I Motif 9 HCl	01/08/2023 14:48	01/08/2023 14:48	25	142.6	0.0825	100	155.9
GoodData	Size	Completed	Ext 2 I Motif 12 HCl	01/08/2023 14:50	01/08/2023 14:50	25	140.5	0.08441	100	154.7
GoodData	Size	Completed	Ext 2 I Motif 15 HCl	01/08/2023 14:52	01/08/2023 14:52	25	140.4	0.1136	100	160.2
GoodData	Size	Completed	Ext 3 Ctrl	01/08/2023 14:54	01/08/2023 14:54	25	133.2	0.1039	100	149.7
GoodData	Size	Completed	Ext 3 30 bp 0 HCl	01/08/2023 14:56	01/08/2023 14:56	25	162.4	0.1896	100	167.9
GoodData	Size	Completed	Ext 3 30 bp 3 HCl	01/08/2023 14:57	01/08/2023 14:57	25	154.6	0.05909	100	166.6
GoodData	Size	Completed	Ext 3 30 bp 6 HCl	01/08/2023 15:04	01/08/2023 15:04	25	152.2	0.08785	100	167
GoodData	Size	Completed	Ext 3 30 bp 9 HCl	01/08/2023 15:05	01/08/2023 15:05	25	147.1	0.04367	100	157.4
GoodData	Size	Completed	Ext 3 30 bp 12 HCl	01/08/2023 15:08	01/08/2023 15:08	25	143.6	0.0186	100	151.5
GoodData	Size	Completed	Ext 3 30 bp 15 HCl	01/08/2023 15:09	01/08/2023 15:09	25	141.5	0.08944	100	157.8
GoodData	Size	Completed	Ext 3 I Motif 0 HCl	01/08/2023 15:11	01/08/2023 15:11	25	159.4	0.06017	100	172
GoodData	Size	Completed	Ext 3 I Motif 3 HCl	01/08/2023 15:13	01/08/2023 15:13	25	151.8	0.08498	100	165.7
GoodData	Size	Completed	Ext 3 I Motif 6 HCl	01/08/2023 15:15	01/08/2023 15:15	25	145.9	0.1104	100	148.2
GoodData	Size	Completed	Ext 3 I Motif 9 HCl	01/08/2023 15:16	01/08/2023 15:16	25	144.1	0.05704	100	154.1
GoodData	Size	Completed	Ext 3 I Motif 12 HCl	01/08/2023 15:18	01/08/2023 15:18	25	141.6	0.0551	100	151.9
GoodData	Size	Completed	Ext 3 I Motif 15 HCl	01/08/2023 15:21	01/08/2023 15:21	25	138.5	0.05904	100	148.9

