Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Conductivity (mS/cm)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	0.5 mM MBCD	13/12/2023 15:06	13/12/2023 15:06	25	154.6	0.09657	100				171.9
GoodData	Size	Completed	0.5 mM MBCD	13/12/2023 15:09	13/12/2023 15:09	25	146	0.06744	100				157
GoodData	Size	Completed	0.5 mM MBCD	13/12/2023 15:12	13/12/2023 15:12	25	145.3	0.07209	100				159
GoodData	Size	Completed	0.5 mM MBCD	13/12/2023 15:15	13/12/2023 15:15	25	145.9	0.08766	100				160.7
GoodData	Size	Completed	0.5 mM MBCD	13/12/2023 15:19	13/12/2023 15:19	25	146.3	0.09939	100				161.2
GoodData	Size	Completed	0.5 mM MBCD no DNA	13/12/2023 15:21	13/12/2023 15:21	25	123.2	0.12	100				139.9
GoodData	Size	Completed	0.5 mM MBCD no DNA	13/12/2023 15:24	13/12/2023 15:24	25	116.9	0.07655	100				127.6
GoodData	Size	Completed	0.5 mM MBCD no DNA	13/12/2023 15:28	13/12/2023 15:28	25	116.4	0.1098	100				130.6
GoodData	Size	Completed	0.5 mM MBCD no DNA	13/12/2023 15:31	13/12/2023 15:31	25	115.4	0.07189	100				125.5
GoodData	Size	Completed	0.5 mM MBCD no DNA	13/12/2023 15:34	13/12/2023 15:34	25	115.6	0.09481	100				128
