Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample D1,,Sample D2,,Sample D3,,Sample D4,,Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,6.754466057,0.02225000039,3.575117111,0.04341666773,8.856789589,0.06424999982,8.0978899,0.151458323,9.163620949,0.1299791634,9.454807281,0.1089583337,17.54341507,0.08845832944,54.48523712,0.1778333336,17.48897362,0.1990833282,11.07110882,0.2194166631,14.78437233,0.2402500063,16.16634178,0.329583317,12.47440434,0.3082916439,11.53034306,0.2875833213,85.81010437,0.2669166625,112.0787201,0.3559583426,48.30321884,0.3768333495,40.55094147,0.3980833292,49.52710724,0.4179166853,54.01533127,0.5077499747,15.32345104,0.4862916768,13.33435726,0.4657916725,62.85217285,0.444416672,54.12503815,
1.000833273,6.605610847,1.021333337,6.10471344,1.042000055,9.046807289,1.062645793,9.694594383,1.150791645,9.525055885,1.129458308,9.280919075,1.108958364,34.44606018,1.087499976,72.82041168,1.177166581,15.26537609,1.197708368,11.61629391,1.218958259,17.41711807,1.239625096,17.78841209,1.328041673,14.01944447,1.307229161,11.34445,1.285958409,101.1416473,1.265208364,125.760704,1.354791641,51.99415207,1.375958323,40.84503555,1.396979094,51.15649033,1.417458296,56.77426147,1.506791711,15.52762699,1.485562563,12.33433914,1.464895844,68.54849243,1.443958282,56.19326019,
2.000833273,5.978602886,2.02147913,6.10104847,2.042729139,9.678792,2.063145876,12.15022087,2.150541782,10.98498726,2.129499912,8.669981956,2.108645916,40.92118073,2.088312626,82.11745453,2.177479029,15.71635532,2.197645903,10.2828455,2.218812466,17.10420609,2.23931241,18.76952362,2.328812361,14.16371059,2.307958126,10.79571438,2.286791801,110.4764938,2.266229153,129.7111053,2.352999926,50.42391586,2.374374866,40.82698059,2.395291567,50.16073608,2.415625095,61.20490646,2.505124807,15.82624912,2.48379159,13.77260208,2.463375092,68.72480774,2.442479134,59.91282654,
3.000833273,6.771890163,3.020708323,5.633430004,3.041895866,8.945103645,3.062124968,10.71882153,3.149145842,9.597745895,3.128958464,9.010896683,3.107625008,41.18341827,3.087374926,82.69756317,3.175958157,15.84587955,3.196291685,11.26368618,3.217624903,16.53876686,3.238812447,21.4930687,3.325791597,13.72714329,3.304958344,13.43029976,3.283979177,113.2041321,3.263125181,128.3460236,3.352312565,49.88047791,3.372833252,40.79180908,3.39350009,51.60213852,3.414562464,59.67263412,3.503500223,15.54965305,3.482541561,12.16956615,3.462041616,71.1434021,3.441124916,67.14208984,
4.000833511,6.229235649,4.02183342,4.443591118,4.04333353,10.26898766,4.063979149,10.9625597,4.151479244,10.0211525,4.130624771,8.79957962,4.109791756,43.78726578,4.088624954,83.03239441,4.17614603,16.00371742,4.196228981,9.689347267,4.217479229,15.29942799,4.238145828,20.58690071,4.328291893,15.84493732,4.306895733,11.8130188,4.28639555,109.0654984,4.265208244,132.4422455,4.352812767,52.71950531,4.373000145,42.19846725,4.393833637,50.76669312,4.414332867,61.13858795,4.504312515,14.87550735,4.483458519,12.27716541,4.462125301,73.14276886,4.441625118,66.81713867,
5.000833035,6.465404987,5.022125244,4.953851223,5.043145657,9.574303627,5.06364584,10.69327164,5.152812481,10.82103252,5.132479191,9.449694633,5.111291409,45.30304718,5.090624809,78.00948334,5.179458141,16.8235321,5.200479031,12.06434345,5.220666409,17.53524971,5.242208481,19.28214264,5.329478741,15.44751263,5.308291435,11.53836346,5.287291527,113.5077972,5.266458035,136.2214508,5.354166508,51.00167465,5.37456274,43.22299576,5.395791531,52.41688156,5.417145729,61.53652954,5.504125118,16.62663078,5.482895851,12.63674545,5.462333202,74.81148529,5.440833569,67.02960205,
6.000833035,7.123216152,6.021645546,4.634842396,6.041978836,10.40861607,6.06320858,11.35005951,6.152291775,9.421089172,6.131624699,8.542901993,6.109979153,46.59289551,6.08947897,81.19914246,6.179312706,16.5340023,6.199625015,11.89970207,6.220124722,18.34642029,6.241457939,23.3518219,6.330895901,16.0103054,6.310062885,11.76691818,6.289229393,114.4215469,6.267562389,127.3179626,6.357625008,48.7479744,6.378291607,43.96700668,6.399458408,50.55205154,6.420395851,64.03412628,6.50931263,16.13031387,6.488978863,13.76949787,6.467625141,72.61323547,6.446958542,65.64504242,
7.000833035,6.227781773,7.02112484,4.49409008,7.041791916,10.55699921,7.062125206,12.42606831,7.151957989,10.18662262,7.131145954,8.923166275,7.110062599,45.83008194,7.088999748,80.19025421,7.177479267,18.94404984,7.198646069,11.3394022,7.219312668,17.51886559,7.239979267,21.69625282,7.329645634,15.18325996,7.308458328,11.9848156,7.287374973,114.5614319,7.266291618,128.694809,7.354041576,50.52072525,7.375291348,42.53796387,7.396458626,53.22710419,7.417291641,62.89927673,7.504374981,14.95267677,7.483396053,13.91888046,7.462291241,74.96674347,7.441458225,68.59848022,
8.000833511,6.699641228,8.02033329,5.219472408,8.041728973,9.18380928,8.062624931,12.23442078,8.151145935,10.53386307,8.130958557,8.686779022,8.109562874,46.92882538,8.088708878,81.370224,8.178125381,17.23719406,8.198291779,10.22043514,8.21954155,18.573452,8.240729332,22.86009789,8.329333305,15.50516415,8.308312416,11.72829914,8.287145615,116.5891266,8.266312599,131.6499786,8.355625153,51.60445404,8.376791954,42.98193741,8.397665977,54.93395615,8.418478966,64.65917969,8.506666183,15.82345581,8.486499786,13.51201344,8.465333939,76.54981995,8.444833755,67.37551117,
9.000833511,6.835522175,9.022125244,5.592782021,9.04295826,11.06719398,9.064457893,13.09539127,9.151291847,10.68296528,9.130791664,9.633758545,9.10945797,49.38140106,9.088624954,84.126091,9.17747879,15.06492138,9.199459076,10.52048683,9.219791412,18.43871498,9.240458488,22.99653435,9.328979492,14.6864996,9.308792114,13.53533173,9.287812233,115.1277084,9.266728401,136.5307007,9.355291367,53.89221573,9.376624107,41.2942009,9.39764595,51.80385971,9.418125153,62.90643692,9.50462532,15.64400291,9.483958244,13.6763525,9.463291168,74.45134735,9.442458153,70.62433624,
10.00083351,6.831857204,10.02149963,5.705098152,10.0425415,10.83818817,10.06362534,12.92125988,10.15281296,10.80797482,10.13145828,9.062211037,10.1109581,49.85189819,10.08981228,82.27881622,10.1773119,15.85101128,10.19783306,10.85474205,10.21906185,19.29277992,10.2402916,22.80747986,10.32679176,14.85796738,10.30597973,12.04283047,10.28529167,116.333107,10.26445866,136.1170197,10.35329151,49.67427063,10.37414551,41.35378647,10.3949585,50.81962967,10.4159584,65.23356628,10.50564575,15.71593285,10.48429203,15.8679781,10.46295834,74.08868408,10.44250011,70.90234375,
11.00083351,6.074193954,11.02162457,6.137543678,11.04245853,9.892227173,11.06364536,14.08374119,11.15095806,10.50705719,11.12987423,9.466460228,11.109375,51.28538895,11.08822918,82.62108612,11.17747879,18.06871986,11.19872952,11.36784267,11.21945763,19.64364815,11.239645,23.33811951,11.3291254,16.39778519,11.30812454,13.07555294,11.28764534,116.4252396,11.26689529,132.3219604,11.35581303,50.97302246,11.376791,42.81009674,11.39795876,56.83633423,11.41845798,57.93679428,11.50783253,15.87503815,11.48631287,13.46097851,11.46587563,74.12670135,11.44470787,71.46522522,
12.00083351,7.769947529,12.02045822,5.377734184,12.04166698,11.56697178,12.06195927,11.91017914,12.1512289,10.46337795,12.13000011,10.47683048,12.10964584,52.4718132,12.08848,81.75827789,12.1779995,17.6640892,12.1989584,11.20344067,12.2201252,18.33057976,12.2402916,22.1570015,12.32954216,14.7797575,12.30866718,13.01944923,12.2874794,120.6944275,12.26681232,136.7918243,12.35647869,50.51708221,12.37687492,39.44087601,12.39812565,54.67759705,12.41904163,61.38206863,12.50820827,16.33798409,12.48683357,14.42862129,12.46645832,71.95678711,12.4453125,69.76374054,
