,,,,,,,,,,,,
,,,,,,,,,,,,
User: USER,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,,,,,,,,,,
Test ID: 271,,,,,,,,,,,,
Test Name: Nita-Liplysis,,,,,,,,,,,,
Date: 24/06/2025,,,,,,,,,,,,
Time: 14:30:28,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 1 (0 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7942,8287,7568,7724,7257,7649,6493,6729,7161,6851,7107,6950
B,8373,8228,7612,7916,7141,7467,6659,6943,7317,6905,7099,6780
C,8326,8662,7839,7894,7693,7774,7075,7096,7516,7335,7685,7026
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 2 (60 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7967,8325,7567,7785,7208,7579,6480,6700,7126,6847,7091,7011
B,8359,8242,7618,7902,7066,7409,6606,6966,7279,6863,7042,6765
C,8330,8632,7874,7889,7652,7743,7067,7162,7555,7301,7617,7070
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 3 (120 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7956,8337,7577,7763,7194,7611,6481,6664,7136,6800,7134,6931
B,8387,8294,7633,7929,7128,7391,6620,6945,7316,6889,7114,6751
C,8327,8672,7906,7921,7736,7813,7056,7081,7544,7318,7655,7067
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 4 (180 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8008,8441,7555,7863,7252,7609,6481,6661,7192,6808,7181,7010
B,8445,8340,7660,7933,7125,7475,6684,7000,7340,6914,7183,6792
C,8438,8710,8010,7959,7690,7803,7099,7171,7590,7256,7659,7104
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 5 (240 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8000,8427,7678,7880,7281,7615,6498,6754,7231,6897,7158,7081
B,8452,8397,7679,8037,7153,7503,6713,7018,7409,6976,7213,6869
C,8432,8806,7990,8039,7753,7873,7129,7245,7620,7354,7670,7214
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 6 (300 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8048,8463,7723,7872,7293,7664,6514,6752,7261,6909,7256,7058
B,8438,8387,7704,8045,7190,7476,6692,7063,7412,6957,7238,6890
C,8545,8845,8081,8066,7785,7848,7148,7211,7653,7371,7683,7213
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
