,,,,,,,,,,,,
,,,,,,,,,,,,
User: USER,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,,,,,,,,,,
Test ID: 274,,,,,,,,,,,,
Test Name: Nita-Liplysis,,,,,,,,,,,,
Date: 24/06/2025,,,,,,,,,,,,
Time: 15:05:51,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7968,8496,7763,7937,15064,14277,6416,6549,7262,6723,7251,6838
B,8406,8429,7730,8094,17182,14393,6794,7151,7465,6795,7229,6667
C,8535,8850,8132,8103,11663,11287,7306,7368,7619,7232,7580,6948
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
