,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 1 (0 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7951,8490,7593,7792,30555,33058,6214,8033,7115,6371,7383,6737
B,8476,8537,7686,7960,37741,38456,6689,7353,7378,6632,8141,6705
C,8569,8841,7828,7954,23300,25646,7047,7277,7421,6975,7688,6944
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 2 (1 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7898,8501,7614,7775,37808,45173,6267,8132,7061,6431,7302,6605
B,8404,8592,7660,7890,42184,44288,6771,7941,7337,6646,8069,6722
C,8438,8749,7770,7907,25487,28942,7075,7405,7394,6895,7772,6961
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 3 (2 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8051,8482,7595,7671,40655,49094,6276,8311,7070,6408,7346,6718
B,8438,8581,7717,8011,43251,45473,6848,7978,7403,6544,8050,6675
C,8464,8763,7904,7926,25648,29229,7115,7393,7320,6795,7830,6996
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 4 (3 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8059,8497,7610,7746,41566,50020,6399,8261,7068,6542,7461,6842
B,8529,8470,7819,7920,43291,46043,6891,8209,7401,6608,8091,6784
C,8452,8926,7927,8000,25808,29625,7106,7453,7414,6954,7787,7076
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 5 (4 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7965,8520,7663,7776,41324,50816,6452,8408,7179,6542,7507,6857
B,8525,8621,7660,7916,43441,46219,6870,8181,7519,6739,8044,6818
C,8597,8852,7960,7983,25775,29593,7189,7397,7488,6943,7795,6943
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 6 (5 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8136,8734,7665,7769,41432,50784,6375,8513,7204,6650,7447,6850
B,8589,8637,7884,8102,43447,46208,6959,8118,7528,6864,8192,7032
C,8585,9006,7947,8042,25706,29589,7207,7465,7569,6994,7840,7018
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 7 (6 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8130,8539,7759,7955,41352,50811,6459,8419,7288,6521,7488,6959
B,8556,8725,7846,8097,43702,46354,6973,8231,7542,6699,8331,6976
C,8593,8995,8065,7942,25618,29689,7241,7525,7462,7028,7788,7077
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 8 (7 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8093,8541,7784,7884,41537,51348,6369,8379,7212,6653,7477,7070
B,8475,8675,7749,8151,43340,45769,6840,8164,7483,6761,8084,6820
C,8565,9059,8135,8068,25881,29497,7264,7454,7478,6902,7904,7067
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 9 (8 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8202,8742,7832,7930,41645,51519,6549,8506,7303,6541,7639,6998
B,8504,8541,7829,8118,43254,46055,6967,8253,7534,6686,8333,6862
C,8635,8943,8035,8083,25638,29783,7216,7497,7597,6986,7948,7046
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 10 (9 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8109,8632,7728,7972,41407,51519,6339,8280,7180,6535,7734,7010
B,8539,8659,7896,8128,43321,46151,6968,8216,7647,6711,8384,6910
C,8594,8941,8063,8105,25826,29552,7272,7596,7527,6998,8006,7060
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 11 (10 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8198,8652,7703,7939,41523,51402,6484,8337,7318,6539,7766,7060
B,8464,8678,7784,8108,42936,45815,6964,8300,7640,6693,8356,6826
C,8667,9061,8091,8186,25859,29724,7265,7488,7539,6995,8083,7024
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 12 (11 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8249,8698,7707,7991,41743,51498,6495,8475,7239,6603,7743,6934
B,8571,8671,7934,8161,42583,45804,6934,8275,7578,6710,8429,6959
C,8752,9138,8104,8170,25785,29746,7261,7586,7589,7009,8081,6970
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 13 (12 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8178,8658,7831,7953,41369,51752,6437,8428,7283,6627,7845,7005
B,8610,8571,7915,8182,43225,46137,7000,8309,7759,6815,8490,7005
C,8676,9101,8103,8178,25846,29715,7222,7563,7588,6926,8103,6960
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 14 (13 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8020,8715,7786,7978,41393,51753,6409,8539,7254,6513,7902,6962
B,8644,8618,7827,8172,42754,45455,6832,8194,7506,6545,8539,6946
C,8691,9206,8134,8230,25687,29795,7261,7616,7579,6965,8072,6948
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 15 (14 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8211,8733,7796,8029,42129,51961,6579,8427,7397,6743,8077,7102
B,8587,8578,7767,8112,42687,45796,6905,8213,7543,6658,8544,6834
C,8704,9024,8063,8199,25819,29655,7255,7587,7572,6985,8147,7001
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 16 (15 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8115,8773,7984,8033,42567,52015,6635,8483,7408,6687,8208,7055
B,8583,8586,7725,8192,43201,45905,6875,8233,7488,6658,8578,6757
C,8621,9155,8085,8235,25886,29687,7311,7548,7574,7032,8226,6970
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 17 (16 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8183,8828,7913,8018,42107,52414,6571,8481,7427,6683,8172,7077
B,8455,8648,7829,8230,43024,45943,6958,8279,7573,6677,8762,6790
C,8731,9137,8060,8245,26139,29907,7298,7601,7660,7019,8451,7020
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 18 (17 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8228,8792,7806,8084,42578,52489,6645,8453,7483,6816,8365,7092
B,8503,8582,7874,8217,42989,46126,7027,8317,7555,6695,8803,6863
C,8633,9048,8127,8241,26003,29818,7261,7561,7783,7056,8366,7060
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 19 (18 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8136,8665,7804,8060,41344,51645,6424,8283,7231,6478,8152,6946
B,8508,8671,7931,8191,43085,46211,7006,8205,7810,6785,9088,6970
C,8719,9123,8096,8247,26155,29929,7212,7579,7613,6900,8476,6951
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 20 (19 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8147,8736,7742,7966,41199,51498,6379,8184,7235,6392,8287,6864
B,8646,8675,7863,8141,42818,45936,6943,8148,7648,6731,8967,6880
C,8527,9096,8048,8327,26014,29909,7202,7542,7573,6941,8436,6988
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 21 (20 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8029,8719,7745,7995,40799,51706,6363,8167,7259,6403,8426,6811
B,8399,8548,7860,8145,43386,46162,7005,8233,7794,6668,9073,6784
C,8585,9031,8118,8185,25953,29927,7252,7524,7693,6998,8584,6909
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 22 (21 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8088,8728,7776,7911,40733,51397,6389,8171,7186,6420,8491,6907
B,8577,8665,7957,8171,43453,45696,6996,8310,7683,6739,9182,6850
C,8603,9005,8019,8214,25886,29872,7150,7586,7526,6973,8564,6933
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 23 (22 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8004,8643,7749,7968,40946,51658,6338,8175,7192,6406,8386,6777
B,8474,8611,7923,8201,43182,45296,6915,8164,7682,6639,9124,6813
C,8642,9107,8018,8128,25609,29819,7249,7583,7639,6859,8608,6999
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 24 (23 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8098,8672,7733,8040,41808,51711,6332,8196,7226,6399,8449,6913
B,8487,8582,7801,8191,43034,46063,6996,8192,7751,6677,9229,6782
C,8586,9039,8214,8130,25928,29655,7187,7554,7605,7034,8746,6948
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 25 (24 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8115,8604,7684,8079,41954,52238,6477,8328,7426,6467,8710,6845
B,8540,8607,7800,8202,43229,45787,6932,8296,7740,6615,9367,6808
C,8641,9086,8074,8147,26102,29868,7224,7568,7645,6882,8780,6904
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 26 (25 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8083,8700,7840,8113,42511,52469,6572,8325,7460,6521,8943,6918
B,8502,8707,7915,8166,43653,46191,6994,8179,7879,6765,9524,6815
C,8576,9187,8027,8181,25870,29878,7181,7570,7594,6927,8818,6867
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 27 (26 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8156,8703,7738,8036,42395,52282,6477,8260,7384,6554,8962,6925
B,8509,8629,7891,8271,43801,46343,7080,8266,7680,6705,9578,6901
C,8462,9037,8080,8165,25996,29877,7193,7530,7628,6830,8902,6912
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 28 (27 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8063,8681,7700,7917,41677,51991,6350,8285,7255,6450,8840,6882
B,8617,8648,7865,8270,43643,46334,7070,8254,7824,6627,9724,6847
C,8588,8935,8003,8140,25986,29573,7178,7492,7543,6929,9070,6898
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 29 (28 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7937,8755,7774,8073,41394,52561,6351,8151,7365,6467,8953,6839
B,8405,8696,7951,8224,43195,45830,6982,8212,7797,6641,9852,6812
C,8638,9029,8155,8232,26030,29777,7157,7542,7533,6834,8978,6872
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 30 (29 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7955,8700,7677,8014,41784,52571,6354,8178,7409,6523,9174,6762
B,8441,8673,7746,8240,42533,45375,6793,8094,7768,6606,9828,6729
C,8571,9137,7965,8181,26013,29862,7128,7432,7506,6873,9110,6945
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 31 (30 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8002,8624,7716,7984,41727,52446,6396,8066,7347,6486,9273,6805
B,8368,8649,7795,8072,42863,46062,6882,8079,7780,6661,9905,6763
C,8525,8950,8035,8181,26050,29821,7151,7539,7509,6824,9103,6797
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 32 (31 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8044,8716,7792,7988,41436,52440,6451,8086,7280,6500,9222,6760
B,8521,8596,7802,8204,43656,46418,6871,8335,7763,6683,10118,6796
C,8512,8873,8051,8193,25925,29815,7066,7479,7612,6921,9336,6930
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 33 (32 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7946,8615,7609,7918,41211,51881,6289,8051,7169,6286,9245,6750
B,8406,8645,7726,8118,43537,46349,7001,8181,7680,6691,10215,6824
C,8496,8904,7966,8122,25953,29718,7120,7390,7521,6849,9256,6834
D,,,,,,,,,,,,
E,,,,,,,,,,,,
