,,,,,,,,,,,,
,,,,,,,,,,,,
User: USER,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,,,,,,,,,,
Test ID: 270,,,,,,,,,,,,
Test Name: Nita-Liplysis,,,,,,,,,,,,
Date: 24/06/2025,,,,,,,,,,,,
Time: 14:09:58,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7587,8094,7278,7475,7860,7599,7067,7241,7604,7147,7647,7237
B,8047,8089,7315,7664,7894,7969,7317,7566,7883,7226,7660,7280
C,8076,8476,7638,7687,8337,8222,7473,7689,8009,7468,7921,7319
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
