batch,condition,sample_type,z-average,p1mi
1,1:0,ctrl,131.4,139.4
1,1:0,30-bp,150.2,158.8
1,9:1,ctrl,121.4,128
1,9:1,30-bp,146.1,154.3
1,3:1,ctrl,114.1,121.5
1,3:1,30-bp,139,146.9
1,1:1,ctrl,120.2,130.8
1,1:1,30-bp,149.5,158.3
2,1:0,ctrl,127.2,139.7
2,1:0,30-bp,155.4,166.9
2,9:1,ctrl,118.8,127.4
2,9:1,30-bp,147.1,157.7
2,3:1,ctrl,113.8,121.2
2,3:1,30-bp,143.8,152.1
2,1:1,ctrl,116.5,126.7
2,1:1,30-bp,143.7,153
3,1:0,ctrl,134.7,146.7
3,1:0,30-bp,158.4,170.5
3,9:1,ctrl,122.4,131.5
3,9:1,30-bp,147.8,160.8
3,3:1,ctrl,114.7,122.3
3,3:1,30-bp,147.7,160.8
