Sample Name	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 1 Mean by Intensity ordered by area (nm)
Ext 2 Ctrl 1	146.6	0.07894	100	158.7
Ext 2 Ctrl 2	151.3	0.05338	100	161.1
Ext 2 Ctrl 3	152	0.03366	100	160.6
Ext 2 0bp 200	162.8	0.03883	100	173.2
Ext 2 0bp 1000	154.5	0.05615	100	164.9
Ext 2 0bp 4000	152	0.06249	100	163.2
Ext 2 15bp 200	169.3	0.04881	100	180.4
Ext 2 15bp 1000	156.8	0.05612	100	168.7
Ext 2 15bp 4000	151.1	0.05962	100	162.2
Ext 2 30bp 200	185.2	0.03406	100	196.2
Ext 2 30bp 1000	177.3	0.04247	100	189.2
Ext 2 30bp 4000	160	0.08432	100	175
Ext 2 42bp 200	188.2	0.05127	100	200.9
Ext 2 42bp 1000	177.2	0.071	100	192.4
Ext 2 42bp 4000	170.1	0.02839	100	175.7
Ext 3 Ctrl 1	150.6	0.06018	100	162.1
Ext 3 Ctrl 2	152.5	0.03757	100	161.3
Ext 3 Ctrl 3	152	0.01932	100	160.2
Ext 3 0bp 200	170.8	0.01845	100	179.6
Ext 3 0bp 1000	161.5	0.07095	100	176.1
Ext 3 0bp 4000	159.9	0.01623	100	165.5
Ext 3 15bp 200	180.9	0.0456	100	194.1
Ext 3 15bp 1000	172.1	0.003793	100	178.9
Ext 3 15bp 4000	163.4	0.008611	100	169.1
Ext 3 30bp 200	184.5	0.03922	100	195.2
Ext 3 30bp 1000	171.9	0.03271	100	181.4
Ext 3 30bp 4000	160.9	0.05183	100	172.5
Ext 3 42bp 200	191.7	0.02415	100	201.8
Ext 3 42bp 1000	186.6	0.0213	100	195.9
Ext 3 42bp 4000	166.6	0.01782	100	174.9
Ext 1 Ctrl 1	148.3	0.06994	100	160.2
Ext 1 Ctrl 2	153.2	0.06811	100	166.7
Ext 1 Ctrl 3	154.6	0.03535	100	164.5
Ext 1 0bp 1000	163	0.05883	100	175.7
Ext 1 0bp 4000	156.5	0.0431	100	166.9
Ext 1 15bp 200	171.5	0.05239	100	183.3
Ext 1 15bp 1000	159.8	0.04329	100	169.1
Ext 1 15bp 4000	152.8	0.05703	100	163.6
Ext 1 30bp 200	187.7	0.04005	100	199.7
Ext 1 30bp 1000	167.5	0.07365	100	182.7
Ext 1 30bp 4000	158.3	0.05307	100	169.9
Ext 1 42bp 200	192.4	0.03993	100	204.5
Ext 1 42bp 1000	179.9	0.006714	100	187.7
Ext 1 42bp 4000	164.3	0.0297	100	169.1
