batch,sample_type,sample_number,z_average,peak_1_mean_intensity
1,control,1,152.2,171.3
1,control,2,154.8,168.8
1,control,3,151.5,165.1
1,duplex,33,184.4,195.1
1,junction,33,181.2,197.7
1,star,33,189.9,208.1
1,duplex,6.6,187.8,207.6
1,junction,6.6,176.9,189.2
1,star,6.6,188,196.6
1,duplex,1.65,175.3,188.7
1,junction,1.65.01,168.4,179.7
1,star,1.65,182.2,190.7
1,duplex,0.33,156.8,170.8
1,junction,0.33,157,175
1,star,0.33,161.1,178.7
2,control,1,148.5,160.2
2,control,2.01,147.8,159.7
2,control,3.01,150,166.6
2,duplex,33,189.7,207.7
2,junction,33,175.6,187.4
2,star,33.01,184.6,194.9
2,duplex,6.6,176.8,192.4
2,junction,6.6,178.2,188.7
2,star,6.6,189.5,201.9
2,duplex,1.65,174.9,189.1
2,junction,1.65,165.1,178
2,star,1.65,179.5,196.7
2,duplex,0.33,155.8,166.1
2,junction,0.33,152.9,168.7
2,star,0.33,159.4,169.7
3,control,1,144.9,157
3,control,2,144.8,151.5
3,control,3,143.4,152.6
3,duplex,33,182.7,197.2
3,junction,33,174.3,188.9
3,star,33,186.3,194.9
3,duplex,6.6,181.1,200.4
3,junction,6.6,174.3,184.7
3,star,6.6,181.8,201
3,duplex,1.65,171.1,186.5
3,junction,1.65,163.8,184.5
3,star,1.65,178.3,193.9
3,duplex,0.33,154.7,167.3
3,junction,0.33,155.7,169.8
3,star,0.33,158.3,177.5
