Quality Indicator,Measurement Start Date And Time,Measurement Type,Sample Name,Temperature (°C),Z-Average (nm),Polydispersity Index (PI),Peak 1 Mean by Intensity ordered by area (nm),Attenuator,Mean Count Rate (kcps),Derived Mean Count Rate (kcps)
GoodData,09/04/2025 12:00,Size,Ext-2 Control,25,156.3,0.0647,169.8,9,225.4,1878
GoodData,09/04/2025 12:01,Size,Ext-2 30-bp-linear 0.33 uL,25.01,161.4,0.08792,178.6,9,219.9,1832
GoodData,09/04/2025 12:03,Size,Ext-2 30-bp-linear 1.65 uL,25.01,198.5,0.1348,224.1,10,354.7,1182
GoodData,09/04/2025 12:05,Size,Ext-2 30-bp-linear 6.6 uL,25,193.3,0.118,210.2,9,302.3,2519
GoodData,09/04/2025 12:07,Size,Ext-2 30-bp-linear 33 uL,25,228.6,0.1576,273,8,201.5,4287
GoodData,09/04/2025 12:10,Size,Ext-2 30bp-branched 0.33 uL,25.01,182.7,0.1587,219.9,9,250.7,2089
GoodData,09/04/2025 12:12,Size,Ext-2 30bp-branched 1.65 uL,25.01,185.5,0.0791,202,10,431,1437
GoodData,09/04/2025 12:14,Size,Ext-2 30bp-branched 6.6 uL,25,185.6,0.02727,196.4,9,282.4,2354
GoodData,09/04/2025 12:16,Size,Ext-2 30bp-branched 33 uL,25,184.9,0.08947,204,9,341.2,2844
GoodData,09/04/2025 12:18,Size,Ext-2 4-way-star 0.33 uL,25,172.7,0.1222,184.7,9,224,1867
GoodData,09/04/2025 12:19,Size,Ext-2 4-way-star 1.65 uL,25,197.3,0.03115,208.8,9,179.2,1493
GoodData,09/04/2025 12:21,Size,Ext-2 4-way-star 6.6 uL,25.01,197.3,0.08145,215.5,9,301.2,2510
GoodData,09/04/2025 12:24,Size,Ext-2 4-way-star 33 uL,25.01,192.6,0.09881,214.1,9,363.5,3030
GoodData,09/04/2025 12:26,Size,Ext-3 Control,25,165,0.08507,181.6,9,246,2050
GoodData,09/04/2025 12:28,Size,Ext-3 30bp-linear 0.33 uL,25.01,164.9,0.08217,181,9,276.5,2304
GoodData,09/04/2025 12:30,Size,Ext-3 30bp-linear 1.65 uL,25.01,195.7,0.09684,220.3,9,185.1,1542
GoodData,09/04/2025 12:32,Size,Ext-3 30bp-linear 6.6 uL,25,197.8,0.09052,218.5,9,319,2659
GoodData,09/04/2025 12:34,Size,Ext-3 30bp-linear 33 uL,25,192.7,0.09396,213.2,9,365.9,3049
GoodData,09/04/2025 12:37,Size,Ext-3 30bp-branched 0.33 uL,25,167.4,0.1528,175.8,9,233.1,1943
GoodData,09/04/2025 12:38,Size,Ext-3 30bp-branched 1.65 uL,25,183.7,0.08683,205.5,10,464.5,1548
GoodData,09/04/2025 12:40,Size,Ext-3 30bp-branched 6.6 uL,25,184.9,0.03647,196.6,9,301.2,2510
GoodData,09/04/2025 12:42,Size,Ext-3 30bp-branched 33 uL,25,187.4,0.05728,201.7,9,361,3009
GoodData,09/04/2025 12:43,Size,Ext-3 4-way-star 0.33 uL,25,173.4,0.07362,189.9,9,225.8,1881
GoodData,09/04/2025 12:46,Size,Ext-3 4-way-star 1.65 uL,25,198.2,0.09765,218.9,9,189.9,1583
GoodData,09/04/2025 12:49,Size,Ext-3 4-way-star 6.6 uL,25,199.7,0.07007,217.7,9,335.2,2793
GoodData,09/04/2025 12:51,Size,Ext-3 4-way-star 33 uL,25,195.1,0.06145,210.2,9,359,2992
