Quality Indicator,Measurement Start Date And Time,Measurement Type,Sample Name,Temperature (°C),Z-Average (nm),Polydispersity Index (PI),Peak 1 Mean by Intensity ordered by area (nm)
GoodData,27/05/2025 14:32,Size,ext-1-control-1,25,152.2,0.1002,171.3
GoodData,27/05/2025 14:34,Size,ext-1-control-2,25,154.8,0.07678,168.8
GoodData,27/05/2025 14:35,Size,ext-1-control-3,25,151.5,0.07606,165.1
GoodData,27/05/2025 14:38,Size,ext-1-duplex-33uL,25,184.4,0.02287,195.1
GoodData,27/05/2025 14:40,Size,ext-1-junction-33uL,25,181.2,0.08289,197.7
GoodData,27/05/2025 14:41,Size,ext-1-star-33uL,25,189.9,0.07996,208.1
GoodData,27/05/2025 14:43,Size,ext-1-duplex-6.6uL,25,187.8,0.08685,207.6
GoodData,27/05/2025 14:44,Size,ext-1-junction-6.6uL,25,176.9,0.06086,189.2
GoodData,27/05/2025 14:45,Size,ext-1-star-6.6uL,25,188,0.01374,196.6
GoodData,27/05/2025 14:47,Size,ext-1-duplex-1.65uL,25,175.3,0.06302,188.7
GoodData,27/05/2025 14:49,Size,ext-1-junction-1.65uL,25.01,168.4,0.0662,179.7
GoodData,27/05/2025 14:51,Size,ext-1-star-1.65uL,25,182.2,0.004458,190.7
GoodData,27/05/2025 14:52,Size,ext-1-duplex-0.33uL,25,156.8,0.06874,170.8
GoodData,27/05/2025 14:54,Size,ext-1-junction-0.33uL,25,157,0.09545,175
GoodData,27/05/2025 14:56,Size,ext-1-star-0.33uL,25,161.1,0.0923,178.7
GoodData,27/05/2025 14:58,Size,ext-2-control-1,25,148.5,0.06986,160.2
GoodData,27/05/2025 14:59,Size,ext-2-control-2,25.01,147.8,0.06698,159.7
GoodData,27/05/2025 15:01,Size,ext-2-control-3,25.01,150,0.09372,166.6
GoodData,27/05/2025 15:03,Size,ext-2-duplex-33uL,25,189.7,0.06935,207.7
GoodData,27/05/2025 15:04,Size,ext-2-junction-33uL,25,175.6,0.05059,187.4
GoodData,27/05/2025 15:06,Size,ext-2-star-33uL,25.01,184.6,0.03227,194.9
GoodData,27/05/2025 15:08,Size,ext-2-duplex-6.6uL,25,176.8,0.07983,192.4
GoodData,27/05/2025 15:09,Size,ext-2-junction-6.6uL,25,178.2,0.03316,188.7
GoodData,27/05/2025 15:11,Size,ext-2-star-6.6uL,25,189.5,0.03098,201.9
GoodData,27/05/2025 15:12,Size,ext-2-duplex-1.65uL,25,174.9,0.06881,189.1
GoodData,27/05/2025 15:14,Size,ext-2-junction-1.65uL,25,165.1,0.06033,178
GoodData,27/05/2025 15:16,Size,ext-2-star-1.65uL,25,179.5,0.08334,196.7
GoodData,27/05/2025 15:18,Size,ext-2-duplex-0.33uL,25,155.8,0.03782,166.1
GoodData,27/05/2025 15:19,Size,ext-2-junction-0.33uL,25,152.9,0.09269,168.7
GoodData,27/05/2025 15:21,Size,ext-2-star-0.33uL,25,159.4,0.03919,169.7
GoodData,27/05/2025 15:23,Size,ext-3-control-1,25,144.9,0.06808,157
GoodData,27/05/2025 15:24,Size,ext-3-control-2,25,144.8,0.02496,151.5
GoodData,27/05/2025 15:26,Size,ext-3-control-3,25,143.4,0.04056,152.6
GoodData,27/05/2025 15:27,Size,ext-3-duplex-33uL,25,182.7,0.05416,197.2
GoodData,27/05/2025 15:29,Size,ext-3-junction-33uL,25,174.3,0.0876,188.9
GoodData,27/05/2025 15:31,Size,ext-3-star-33uL,25,186.3,0.2139,194.9
GoodData,27/05/2025 15:32,Size,ext-3-duplex-6.6uL,25,181.1,0.1044,200.4
GoodData,27/05/2025 15:33,Size,ext-3-junction-6.6uL,25,174.3,0.0361,184.7
GoodData,27/05/2025 15:35,Size,ext-3-star-6.6uL,25,181.8,0.08369,201
GoodData,27/05/2025 15:36,Size,ext-3-duplex-1.65uL,25,171.1,0.07668,186.5
GoodData,27/05/2025 15:38,Size,ext-3-junction-1.65uL,25,163.8,0.1072,184.5
GoodData,27/05/2025 15:40,Size,ext-3-star-1.65uL,25,178.3,0.06034,193.9
GoodData,27/05/2025 15:41,Size,ext-3-duplex-0.33uL,25,154.7,0.06303,167.3
GoodData,27/05/2025 15:43,Size,ext-3-junction-0.33uL,25,155.7,0.06381,169.8
GoodData,27/05/2025 15:45,Size,ext-3-star-0.33uL,25,158.3,0.09506,177.5
