Quality Indicator,Measurement Start Date And Time,Measurement Type,Sample Name,Temperature (°C),Z-Average (nm),Polydispersity Index (PI),Peak 1 Mean by Intensity ordered by area (nm),Repeat
GoodData,09/01/2025 12:52,Size,Ctrl pH 8.0,25,140.1,0.05307,150.9,1
GoodData,09/01/2025 12:54,Size,30bp pH 8.0,25,177.5,0.1505,190,1
GoodData,09/01/2025 12:56,Size,Ctrl pH 7.5,25,138.5,0.1183,152.2,1
GoodData,09/01/2025 12:58,Size,Ctrl pH 7.0,25,139.8,0.07845,152.9,1
GoodData,09/01/2025 12:59,Size,Ctrl pH 6.5,25,139.6,0.07249,151.4,1
GoodData,09/01/2025 13:01,Size,Ctrl pH 6.0,25,138.6,0.04236,148.2,1
GoodData,09/01/2025 13:03,Size,30bp pH 7.5,25,175.6,0.06495,191.2,1
GoodData,09/01/2025 13:04,Size,30bp pH 7.0,25,172.4,0.08641,190.3,1
GoodData,09/01/2025 13:06,Size,30bp pH 6.5,25,170.8,0.002709,178.5,1
GoodData,09/01/2025 13:09,Size,30bp pH 6.0,25,171.9,0.03265,182.5,1
GoodData,10/01/2025 12:22,Size,Ctrl pH 8.0,25,146.4,0.1008,162.2,2
GoodData,10/01/2025 12:24,Size,Ctrl pH 7.5,25,149.7,0.07409,163.8,2
GoodData,10/01/2025 12:25,Size,Ctrl pH 7.0,25,149.1,0.1006,164.9,2
GoodData,10/01/2025 12:26,Size,Ctrl pH 6.5,25.01,150.4,0.06007,160.8,2
GoodData,10/01/2025 12:28,Size,Ctrl pH 6.0,25,146.4,0.06724,159.2,2
GoodData,10/01/2025 12:29,Size,30bp pH 8.0,25,179.7,0.06688,195,2
GoodData,10/01/2025 12:30,Size,30bp pH 7.5,25,180,0.09792,201,2
GoodData,10/01/2025 12:32,Size,30bp pH 7.0,25,182.4,0.06374,199.5,2
GoodData,10/01/2025 12:33,Size,30bp pH 6.5,25,177.8,0.08452,193.9,2
GoodData,10/01/2025 12:34,Size,30bp pH 6.0,25,178.6,0.08295,196.9,2
GoodData,10/01/2025 12:38,Size,Ctrl pH 8.0,25,146.8,0.09264,160.6,3
GoodData,10/01/2025 12:39,Size,Ctrl pH 7.5,25,148.3,0.07084,160.8,3
GoodData,10/01/2025 12:41,Size,Ctrl pH 7.0,25,146.3,0.08872,157.1,3
GoodData,10/01/2025 12:43,Size,Ctrl pH 6.5,25,145,0.1488,152.7,3
GoodData,10/01/2025 12:44,Size,Ctrl pH 6.0,25,142.5,0.07853,154.4,3
GoodData,10/01/2025 12:45,Size,30bp pH 8.0,25,179.5,0.02625,188.9,3
GoodData,10/01/2025 12:47,Size,30bp pH 7.5,25,178.5,0.07347,194.6,3
GoodData,10/01/2025 12:48,Size,30bp pH 7.0,25,179.1,0.0586,194.1,3
GoodData,10/01/2025 12:50,Size,30bp pH 6.5,25,178.6,0.07226,195.3,3
GoodData,10/01/2025 12:51,Size,30bp pH 6.0,25,177.4,0.1166,191.9,3
