batch,sample_type,condition,z-average,p1mi
1,ctrl,8.0,140.1,150.9
1,30-bp,8.0,177.5,190
1,ctrl,7.5,138.5,152.2
1,ctrl,7.0,139.8,152.9
1,ctrl,6.5,139.6,151.4
1,ctrl,6.0,138.6,148.2
1,30-bp,7.5,175.6,191.2
1,30-bp,7.0,172.4,190.3
1,30-bp,6.5,170.8,178.5
1,30-bp,6.0,171.9,182.5
2,ctrl,8.0,146.4,162.2
2,ctrl,7.5,149.7,163.8
2,ctrl,7.0,149.1,164.9
2,ctrl,6.5,25.01,150.4,160.8
2,ctrl,6.0,146.4,159.2
2,30-bp,8.0,179.7,195
2,30-bp,7.5,180,201
2,30-bp,7.0,182.4,199.5
2,30-bp,6.5,177.8,193.9
2,30-bp,6.0,178.6,196.9
3,ctrl,8.0,146.8,160.6
3,ctrl,7.5,148.3,160.8
3,ctrl,7.0,146.3,157.1
3,ctrl,6.5,145,152.7
3,ctrl,6.0,142.5,154.4
3,30-bp,8.0,179.5,188.9
3,30-bp,7.5,178.5,194.6
3,30-bp,7.0,179.1,194.1
3,30-bp,6.5,178.6,195.3
3,30-bp,6.0,177.4,191.9
