Quality Indicator	Measurement Type	Result State	Sample Name	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	5 mM batch 3 MBCD	29/01/2024 14:37	25.01	130	0.209	100			150.3
GoodData	Size	Completed	5 mM batch 3 MBCD	29/01/2024 14:40	25	113.5	0.2093	100			137.7
GoodData	Size	Completed	5 mM batch 3 MBCD	29/01/2024 14:43	25	108.3	0.2238	100			128.1
GoodData	Size	Completed	5 mM batch 3 MBCD	29/01/2024 14:46	25	110.8	0.1876	100			130.7
GoodData	Size	Completed	5 mM batch 3 MBCD	29/01/2024 14:50	25	111.3	0.1864	100			131.1
GoodData	Size	Completed	5 mM batch 3 MBCD no dna	29/01/2024 14:53	25	121	0.2039	100			143
GoodData	Size	Completed	5 mM batch 3 MBCD no dna	29/01/2024 14:56	25	114.3	0.1943	100			135.8
GoodData	Size	Completed	5 mM batch 3 MBCD no dna	29/01/2024 14:59	25	114.4	0.1763	100			133.2
GoodData	Size	Completed	5 mM batch 3 MBCD no dna	29/01/2024 15:03	25	112.6	0.1616	100			129.4
GoodData	Size	Completed	5 mM batch 3 MBCD no dna	29/01/2024 15:06	25	112.1	0.1714	100			129.9
