Quality Indicator,Measurement Type,Result State,Sample Name,Measurement Start Date And Time,Temperature (°C),Z-Average (nm),Polydispersity Index (PI),Peak 1 Area by Intensity ordered by area (%),Peak 1 Mean by Intensity ordered by area (nm)
NoData,Size,Aborted,Blank,07/06/2023 15:03,25,701.3,0.5713,55.15,394.3
GoodData,Size,Completed,Ext 1 Ctrl 1,07/06/2023 15:05,25,122.8,0.09657,100,136.2
GoodData,Size,Completed,Ext 2 Ctrl 1,07/06/2023 15:06,25,126.9,0.2237,100,127.2
GoodData,Size,Completed,Ext 3 Ctrl 1,07/06/2023 15:08,25,121.2,0.08346,100,132.6
NoData,Size,Aborted,Ext 1 0 min,07/06/2023 15:10,25,327,0.7957,77.61,768.9
NoData,Size,Aborted,Ext 1 0 min,07/06/2023 15:11,25,159.4,0.6281,88.69,237.3
GoodData,Size,Completed,Ext 1 0 min,07/06/2023 15:12,25,120.5,0.04822,100,128.1
GoodData,Size,Completed,Ext 1 1 min,07/06/2023 15:14,25,122.5,0.05176,100,132
GoodData,Size,Completed,Ext 2 0 min,07/06/2023 15:15,25,129.2,0.1298,100,147
GoodData,Size,Completed,Ext 1 5 min,07/06/2023 15:18,25,130.9,0.1062,100,147.6
GoodData,Size,Completed,Ext 2 1 min,07/06/2023 15:20,25,141.1,0.15,100,153.7
GoodData,Size,Completed,Ext 3 0 min,07/06/2023 15:22,25,121.1,0.04624,100,129.5
GoodData,Size,Completed,Ext 2 5 min,07/06/2023 15:24,25,134.9,0.08624,100,148
GoodData,Size,Completed,Ext 3 1 min,07/06/2023 15:26,25,123.5,0.08125,100,135.9
GoodData,Size,Completed,Ext 1 15 min,07/06/2023 15:28,25,137.9,0.1516,100,148.4
GoodData,Size,Completed,Ext 3 5 min,07/06/2023 15:30,25,129.2,0.08229,100,142.2
GoodData,Size,Completed,Ext 2 15 min,07/06/2023 15:34,25,143.7,0.132,100,166.6
GoodData,Size,Completed,Ext 3 15 min,07/06/2023 15:40,25,130.9,0.06273,100,141.8
GoodData,Size,Completed,Ext 1 30 min,07/06/2023 15:43,25,145.5,0.04273,100,154
GoodData,Size,Completed,Ext 2 30 min,07/06/2023 15:49,25,146.2,0.1242,100,168
GoodData,Size,Completed,Ext 3 30 min,07/06/2023 15:55,25,140.4,0.0737,100,153.7
GoodData,Size,Completed,Ext 1 45 min,07/06/2023 15:58,25,147.1,0.0865,100,162.9
GoodData,Size,Completed,Ext 2 45 min,07/06/2023 16:04,25,148.4,0.1037,100,166
GoodData,Size,Completed,Ext 3 45 min,07/06/2023 16:10,25,140.5,0.1176,100,159.9
GoodData,Size,Completed,Ext 1 90 min,07/06/2023 16:43,146,0.0495,25,100,156.6
GoodData,Size,Completed,Ext 2 90 min,07/06/2023 16:49,152.8,0.102,25,100,171
GoodData,Size,Completed,Ext 3 90 min,07/06/2023 16:54,142.6,0.07672,25,100,156.1
