Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Conductivity (mS/cm)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	0.5mM MBCD 	06/12/2023 15:16	06/12/2023 15:16	25	163.4	0.1033	100				182.6
GoodData	Size	Completed	0.5mM MBCD 	06/12/2023 15:19	06/12/2023 15:19	25	153.6	0.08003	100				168.5
GoodData	Size	Completed	0.5mM MBCD 	06/12/2023 15:22	06/12/2023 15:22	25	150.8	0.1058	100				168.9
GoodData	Size	Completed	0.5mM MBCD 	06/12/2023 15:25	06/12/2023 15:26	25	153.4	0.06932	100				167
GoodData	Size	Completed	0.5mM MBCD 	06/12/2023 15:29	06/12/2023 15:29	25	152	0.09026	100				167.8
GoodData	Size	Completed	0.5mM MBCD no DNA	06/12/2023 15:31	06/12/2023 15:31	25	133.1	0.07835	100				144.7
GoodData	Size	Completed	0.5mM MBCD no DNA	06/12/2023 15:35	06/12/2023 15:35	25	130.2	0.06174	100				141.5
GoodData	Size	Completed	0.5mM MBCD no DNA	06/12/2023 15:38	06/12/2023 15:38	25	126.5	0.1056	100				142.3
GoodData	Size	Completed	0.5mM MBCD no DNA	06/12/2023 15:41	06/12/2023 15:41	25	124.6	0.09582	100				138.4
GoodData	Size	Completed	0.5mM MBCD no DNA	06/12/2023 15:44	06/12/2023 15:44	25	125.3	0.1224	100				142.9
