Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Conductivity (mS/cm)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	2mM MBCD 	06/12/2023 14:43	06/12/2023 14:43	25	149.3	0.14	100				170.3
GoodData	Size	Completed	2mM MBCD 	06/12/2023 14:47	06/12/2023 14:47	25	145	0.1753	100				173.1
GoodData	Size	Completed	2mM MBCD 	06/12/2023 14:50	06/12/2023 14:50	25	140.4	0.1683	100				166.6
GoodData	Size	Completed	2mM MBCD 	06/12/2023 14:53	06/12/2023 14:53	25	134.7	0.1991	100				144.2
GoodData	Size	Completed	2mM MBCD 	06/12/2023 14:56	06/12/2023 14:56	25	131.1	0.1953	100				140
GoodData	Size	Completed	2mM MBCD  no DNA	06/12/2023 14:59	06/12/2023 14:59	25	134.1	0.08256	100				146.5
GoodData	Size	Completed	2mM MBCD  no DNA	06/12/2023 15:02	06/12/2023 15:02	25	124.3	0.1089	100				138.6
GoodData	Size	Completed	2mM MBCD  no DNA	06/12/2023 15:05	06/12/2023 15:05	25	123.8	0.09243	100				136.5
GoodData	Size	Completed	2mM MBCD  no DNA	06/12/2023 15:09	06/12/2023 15:09	25	124.2	0.1012	100				137.6
GoodData	Size	Completed	2mM MBCD  no DNA	06/12/2023 15:12	06/12/2023 15:12	25	126.3	0.08987	100				139.1
