,,,,,,,,,,,,
,,,,,,,,,,,,
User: USER,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,,,,,,,,,,
Test ID: 272,,,,,,,,,,,,
Test Name: Nita-Liplysis,,,,,,,,,,,,
Date: 24/06/2025,,,,,,,,,,,,
Time: 14:47:02,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 1 (0 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7908,8333,7485,7717,7459,7729,6618,6776,7153,6779,7108,6741
B,8367,8259,7629,7875,7313,7423,6790,6936,7464,6797,7161,6656
C,8347,8666,7861,7858,7702,7930,7134,7204,7615,7195,7554,6906
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 2 (60 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7897,8287,7530,7710,7425,7723,6490,6760,7192,6723,7081,6811
B,8379,8215,7634,7915,7216,7322,6705,6936,7403,6828,7113,6675
C,8407,8665,7868,7879,7709,7872,7105,7156,7553,7212,7541,6940
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 3 (120 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7924,8334,7501,7747,7409,7757,6488,6782,7197,6743,7086,6805
B,8404,8306,7690,7911,7234,7345,6769,6997,7368,6842,7170,6662
C,8432,8674,7903,7908,7680,7939,7120,7172,7565,7167,7529,6960
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 4 (180 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7970,8417,7621,7816,7400,7734,6539,6777,7295,6781,7220,6936
B,8444,8313,7691,7978,7252,7354,6707,7009,7412,6801,7224,6740
C,8492,8723,7957,7923,7718,7892,7126,7232,7549,7232,7564,7045
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 5 (240 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,8010,8414,7704,7806,7473,7812,6564,6794,7288,6817,7177,6884
B,8455,8410,7756,7997,7254,7369,6807,6960,7462,6841,7189,6755
C,8477,8795,7986,7970,7732,7928,7206,7260,7638,7256,7610,7073
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 6 (300 s),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7978,8492,7680,7883,7516,7834,6574,6845,7278,6821,7264,6939
B,8467,8409,7717,8003,7324,7397,6797,7073,7468,6858,7235,6803
C,8569,8827,8057,8002,7824,7997,7204,7314,7634,7300,7635,7098
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
