,,,,,,,,,,,,
,,,,,,,,,,,,
User: USER,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,,,,,,,,,,
Test ID: 276,,,,,,,,,,,,
Test Name: Nita-Liplysis,,,,,,,,,,,,
Date: 24/06/2025,,,,,,,,,,,,
Time: 16:44:36,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 1 (0 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,142802,162186,152412,156949,149454,147854,145858,153984,6863,5436,12708,6490
B,137428,141214,136821,137754,134253,134514,133675,136375,7183,5602,13878,6323
C,137882,142690,139894,139338,138351,139101,137771,137103,6943,5811,10571,6387
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 2 (1 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,140672,160659,150462,155472,147634,146548,144408,152586,6855,5430,13632,6536
B,136525,140066,135945,136616,133266,132773,132149,135008,7226,5600,14115,6345
C,136336,140999,138925,137844,137335,137206,136364,135852,6977,5823,10649,6445
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 3 (2 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,139871,159689,149340,154543,146965,145937,144143,151903,6905,5471,14686,6599
B,135760,139046,135097,135806,132550,132444,131520,134510,7274,5659,14316,6396
C,135142,140080,137871,136768,136434,136729,135713,135159,7027,5865,10770,6486
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 4 (3 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,139115,158734,148672,154212,146710,145592,143546,151100,6974,5544,15751,6682
B,135329,138810,134709,135781,132238,131519,131105,133959,7330,5680,14524,6449
C,134591,139657,136810,136742,135960,135857,135169,134408,7060,5901,10917,6492
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Cycle 5 (4 min),,,,,,,,,,,,
,Raw Data (483-14/530-30),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,138735,157455,148347,153191,146120,144465,143088,151110,6992,5567,16572,6645
B,135384,138131,134499,135270,131932,131593,131021,133375,7304,5716,14670,6491
C,134488,139245,136774,136401,135629,135614,134739,134244,7131,5934,11127,6588
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
