Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,35.30892181,0.021916667,394.9074707,0.04224999994,280.725708,0.06324999779,197.4807129,0.08445833623,119.7845154,0.1049166694,134.1863861,
1.000833273,38.47405243,1.021312475,388.0565491,1.042124987,310.5643921,1.062625051,293.7555847,1.083479166,230.4099121,1.105166674,235.0246277,
2.000833273,39.76439667,2.021979094,381.911438,2.043291807,326.0179443,2.064312458,294.3624573,2.084479094,271.9913025,2.10581255,268.14505,
3.000833273,40.10500717,3.021395922,387.4635315,3.042208433,318.4787292,3.0625,302.1746826,3.084041595,295.7582397,3.103500128,283.3990479,
4.000833511,36.89981461,4.021958351,387.1477661,4.042375088,325.3840332,4.063000202,298.3137817,4.084541798,299.8335571,4.105374813,291.2173767,
5.000833035,37.62935257,5.022479057,377.3215942,5.043645859,324.2365112,5.063958168,301.3982239,5.08514595,305.2597656,5.106312752,295.4842529,
6.000833035,40.12788391,6.021458626,386.6940613,6.042500019,313.4391785,6.0625,299.8137512,6.083500385,306.5396118,6.104125023,292.156189,
7.000833035,38.20628357,7.02147913,390.6169739,7.042333603,320.076355,7.063499928,295.7173157,7.084312439,304.4680176,7.105291843,286.2123413,
8.000833511,39.8259201,8.021791458,382.3613586,8.042791367,331.9124756,8.063458443,305.6951599,8.084958076,303.9994202,8.105312347,298.5367126,
9.000833511,34.93843842,9.021291733,372.7292175,9.04216671,313.5086975,9.063145638,295.280426,9.083312988,305.0657349,9.104311943,306.9363403,
10.00083351,38.59131622,10.02081299,370.3467407,10.04131222,316.1988831,10.06247997,305.0696106,10.08399963,307.8687134,10.10437489,294.6011353,
11.00083351,36.98838806,11.02131271,381.591095,11.041646,319.809967,11.06247997,289.2002563,11.08397961,304.3807373,11.10464573,292.401001,
12.00083351,35.15712357,12.02162457,379.0195618,12.04256248,315.7881775,12.06395912,300.0932007,12.08512497,301.3360291,12.10595798,303.7746887,
13.00083351,36.99192047,13.02181339,377.7146301,13.04281235,318.6516724,13.06381226,293.652771,13.08495808,308.1122131,13.10562515,299.6987915,
14.00083351,35.70989227,14.02179146,383.1058655,14.04262447,321.5875549,14.06329155,300.3980713,14.08447838,309.9956665,14.10597897,285.7733459,
15.00083351,35.61647415,15.0215416,376.5974426,15.04204178,310.8721008,15.06320763,298.1690369,15.08383369,302.8536377,15.10470772,295.480011,
16.00083351,35.88076019,16.02149963,375.0480957,16.0423336,314.1955566,16.06299973,303.0930176,16.08420753,311.5393066,16.10454178,292.5125427,
17.00083351,34.84320831,17.02050018,370.9866638,17.04139519,315.1859436,17.06212425,301.1729126,17.08314705,304.017334,17.10364532,303.2176514,
18.00083351,37.05400085,18.02147865,371.2791138,18.04214668,313.3001404,18.06329155,300.3712769,18.08379173,306.9785461,18.10481071,290.6798096,
19.00083351,34.68087006,19.02129173,373.4803772,19.04262543,317.0162964,19.06281281,289.3871765,19.08387375,300.5410156,19.10500145,293.7443542,
20.00083351,36.66144562,20.02147865,370.7185974,20.0426445,322.7109985,20.06395912,290.2029114,20.08412552,296.2962952,20.10481071,304.8730164,
21.00083351,34.16133499,21.02033234,370.8822632,21.04104233,323.1932983,21.06212616,298.9091187,21.08345795,298.953949,21.10464668,290.308136,
22.00083351,35.44147873,22.02079201,365.4169006,22.04189682,316.250946,22.0622921,296.5121155,22.08364677,298.91922,22.10381317,289.2708435,
23.00083351,35.92667007,23.02103996,378.9094238,23.04216766,325.5259705,23.06333351,291.962677,23.08439445,296.5596619,23.10495758,295.658905,
24.00083351,36.77267456,24.02083397,373.7024841,24.04131317,319.6837463,24.06322861,297.5480042,24.08379173,293.5780945,24.10414696,292.3141174,
25.00083351,37.26179504,25.02054214,373.3848877,25.04172897,312.2563782,25.062397,302.286499,25.08379173,293.8241577,25.10412598,301.165863,
