Quality Indicator,Measurement Type,Result State,Sample Name,Measurement Start Date And Time,Z-Average (nm),Peak 1 Mean by Intensity ordered by area (nm)
GoodData,Size,Completed,ext-1-before,22/01/2026 14:04,175.2,186.6
GoodData,Size,Completed,ext-2-before,22/01/2026 14:05,180,199.9
GoodData,Size,Completed,ext-3-before,22/01/2026 14:07,194.1,193.4
GoodData,Size,Completed,ext-1-start,22/01/2026 14:09,174.6,191.4
GoodData,Size,Completed,ext-1,22/01/2026 14:11,175.8,200.7
GoodData,Size,Completed,ext-1,22/01/2026 14:13,177.3,206.9
GoodData,Size,Completed,ext-2-start,22/01/2026 14:16,184.5,188.4
GoodData,Size,Completed,ext-2,22/01/2026 14:17,181.3,210.1
GoodData,Size,Completed,ext-1,22/01/2026 14:19,187.1,217.7
AdviceAvailable,Size,Completed,ext-3-start,22/01/2026 14:21,176.6,182.6
AdviceAvailable,Size,Completed,ext-3,22/01/2026 14:22,181.1,197.6
AdviceAvailable,Size,Completed,ext-3,22/01/2026 14:24,188.1,212.4
GoodData,Size,Completed,ext-2,22/01/2026 14:26,201.1,198.1
GoodData,Size,Completed,ext-1,22/01/2026 14:27,192.3,215.5
GoodData,Size,Completed,ext-2,22/01/2026 14:28,189.3,209.2
GoodData,Size,Completed,ext-3,22/01/2026 14:29,190.9,214.5
GoodData,Size,Completed,ext-1,22/01/2026 14:31,197.8,225
AdviceAvailable,Size,Completed,ext-2,22/01/2026 14:32,191.9,207
GoodData,Size,Completed,ext-3,22/01/2026 14:34,193,202.9
GoodData,Size,Completed,ext-1,22/01/2026 14:37,200,212
GoodData,Size,Completed,ext-2,22/01/2026 14:38,198.2,234.4
GoodData,Size,Completed,ext-3,22/01/2026 14:40,194.6,218.7
AdviceAvailable,Size,Completed,ext-1,22/01/2026 14:48,199.1,236.1
GoodData,Size,Completed,ext-2,22/01/2026 14:49,201.5,196.3
GoodData,Size,Completed,ext-3,22/01/2026 14:51,197.4,222.5
GoodData,Size,Completed,ext-1,22/01/2026 14:58,202.3,229.5
GoodData,Size,Completed,ext-2,22/01/2026 15:00,201.8,227.1
GoodData,Size,Completed,ext-3,22/01/2026 15:02,215.2,228.4
GoodData,Size,Completed,ext-1,22/01/2026 15:11,208.7,239
GoodData,Size,Completed,ext-2,22/01/2026 15:13,202.7,231.2
GoodData,Size,Completed,ext-3,22/01/2026 15:15,208.9,199.7
GoodData,Size,Completed,ext-1,22/01/2026 15:26,209.6,205.6
GoodData,Size,Completed,ext-2,22/01/2026 15:27,203,222.7
GoodData,Size,Completed,ext-3,22/01/2026 15:29,208.8,224.4
GoodData,Size,Completed,ext-1,22/01/2026 15:39,213.8,243.9
GoodData,Size,Completed,ext-2,22/01/2026 15:40,205.9,235.5
GoodData,Size,Completed,ext-3,22/01/2026 15:42,214.9,236.6
GoodData,Size,Completed,ext-2,22/01/2026 15:49,205.5,248.2
AdviceAvailable,Size,Completed,ext-3,22/01/2026 15:52,226,183.3
