Quality Indicator	Measurement Type	Result State	Sample Name	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	1mM batch 3 MBCD DNA	26/01/2024 15:53	25	161.2	0.1163	100			172.2
GoodData	Size	Completed	1mM batch 3 MBCD DNA	26/01/2024 15:56	25	152.4	0.07895	100			165.8
GoodData	Size	Completed	1mM batch 3 MBCD DNA	26/01/2024 15:59	25	153.9	0.1154	100			173.9
GoodData	Size	Completed	1mM batch 3 MBCD DNA	26/01/2024 16:03	25	154.7	0.09317	100			170.3
GoodData	Size	Completed	1mM batch 3 MBCD DNA	26/01/2024 16:06	25	152.7	0.1046	100			170.4
GoodData	Size	Completed	1mM batch 3 MBCD no DNA	26/01/2024 16:09	25.01	126.8	0.1582	100			135.4
GoodData	Size	Completed	1mM batch 3 MBCD no DNA	26/01/2024 16:12	25	126.1	0.131	100			141.8
GoodData	Size	Completed	1mM batch 3 MBCD no DNA	26/01/2024 16:15	25	124.9	0.1229	100			141.7
GoodData	Size	Completed	1mM batch 3 MBCD no DNA	26/01/2024 16:18	25	123.9	0.1377	100			141.9
GoodData	Size	Completed	1mM batch 3 MBCD no DNA	26/01/2024 16:22	25	124.1	0.1366	100			143.1
