Well,Content,Raw Data (550),Raw Data (550)
,Time [s],0,1899
A01,Sample X1,0.069,0.077
A02,Sample X2,0.174,0.216
A03,Sample X3,0.212,0.288
A04,Sample X4,0.284,0.367
A05,Sample X5,0.371,0.536
A06,Sample X6,0.419,0.613
A07,Sample X7,0.471,0.706
A08,Sample X8,0.542,0.862
A09,Sample X9,0.416,0.612
A10,Sample X10,0.406,0.598
A11,Sample X11,0.378,0.559
B01,Sample X12,0.062,0.078
B02,Sample X13,0.149,0.217
B03,Sample X14,0.189,0.299
B04,Sample X15,0.216,0.374
B05,Sample X16,0.314,0.557
B06,Sample X17,0.306,0.639
B07,Sample X18,0.343,0.732
B08,Sample X19,0.408,0.882
B09,Sample X20,0.293,0.612
B10,Sample X21,0.326,0.644
B11,Sample X22,0.284,0.531
C01,Sample X23,0.17,0.085
C02,Sample X24,0.154,0.214
C03,Sample X25,0.233,0.305
C04,Sample X26,0.24,0.387
C05,Sample X27,0.322,0.554
C06,Sample X28,0.578,0.628
C07,Sample X29,0.363,0.711
C08,Sample X30,0.423,0.908
C09,Sample X31,0.306,0.586
