		Ext 1	Ext 2	Ext 3	Processed			Average	SE
Control	1	148.3	146.6	150.6					
	2	153.2	151.3	152.5					
	3	154.6	152	152					
38 bp	100		162.8	170.8		12.8333333333333	19.1	15.9666666666667	2.21560124771784
	500	163	154.5	161.5	10.9666666666667	4.53333333333333	9.79999999999998	8.43333333333333	1.61574047543243
	2000	156.5	152	159.9	4.46666666666667	2.03333333333333	8.19999999999999	4.9	1.46422355440826
53 bp	100	171.5	169.3	180.9	19.4666666666667	19.3333333333333	29.2	22.6666666666667	2.66740730455531
	500	159.8	156.8	172.1	7.76666666666668	6.83333333333334	20.4	11.6666666666667	3.57214878099726
	2000	152.8	151.1	163.4	0.76666666666668	1.13333333333333	11.7	4.53333333333333	2.92705557189945
68 bp	100	187.7	185.2	184.5	35.6666666666667	35.2333333333333	32.8	34.5666666666667	0.728434817914836
	500	167.5	177.3	171.9	15.4666666666667	27.3333333333333	20.2	21	2.81600364758462
	2000	158.3	160	160.9	6.26666666666668	10.0333333333333	9.19999999999999	8.5	0.932671723174809
80 bp	100	192.4	188.2	191.7	40.3666666666667	38.2333333333333	40	39.5333333333333	0.537713494780574
	500	179.9	177.2	186.6	27.8666666666667	27.2333333333333	34.9	30	2.00597871805359
	2000	164.3	170.1	166.6	12.2666666666667	20.1333333333333	14.9	15.7666666666667	1.88764665034089
