			Ext 1	Ext 2	Ext 3	Processed			Average	SE
Exp 1	Control	1	160.2	151.2	162.1					
		2	166.7	172.7	161.3					
		3	164.5	173.6	160.2					
Exp 2	Control	1	153	149.6	162.8					
		2	159.1	156.2	155.3					
		3	157.1	156.7	165.2					
Exp 2	38 bp	20	177	181	178.9	20.6	26.8333333333333	17.8	21.7444444444444	2.17983651744766
Exp 1		100		173.2	179.6		11.25	17.9	14.575	2.35113004744527
		500	175.7	164.9	176.1	12.25	2.95000000000002	14.4	9.86666666666667	2.86882993312346
		2000	166.9	163.2	165.5	3.45000000000002	1.25	3.80000000000001	2.83333333333334	0.651636117499356
Exp 2	53 bp	20	184.3	191.9	185.7	27.9	37.7333333333333	24.6	30.0777777777778	3.22070206798139
Exp 1		100	183.3	180.4	194.1	19.85	18.45	32.4	23.5666666666667	3.62125924486476
		500	169.1	168.7	178.9	5.65000000000001	6.75	17.2	9.86666666666667	3.00502665299082
		2000	163.6	162.2	169.1	0.150000000000006	0.25	7.40000000000001	2.6	1.95973354197849
Exp 2	68 bp	20	197.4	196.6	195.9	41	42.4333333333333	34.8	39.4111111111111	1.91255328874897
Exp 1		100	199.7	180.4	195.2	36.25	18.45	33.5	29.4	4.51706640297537
		500	182.7	168.7	181.4	19.25	6.75	19.7	15.2333333333333	3.46493012061438
		2000	169.9	162.2	172.5	6.45000000000002	0.25	10.8	5.83333333333334	2.4993702910637
Exp 2	80 bp	20	196.1	208.4	198.4	39.7	54.2333333333334	37.3	43.7444444444444	4.31927443990803
Exp 1		100	204.5	200.9	201.8	41.05	38.95	40.1	40.0333333333334	0.495722443248981
		500	187.7	192.4	195.9	24.25	30.45	34.2	29.6333333333333	2.36881748902196
		2000	169.1	175.7	174.9	5.65000000000001	13.75	13.2	10.8666666666667	2.13363713114658

