Quality Indicator	Measurement Type	Result State	Sample Name	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	Ext 1 Control 1	126.4	0.04771	135
GoodData	Size	Completed	Ext 1 Control 2	142.4	0.02087	149.6
GoodData	Size	Completed	Ext 1 Control 3	144.6	0.1222	162.8
GoodData	Size	Completed	Ext 1 20 bp ss 200	142.4	0.05885	152.5
GoodData	Size	Completed	Ext 1 20 bp ss 1000	139.7	0.03092	147.1
GoodData	Size	Completed	Ext 1 20 bp ss 4000	139.9	0.04695	149.2
GoodData	Size	Completed	Ext 1 38 bp ss 40	150.2	0.04984	160.6
GoodData	Size	Completed	Ext 1 38 bp ss 200	144.2	0.01855	149.3
GoodData	Size	Completed	Ext 1 38 bp ss 1000	140.9	0.07772	153.4
AdviceAvailable	Size	Completed	Ext 1 38 bp ss 4000	219.2	0.2398	99.93
GoodData	Size	Completed	Ext 2 Control 1	140.7	0.07618	154.2
GoodData	Size	Completed	Ext 2 Control 2	137.3	0.03761	145.7
GoodData	Size	Completed	Ext 2 Control 3	139.2	0.05318	149.7
GoodData	Size	Completed	Ext 2 20 bp ss 40	145.6	0.07861	158.5
GoodData	Size	Completed	Ext 2 20 bp ss 200	144.4	0.08305	155.4
GoodData	Size	Completed	Ext 2 20 bp ss 1000	138.9	0.04972	148.6
GoodData	Size	Completed	Ext 2 20 bp ss 4000	143.3	0.01121	150.3
GoodData	Size	Completed	Ext 2 38 bp ss 40	149.5	0.05017	159.5
GoodData	Size	Completed	Ext 2 38 bp ss 200	139.7	0.04222	149.3
GoodData	Size	Completed	Ext 2 38 bp ss 1000	145.2	0.09764	159.4
GoodData	Size	Completed	Ext 2 38 bp ss 4000	139.9	0.04428	149.5
GoodData	Size	Completed	Ext 3 Control 1	139.6	0.1105	155.1
GoodData	Size	Completed	Ext 3 Control 2	140.5	0.07074	152.1
GoodData	Size	Completed	Ext 3 Control 3	138.4	0.03171	147
GoodData	Size	Completed	Ext 3 20 bp ss 40	150.4	0.07496	164.7
GoodData	Size	Completed	Ext 3 20 bp ss 200	142.9	0.05009	153.7
GoodData	Size	Completed	Ext 3 20 bp ss 1000	143.8	0.09761	155.1
GoodData	Size	Completed	Ext 3 20 bp ss 4000	140.5	0.09215	156.7
GoodData	Size	Completed	Ext 3 38 bp ss 40	148.9	0.06488	161.9
GoodData	Size	Completed	Ext 3 38 bp ss 200	148.4	0.004322	155.1
GoodData	Size	Completed	Ext 3 38 bp ss 1000	139	0.0781	151.7
GoodData	Size	Completed	Ext 3 38 bp ss 4000	144.1	0.0858	159.2
