		Raw			Processed			Average	Error
		Ext 1	Ext 2	Ext 3	Ext 1	Ext 2	Ext 3		
Exp 1	Control 1	153.1	155.9	160.3					
	Control 2	155.7	162	166.4					
	Control 3	156.9	159.7	164.3					
Exp 2	Control 1	135	154.2	155.1					
	Control 2	149.6	145.7	152.1					
	Control 3	162.8	149.7	147					
30bp Junct, Exp 1	40	183.1	188.4	192.2	27.8666666666667	29.2	28.5333333333333	28.5333333333333	0.31426968052735
	200	189.4	192.6		34.1666666666667	33.4		33.7833333333333	0.271057599454858
	1000	186.4	191	188.7	31.1666666666667	31.8	25.0333333333333	29.3333333333333	1.76180322887772
	4000	171	169.9	173.4	15.7666666666667	10.7	9.73333333333335	12.0666666666667	1.52760605095476
20bp ssDNA, Exp 2	40		158.5	164.7		8.63333333333335	13.3	10.9666666666667	1.6499158227686
	200	174.8	155.4	153.7	25.6666666666667	5.53333333333336	2.29999999999998	11.1666666666667	5.968456176919
	1000	170.1	148.6	155.1	20.9666666666667	-1.26666666666665	3.69999999999999	7.8	5.50126809174793
	4000	151.8	150.3	156.7	2.66666666666669	0.433333333333366	5.29999999999998	2.80000000000001	1.14837512690703
38bp ssDNA, Exp 2	40	160.6	159.5	161.9	11.4666666666666	9.63333333333335	10.5	10.5333333333333	0.432335032407627
	200	149.3	149.3	155.1	0.166666666666686	-0.566666666666634	3.69999999999999	1.10000000000001	1.07542698956113
	1000	153.4	159.4	151.7	4.26666666666668	9.53333333333336	0.299999999999983	4.70000000000001	2.18349589442886
	4000		149.5	159.2		-0.366666666666646	7.79999999999998	3.71666666666667	2.88735268984506
