Control	1	146.2				
	2	137.8				
	3	137.1				
Raw	No linker	143.1				
	Time / min	0.2 eq	0.5 eq	1 eq	2 eq	Control
	0	169.7	181.1	172.7	168.7	143.1
	5	166	171.1	161.8	160.8	143.1
	15	160.7	188.3	168.1	170.8	143.1
	30	158.8	167.1	165.3	161.3	143.1
	45	160.5	171.3	166.5	161.5	143.1
	90	163.5	155.7	162.3	165.8	143.1
Adjusted	No linker	2.7				
	Time / min	0.2 eq	0.5 eq	1 eq	2 eq	Control
	0	29.3	40.7	32.3	28.3	2.7
	5	25.6	30.7	21.4	20.4	2.7
	15	20.3	47.9	27.7	30.4	2.7
	30	18.4	26.7	24.9	20.9	2.7
	45	20.1	30.9	26.1	21.1	2.7
	90	23.1	15.3	21.9	25.4	2.7
