Quality Indicator	Sample Name	Z-Average (nm)	Peak 1 Mean by Intensity ordered by area (nm)	Polydispersity Index (PI)
GoodData	Ext 1 Control 1	146.5	153.1	0.01819
GoodData	Ext 1 Control 2	147.1	155.7	0.03829
GoodData	Ext 1 Control 3	151	156.9	0.003119
GoodData	Ext 1 30 bp Junction 4000	159.9	171	0.05547
GoodData	Ext 1 30 bp Junction 1000	176.4	186.4	0.02511
GoodData	Ext 1 30 bp Junction 200	182	189.4	0.008573
GoodData	Ext 1 30 bp Junction 40	173.3	183.1	0.02577
GoodData	Ext 2 Control 1	145.9	155.9	0.043
GoodData	Ext 2 Control 2	154.2	162	0.01464
GoodData	Ext 2 Control 3	153.2	159.7	0.00402
GoodData	Ext 2 30 bp Junction 4000	160.9	169.9	0.03011
GoodData	Ext 2 30 bp Junction 1000	180.7	191	0.02274
GoodData	Ext 2 30 bp Junction 200	180.5	192.6	0.05445
GoodData	Ext 2 30 bp Junction 40	176.7	188.4	0.04415
GoodData	Ext 3 Control 1	149.1	160.3	0.06563
GoodData	Ext 3 Control 2	159.1	166.4	0.01591
GoodData	Ext 3 Control 3	156.4	164.3	0.02236
GoodData	Ext 3 30 bp Junction 4000	165	173.4	0.03533
GoodData	Ext 3 30 bp Junction 1000	180.7	188.7	0.007163
GoodData	Ext 3 30 bp Junction 200	156.2	167.6	0.05596
GoodData	Ext 3 30 bp Junction 40	182.7	192.2	0.01875
