Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 1 Mean by Intensity ordered by area (nm)	Zeta Potential (mV)	Conductivity (mS/cm)
AdviceAvailable	Size	Completed	Ext 1 Ctrl 1	27/06/2023 14:12	27/06/2023 14:12	25	171.2	0.2296	100	233.3		
AdviceAvailable	Zeta	Completed	Ext 1 Ctrl 1	27/06/2023 14:14	27/06/2023 14:14	25					-13.41	7.895
GoodData	Size	Completed	Ext 1 1:20 DNA:Lipid	27/06/2023 14:19	27/06/2023 14:19	25	164.8	0.1212	100	189.6		
AdviceAvailable	Zeta	Completed	Ext 1 1:20 DNA:Lipid	27/06/2023 14:21	27/06/2023 14:21	25					-37.63	8.194
GoodData	Size	Completed	Ext 1 1:100 DNA:Lipid	27/06/2023 14:23	27/06/2023 14:23	25.02	174	0.1558	100	190.7		
GoodData	Zeta	Completed	Ext 1 1:100 DNA:Lipid	27/06/2023 14:25	27/06/2023 14:25	25					-41.32	7.953
GoodData	Size	Completed	Ext 1 1:500 DNA:Lipid	27/06/2023 14:27	27/06/2023 14:27	25	168.5	0.1024	100	187.8		
AdviceAvailable	Zeta	Completed	Ext 1 1:500 DNA:Lipid	27/06/2023 14:29	27/06/2023 14:29	25.01					-36.22	7.886
GoodData	Size	Completed	Ext 1 1:2000 DNA:Lipid	27/06/2023 14:32	27/06/2023 14:32	25.01	149.6	0.08881	100	165.5		
AdviceAvailable	Zeta	Completed	Ext 1 1:2000 DNA:Lipid	27/06/2023 14:34	27/06/2023 14:34	25					-26.7	7.946
AdviceAvailable	Size	Completed	Ext 1 Ctrl 2	27/06/2023 14:37	27/06/2023 14:37	25.01	149.7	0.202	97.78	164.7		
GoodData	Zeta	Completed	Ext 1 Ctrl 2	27/06/2023 14:39	27/06/2023 14:39	25					-11.69	8.004
