Quality Indicator	Measurement Type	Sample Name	Measurement Start Date And Time	Temperature (C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Ext 1 Ctrl	16/08/2023 14:13	25	141.3	0.06519	100	152.7
GoodData	Size	Ext 1 0bp 0HCl	16/08/2023 14:19	25	158.7	0.05453	100	170
GoodData	Size	Ext 1 0bp 3HCl	16/08/2023 14:21	25	155.4	0.03928	100	164.4
GoodData	Size	Ext 1 0bp 6HCl	16/08/2023 14:22	25	153.4	0.04141	100	163.1
GoodData	Size	Ext 1 0bp 9HCl	16/08/2023 14:24	25	153.8	0.05899	100	166.1
GoodData	Size	Ext 1 0bp 12HCl	16/08/2023 14:25	25	149.8	0.04336	100	159.2
GoodData	Size	Ext 1 0bp 15HCl	16/08/2023 14:27	25	149.6	0.06303	100	161.8
GoodData	Size	Ext 1 15bp 0HCl	16/08/2023 14:30	25	161.5	0.04159	100	172.5
GoodData	Size	Ext 1 15bp 3HCl	16/08/2023 14:31	25	158	0.08735	100	174.3
GoodData	Size	Ext 1 15bp 6HCl	16/08/2023 14:33	25	158.5	0.06886	100	171.9
GoodData	Size	Ext 1 15bp 9HCl	16/08/2023 14:35	25	155.8	0.04643	100	166.7
GoodData	Size	Ext 1 15bp 12HCl	16/08/2023 14:37	25	158.7	0.07055	100	172.6
GoodData	Size	Ext 1 15bp 15HCl	16/08/2023 14:39	25	141.7	0.02604	100	150
GoodData	Size	Ext 1 30bp 0HCl	16/08/2023 14:42	25	163.9	0.03794	100	175
GoodData	Size	Ext 1 30bp 3HCl	16/08/2023 14:44	25	164.5	0.0119	100	172.4
GoodData	Size	Ext 1 30bp 6HCl	16/08/2023 14:46	25	161.8	0.07255	100	175.8
GoodData	Size	Ext 1 30bp 9HCl	16/08/2023 14:47	25	158.7	0.016	100	167
GoodData	Size	Ext 1 30bp 12HCl	16/08/2023 14:49	25	162.6	0.03638	100	173.2
GoodData	Size	Ext 1 30bp 15HCl	16/08/2023 14:51	25	155.5	0.09761	100	172.2
GoodData	Size	Ext 1 42bp 0HCl	16/08/2023 14:54	25	170.7	0.006415	100	177.2
GoodData	Size	Ext 1 42bp 3HCl	16/08/2023 14:55	25	168.3	0.04867	100	180.5
GoodData	Size	Ext 1 42bp 6HCl	16/08/2023 14:57	25	164.5	0.03799	100	174.3
GoodData	Size	Ext 1 42bp 9HCl	16/08/2023 14:59	25	167.2	0.009292	100	174
GoodData	Size	Ext 1 42bp 12HCl	16/08/2023 15:01	25	157.5	0.05628	100	168.4
GoodData	Size	Ext 1 42bp 15HCl	16/08/2023 15:03	25	157.9	0.05892	100	169.4
GoodData	Size	Ext 2 Ctrl	16/08/2023 15:05	25	136	0.09404	100	150.7
GoodData	Size	Ext 2 0bp 0HCl	16/08/2023 15:08	25	154.3	0.0774	100	169.2
GoodData	Size	Ext 2 0bp 3HCl	16/08/2023 15:10	25	153.6	0.03772	100	163.1
GoodData	Size	Ext 2 0bp 6HCl	16/08/2023 15:11	25	150.3	0.05306	100	161.8
GoodData	Size	Ext 2 0bp 9HCl	16/08/2023 15:13	25	151.7	0.04658	100	161.7
GoodData	Size	Ext 2 0bp 12HCl	16/08/2023 15:14	25	149.6	0.03662	100	159.1
GoodData	Size	Ext 2 0bp 15HCl	16/08/2023 15:16	25	148.6	0.07544	100	161.7
GoodData	Size	Ext 2 15bp 0HCl	16/08/2023 15:19	25	159.7	0.08418	100	173.8
GoodData	Size	Ext 2 15bp 3HCl	16/08/2023 15:21	25	159.2	0.01667	100	165.3
GoodData	Size	Ext 2 15bp 6HCl	16/08/2023 15:22	25	159.1	0.07146	100	173.4
GoodData	Size	Ext 2 15bp 9HCl	16/08/2023 15:25	25	160.1	0.0648	100	173.4
GoodData	Size	Ext 2 15bp 12HCl	16/08/2023 15:27	25	153.5	0.07578	100	166.2
GoodData	Size	Ext 2 15bp 15HCl	16/08/2023 15:29	25	154.4	0.1143	100	175.3
GoodData	Size	Ext 2 30bp 0HCl	16/08/2023 15:31	25	172.5	0.02322	100	182.3
GoodData	Size	Ext 2 30bp 3HCl	16/08/2023 15:33	25	166.8	0.05465	100	179.2
GoodData	Size	Ext 2 30bp 6HCl	16/08/2023 15:35	25	164.2	0.06163	100	175.7
GoodData	Size	Ext 2 30bp 9HCl	16/08/2023 15:36	25	157	0.08283	100	172.2
GoodData	Size	Ext 2 30bp 12HCl	16/08/2023 15:37	25	160.4	0.08041	100	175
GoodData	Size	Ext 2 30bp 15HCl	16/08/2023 15:39	25	154.6	0.03737	100	164.5
GoodData	Size	Ext 2 42bp 0HCl	16/08/2023 15:42	25	180.9	0.003205	100	188.5
GoodData	Size	Ext 2 42bp 3HCl	16/08/2023 15:43	25	176.1	0.01922	100	186
GoodData	Size	Ext 2 42bp 6HCl	16/08/2023 15:44	25	169.3	0.01167	100	177.8
GoodData	Size	Ext 2 42bp 9HCl	16/08/2023 15:46	25	165.5	0.02816	100	175.1
GoodData	Size	Ext 2 42bp 12HCl	16/08/2023 15:48	25	163.7	0.06288	100	177.1
GoodData	Size	Ext 2 42bp 15HCl	16/08/2023 15:49	25	156.1	0.06914	100	169.3
GoodData	Size	Ext 3 Ctrl	24/08/2023 14:03	25	139.9	0.1277	100	143.9
GoodData	Size	Ext 3 0bp 0HCl	24/08/2023 14:05	25	161.7	0.09402	100	179.8
GoodData	Size	Ext 3 0bp 3HCl	24/08/2023 14:07	25	157.2	0.0566	100	169
GoodData	Size	Ext 3 0bp 6HCl	24/08/2023 14:09	25	155.3	0.09143	100	172.5
GoodData	Size	Ext 3 0bp 9HCl	24/08/2023 14:10	25	152	0.03405	100	160.7
GoodData	Size	Ext 3 0bp 12HCl	24/08/2023 14:12	25	151	0.07421	100	163.7
GoodData	Size	Ext 3 0bp 15HCl	24/08/2023 14:14	25	146.7	0.08986	100	161.6
GoodData	Size	Ext 3 15bp 0HCl	24/08/2023 14:15	25	174.6	0.1118	100	196.4
GoodData	Size	Ext 3 15bp 3HCl	24/08/2023 14:17	25	165.1	0.06996	100	180.7
GoodData	Size	Ext 3 15bp 6HCl	24/08/2023 14:19	25	162.7	0.06149	100	175.8
GoodData	Size	Ext 3 15bp 9HCl	24/08/2023 14:20	25	161.2	0.07609	100	176.3
GoodData	Size	Ext 3 15bp 12HCl	24/08/2023 14:22	25	154.1	0.09479	100	171.7
GoodData	Size	Ext 3 15bp 15HCl	24/08/2023 14:24	25	151.4	0.1178	100	172.7
GoodData	Size	Ext 3 30bp 0HCl	24/08/2023 14:26	25	178.8	0.04034	100	190.1
GoodData	Size	Ext 3 30bp 3HCl	24/08/2023 14:27	25	171.3	0.06449	100	186.1
GoodData	Size	Ext 3 30bp 6HCl	24/08/2023 14:30	25	166.7	0.05495	100	178.7
GoodData	Size	Ext 3 30bp 9HCl	24/08/2023 14:31	25	159.5	0.08362	100	174.9
GoodData	Size	Ext 3 30bp 12HCl	24/08/2023 14:33	25	157.1	0.0532	100	168.9
GoodData	Size	Ext 3 30bp 15HCl	24/08/2023 14:35	25	153.4	0.06938	100	166.3
GoodData	Size	Ext 3 42bp 0HCl	24/08/2023 14:37	25	185.4	0.06539	100	201.1
GoodData	Size	Ext 3 42bp 3HCl	24/08/2023 14:40	25	171.4	0.08499	100	186.8
GoodData	Size	Ext 3 42bp 6HCl	24/08/2023 14:41	25	171.1	0.05699	100	184.4
GoodData	Size	Ext 3 42bp 9HCl	24/08/2023 14:43	25	163.9	0.05073	100	175.6
GoodData	Size	Ext 3 42bp 12HCl	24/08/2023 14:45	25	160.7	0.0324	100	170.1
GoodData	Size	Ext 3 42bp 15HCl	24/08/2023 14:47	25	157.5	0.04451	100	167.6
