Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample B6,,Sample B7,,Sample B8,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,Sample C6,,Sample C7,,Sample C8,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,71.75299835,0.02195833251,22.14044571,0.04291666672,24.50589943,0.06408333033,20.9492588,0.08462499827,102.899147,0.105250001,38.13986588,0.1264166683,24.0532608,0.1475833207,27.94901466,0.3202500045,85.12353516,0.2990833223,22.76825142,0.2784166634,26.69989014,0.2575833201,24.3853302,0.2360833287,69.42328644,0.2159166634,46.95574188,0.1952916682,33.28001022,0.1739583313,32.21180725,0.3466458321,74.29441833,0.3676666617,28.18775368,0.3878333271,32.65497589,0.4092499912,32.30617905,0.4304166734,71.28086853,0.4512500167,53.41372299,0.4724166691,44.43462372,0.4927500188,42.16383362,
1.000833273,93.07656097,1.021312475,21.8095417,1.041812539,23.89888763,1.062979221,20.88747597,1.083500028,136.4916229,1.104791641,57.19626617,1.12522912,24.11579323,1.14706254,31.18120003,1.317895889,98.00648499,1.29629159,23.61205864,1.275479078,26.16507912,1.254666686,24.88660049,1.23379159,86.96738434,1.212958217,62.29442978,1.192124963,45.73543167,1.171625018,35.48151016,1.342458367,85.38260651,1.362979174,26.81723595,1.383791566,33.12338257,1.405145764,31.27830124,1.425312519,84.39867401,1.446333289,69.90555573,1.467124939,57.46353531,1.488333344,42.3271637,
2.000833273,101.0211411,2.020229101,21.80239296,2.041729212,23.39427567,2.062208414,20.52931404,2.082999945,159.5216522,2.104479313,68.1496582,2.124645948,24.39484978,2.145375013,34.19197083,2.317874908,108.6993332,2.297541618,22.83056068,2.276396036,26.31022453,2.25562501,23.52539253,2.234479189,95.46361542,2.214145899,75.49884033,2.192541838,53.24961472,2.171979189,38.03044891,2.342812538,91.42169189,2.364145994,27.03911591,2.385291576,32.83441544,2.406291723,30.41825104,2.427208424,93.6383667,2.447812319,75.45405579,2.467979193,62.36357498,2.48931241,43.42995071,
3.000833273,104.3868942,3.021625042,22.65723991,3.042458296,24.04328346,3.063291788,20.2735672,3.084479332,171.2349396,3.104812622,75.81530762,3.125458241,24.39847946,3.146312475,35.6375618,3.317124844,113.0757751,3.295958519,23.37015915,3.275458336,25.04307365,3.254145861,24.63505745,3.233479023,102.2147522,3.212458372,82.55206299,3.19197917,59.19084549,3.171458483,40.44039536,3.341624975,96.62761688,3.362374783,26.77651787,3.382999897,32.09245682,3.404374838,30.86623955,3.424562693,97.04866791,3.445499897,79.26198578,3.466312408,64.81393433,3.487791777,43.07648468,
4.000833511,110.0387039,4.021729469,21.89653397,4.042562485,23.58771515,4.063562393,20.52543068,4.084562302,179.8210297,4.106062412,81.12625122,4.126625061,23.91819954,4.147791386,37.64532471,4.319145679,117.6639099,4.299312115,22.19624901,4.27814579,25.53160858,4.257958412,24.41592026,4.236645699,106.1761703,4.216291428,87.10351563,4.194624901,60.73703384,4.174312592,42.87916946,4.343645573,99.6104126,4.364999771,26.05288696,4.386041641,32.40227509,4.406374931,31.42109108,4.42737484,103.4080734,4.448729038,83.11167908,4.468791485,69.85974884,4.48979187,42.37399673,
5.000833035,111.5530319,5.021458626,21.52839661,5.042645931,23.43932724,5.063812256,20.26843834,5.083812237,182.8448944,5.105145931,85.11433411,5.125458241,23.38828278,5.147000313,38.39230728,5.319124699,122.1563339,5.298958302,22.68624115,5.277625084,26.06295013,5.256791592,23.93150139,5.235625267,112.3262634,5.214729309,91.69152069,5.194229126,64.60757446,5.172874928,45.72445297,5.345791817,104.4916153,5.366812706,26.47183609,5.386645794,34.05550385,5.407812595,32.06035614,5.428479195,107.1801834,5.449145794,84.16635895,5.470666409,68.59523773,5.491166592,42.69382095,
6.000833035,112.8876801,6.021312237,21.70366669,6.04181242,24.16520691,6.062479019,19.44633102,6.082479477,184.5501862,6.103333473,89.38669586,6.124000072,23.71616745,6.144999981,38.05236435,6.31481266,125.1352997,6.29447937,23.03190994,6.273291588,26.73260117,6.252958298,23.82398796,6.232458591,113.7964935,6.21164608,94.81782532,6.190562248,64.82213593,6.169166565,46.10124588,6.341478825,106.241684,6.361812115,26.79552078,6.382500172,32.76224899,6.404229164,30.40859222,6.424562454,107.7503891,6.445979118,88.61204529,6.466291904,70.89872742,6.486958504,43.71432495,
7.000833035,112.9188995,7.020312309,22.18484688,7.040978909,23.22252846,7.061958313,21.03497505,7.082791805,192.4695435,7.103478909,92.89096832,7.12429142,23.26272011,7.144958496,39.28251266,7.314478874,126.2340393,7.293979168,22.50777054,7.273478985,26.22272491,7.252812862,23.65538979,7.231645584,120.2314301,7.210958481,98.19381714,7.190458298,68.5307312,7.169624805,47.04845047,7.33947897,110.0995636,7.359666348,26.78900337,7.380333424,32.84267807,7.400791645,31.36313248,7.422041893,110.8535385,7.443375111,87.61083984,7.463562489,72.54920959,7.485062599,43.1272316,
8.000833511,117.0549393,8.020625114,21.07074356,8.04145813,24.57930756,8.062458038,21.09127426,8.0834589,192.3477783,8.103479385,95.45314789,8.124479294,23.8503952,8.145458221,39.68758774,8.317458153,131.4942017,8.296124458,23.00314713,8.275291443,26.15964508,8.254458427,24.09280205,8.233958244,120.3228683,8.213291168,99.76745605,8.192791939,68.35381317,8.17195797,46.28982925,8.341291428,113.7659683,8.361958504,26.36036873,8.382958412,33.072052,8.403624535,30.40395355,8.423978806,113.7421265,8.444833755,91.8681488,8.466562271,73.64418793,8.487125397,43.04076004,
