Sample H9,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,187.374176,0.02279166505,32.47455215,0.04335416481,161.6866608,0.06512500346,31.86732101,
0.5008333325,184.6968079,0.5212500095,33.76032639,0.5429166555,163.43367,0.5637708306,32.50235748,
1.000833273,186.6947021,1.022770762,33.39692307,1.042937517,163.8072357,1.064499974,31.67592812,
1.500833392,184.6968384,1.522499919,32.67372894,1.543333292,170.4521027,1.564166665,32.3404541,
2.000833273,184.2934723,2.022520781,33.49166489,2.043333292,173.3294067,2.064187527,32.35135651,
2.500833273,183.9685211,2.521604061,33.67425919,2.543499947,167.7777252,2.564354181,31.31243515,
3.000833273,184.2437897,3.021520853,34.41956711,3.04216671,169.2262268,3.064020872,32.08892822,
3.500833273,185.5548248,3.522374868,33.17478561,3.543208361,173.031723,3.564604282,33.36795807,
4.000833511,185.6299133,4.021416664,33.39086533,4.04333353,171.7933197,4.064166546,33.28886795,
4.500833035,185.1075897,4.522041798,33.79397964,4.544000149,174.7061005,4.564833641,32.44347763,
5.000833035,183.8123932,5.02068758,33.67318726,5.042666435,179.7983398,5.063499928,32.70756149,
5.500833035,184.013916,5.522020817,32.69754791,5.543937683,175.6074219,5.564771175,32.20670319,
6.000833035,184.612854,6.020208359,33.06867981,6.042104244,179.3749237,6.063000202,32.81589508,
6.500833035,186.5634918,6.521604538,33.30049515,6.542437553,177.6800995,6.564332962,33.29511261,
7.000833035,183.617157,7.020874977,33.13425446,7.041708469,178.8102112,7.063666821,33.18805313,
7.500833035,187.2671661,7.522187233,33.6393013,7.543020725,181.738266,7.564916611,31.90515518,
8.000833511,183.991745,8.022333145,33.61940765,8.043166161,183.1296692,8.065020561,33.24555588,
8.500833511,186.0228271,8.521437645,33.42545319,8.54227066,177.6084747,8.564166069,33.30813217,
9.000833511,186.7873383,9.021604538,33.57109833,9.043499947,177.5377197,9.064332962,32.94597626,
9.500833511,184.4052124,9.522874832,34.21084976,9.543749809,177.7414093,9.564583778,32.74497986,
10.00083351,186.131546,10.02204227,32.65388489,10.04291725,176.3732758,10.06377029,33.02699661,
10.50083351,183.8870544,10.52118778,33.63318253,10.54204178,178.4416656,10.56393719,33.01029587,
11.00083351,182.6837006,11.02135372,32.80014801,11.04118729,176.1033783,11.06304073,33.96667862,
11.50083351,186.5970917,11.5215416,33.17356491,11.54343796,177.9986572,11.56427097,34.05373383,
12.00083351,181.9697876,12.02283287,33.56789398,12.04366684,176.767334,12.06552124,34.0823288,
12.50083351,185.09935,12.52108383,32.52607727,12.54191685,177.1094055,12.56277084,33.15118027,
13.00083351,185.2911682,13.02133369,32.81723022,13.04216671,173.1637573,13.06300068,33.64888763,
