Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,Sample G1,,Sample G2,,Sample G3,,Sample G4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.008333333768,139.0307007,0.0442083329,87.78247833,0.08008333296,58.12978363,0.1160000041,433.6183167,0.263166666,141.9229584,0.2277083397,95.39775848,0.1923333257,55.90432358,0.1558958441,476.9056396,0.3027500212,114.2866135,0.3381666839,70.47835541,0.3748750091,53.76582336,0.4101666808,402.6454163,
1.008333325,134.8864136,1.044208288,88.00456238,1.080708265,60.61572266,1.11604166,430.2121277,1.263062596,141.3227692,1.227645874,94.06446075,1.192208409,57.16848755,1.156708241,388.1160889,1.302541614,117.0157013,1.338791609,73.75688171,1.374729156,55.63744354,1.409875035,405.2625427,
2.008333445,132.8185272,2.043562412,89.70110321,2.079645872,61.80293655,2.114875078,428.2539368,2.262124777,143.6017609,2.226708174,94.92218018,2.19104147,57.50777817,2.155291796,445.1313171,2.302041531,117.7144547,2.337708235,76.88381958,2.373874903,57.01038742,2.409229279,403.2857971,
3.008333445,131.4701691,3.043374777,90.06356049,3.078750134,62.43100357,3.115041494,427.558136,3.264458179,144.1731262,3.229041576,96.08318329,3.19256258,57.45289612,3.157416821,445.3546143,3.306145668,117.9935455,3.34156251,78.5014267,3.377041578,56.87101746,3.412208319,404.8085327,
4.008333206,130.4125977,4.043291569,89.7244339,4.078729153,60.74229813,4.115208626,426.3390198,4.263208389,144.7527924,4.227729321,95.80220795,4.191792011,57.81245041,4.155874729,443.266449,4.304875374,120.0456085,4.340250015,79.46546173,4.376729488,57.19339371,4.412208557,404.1455994,
5.008333206,129.5757904,5.044041634,90.36667633,5.079375267,61.33827591,5.115395546,435.7600098,5.262416363,144.5218048,5.226541519,94.80078888,5.191208363,57.93813324,5.155062199,444.1207275,5.301708698,119.2489548,5.337646008,81.52050781,5.373562813,57.58514786,5.409416676,410.0631409,
6.008333206,128.5273132,6.045562744,90.59103394,6.081250191,60.95932007,6.116958141,434.4067383,6.265458107,143.823761,6.229083061,96.20545959,6.193583012,58.21259308,6.158395767,442.2264099,6.307645798,119.4750137,6.343729019,81.54206085,6.378583431,56.77320862,6.414958,409.9813232,
7.008333206,128.9776306,7.043916702,89.07016754,7.079375267,61.11044693,7.115791798,439.658783,7.263208389,144.0491028,7.227208614,96.14320374,7.191792011,58.99946594,7.155875206,444.2488403,7.303583145,117.2137756,7.338874817,81.8199234,7.375208378,58.17764664,7.411458492,412.0683594,
8.008333206,129.5962372,8.045042038,90.47413635,8.080979347,62.0463562,8.117062569,441.7739563,8.26491642,143.8338013,8.229562759,96.34612274,8.194396019,58.40191269,8.158207893,447.5328369,8.304562569,117.755043,8.341041565,83.83068848,8.376395226,58.14928436,8.411874771,415.9518127,
