Size (d.nm) - 30 bp Before Dextrin [Steady state]	Intensity (Percent) - 30 bp Before Dextrin [Steady state]	Size (d.nm) - 30 bp Dextrin 1min [Steady state]	Intensity (Percent) - 30 bp Dextrin 1min [Steady state]	Size (d.nm) - 30 bp Dextrin 5min [Steady state]	Intensity (Percent) - 30 bp Dextrin 5min [Steady state]	Size (d.nm) - Ctrl Before Dextrin [Steady state]	Intensity (Percent) - Ctrl Before Dextrin [Steady state]	Size (d.nm) - Ctrl Dextrin 1min [Steady state]	Intensity (Percent) - Ctrl Dextrin 1min [Steady state]	Size (d.nm) - 30 bp Dextrin 30min [Steady state]	Intensity (Percent) - 30 bp Dextrin 30min [Steady state]	Size (d.nm) - Ctrl Dextrin 10min [Steady state]	Intensity (Percent) - Ctrl Dextrin 10min [Steady state]	Size (d.nm) - Ctrl Dextrin 30min [Steady state]	Intensity (Percent) - Ctrl Dextrin 30min [Steady state]
0.3	0	0.3	0	0.3	0	0.3	0	0.3	0	0.3	0	0.3	0	0.3	0
0.3217	0	0.3217	0	0.3217	0	0.3217	0	0.3217	0	0.3217	0	0.3217	0	0.3217	0
0.345	0	0.345	0	0.345	0	0.345	0	0.345	0	0.345	0	0.345	0	0.345	0
0.37	0	0.37	0	0.37	0	0.37	0	0.37	0	0.37	0	0.37	0	0.37	0
0.3968	0	0.3968	0	0.3968	0	0.3968	0	0.3968	0	0.3968	0	0.3968	0	0.3968	0
0.4255	0	0.4255	0	0.4255	0	0.4255	0	0.4255	0	0.4255	0	0.4255	0	0.4255	0
0.4563	0	0.4563	0	0.4563	0	0.4563	0	0.4563	0	0.4563	0	0.4563	0	0.4563	0
0.4893	0	0.4893	0	0.4893	0	0.4893	0	0.4893	0	0.4893	0	0.4893	0	0.4893	0
0.5248	0	0.5248	0	0.5248	0	0.5248	0	0.5248	0	0.5248	0	0.5248	0	0.5248	0
0.5627	0	0.5627	0	0.5627	0	0.5627	0	0.5627	0	0.5627	0	0.5627	0	0.5627	0
0.6035	0	0.6035	0	0.6035	0	0.6035	0	0.6035	0	0.6035	0	0.6035	0	0.6035	0
0.6472	0	0.6472	0	0.6472	0	0.6472	0	0.6472	0	0.6472	0	0.6472	0	0.6472	0
0.694	0	0.694	0	0.694	0	0.694	0	0.694	0	0.694	0	0.694	0	0.694	0
0.7443	0	0.7443	0	0.7443	0	0.7443	0	0.7443	0	0.7443	0	0.7443	0	0.7443	0
0.7982	0	0.7982	0	0.7982	0	0.7982	0	0.7982	0	0.7982	0	0.7982	0	0.7982	0
0.8559	0	0.8559	0	0.8559	0	0.8559	0	0.8559	0	0.8559	0	0.8559	0	0.8559	0
0.9179	0	0.9179	0	0.9179	0	0.9179	0	0.9179	0	0.9179	0	0.9179	0	0.9179	0
0.9844	0	0.9844	0	0.9844	0	0.9844	0	0.9844	0	0.9844	2.528	0.9844	0	0.9844	0
1.056	0	1.056	0	1.056	0	1.056	0	1.056	0	1.056	4.067	1.056	0	1.056	0
1.132	0	1.132	0	1.132	0	1.132	0	1.132	0	1.132	2.69	1.132	0	1.132	0
1.214	0	1.214	0	1.214	0	1.214	0	1.214	0	1.214	0.2763	1.214	0	1.214	0.02813
1.302	0	1.302	0.5901	1.302	0	1.302	0	1.302	0	1.302	0	1.302	0.05492	1.302	0.2212
1.396	0	1.396	1.632	1.396	0.5648	1.396	0	1.396	0.6688	1.396	0	1.396	0.8716	1.396	0.5594
1.497	0	1.497	2.096	1.497	1.689	1.497	0	1.497	1.473	1.497	0	1.497	1.72	1.497	0.9272
1.606	0	1.606	1.557	1.606	2.335	1.606	0	1.606	1.698	1.606	0	1.606	1.869	1.606	1.182
1.722	0	1.722	0.5471	1.722	1.925	1.722	0	1.722	1.186	1.722	0	1.722	1.234	1.722	1.218
1.846	0	1.846	0	1.846	0.8232	1.846	0	1.846	0.4019	1.846	0	1.846	0.3778	1.846	1.009
1.98	0	1.98	0	1.98	0	1.98	0	1.98	0	1.98	0	1.98	0	1.98	0.6301
2.124	0	2.124	0	2.124	0	2.124	0	2.124	0	2.124	0	2.124	0	2.124	0.2364
2.277	0	2.277	0	2.277	0	2.277	0	2.277	0	2.277	0	2.277	0	2.277	0
2.442	0	2.442	0	2.442	0	2.442	0	2.442	0	2.442	0	2.442	0	2.442	0
2.619	0	2.619	0	2.619	0	2.619	0	2.619	0	2.619	0	2.619	0	2.619	0
2.809	0	2.809	0	2.809	0	2.809	0	2.809	0	2.809	0	2.809	0	2.809	0
3.012	0	3.012	0	3.012	0	3.012	0	3.012	0	3.012	0	3.012	0	3.012	0
3.23	0	3.23	0	3.23	0	3.23	0	3.23	0	3.23	0	3.23	0	3.23	0
3.464	0	3.464	0	3.464	0	3.464	0	3.464	0	3.464	0	3.464	0	3.464	0
3.714	0	3.714	0	3.714	0	3.714	0	3.714	0	3.714	0	3.714	0	3.714	0
3.983	0	3.983	0	3.983	0	3.983	0	3.983	0	3.983	0	3.983	0	3.983	0
4.272	0	4.272	0	4.272	0	4.272	0	4.272	0	4.272	0	4.272	0	4.272	0
