Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.008333333768,44.06788254,0.02716666646,211.5836945,0.06224999949,44.2220192,0.08112499863,153.1190643,
0.5083333254,44.24414825,0.5272291899,211.5626373,0.5624791384,46.28048325,0.5813958645,155.5059052,
1.008333325,44.01493454,1.02722919,213.8484039,1.063229203,47.08040619,1.08214581,154.4317169,
1.508333325,43.93698883,1.52722919,212.3964081,1.56308341,47.47201538,1.582000017,153.7962494,
2.008333445,43.76783752,2.027229071,212.1781616,2.06308341,48.2063179,2.082000017,154.4500275,
2.508333445,44.04337692,2.527229071,214.3823853,2.563666821,49.39437103,2.582562447,153.1744843,
3.008333445,43.77616119,3.027229071,212.95961,3.064916849,50.16001511,3.083833218,152.8991394,
3.508333445,43.45690536,3.527249813,212.9767303,3.564416647,50.5342598,3.583333254,152.9496002,
4.008333206,44.26378632,4.027228832,215.4660187,4.062291622,51.11187744,4.081208229,153.243103,
4.508333206,44.13367081,4.527229309,214.660675,4.562583447,51.0227623,4.581500053,152.9132843,
5.008333206,44.19227982,5.027229309,213.2767181,5.063583374,51.98643494,5.082499981,153.0663147,
5.508333206,43.97888565,5.527229309,214.4343872,5.56329155,52.66237259,5.582208157,152.724762,
6.008333206,43.96437836,6.027229309,214.0018921,6.062583447,52.66801834,6.081500053,151.4835663,
6.508333206,43.95835495,6.527229309,212.9678192,6.564312935,52.90755081,6.583229065,149.7932892,
7.008333206,44.45829773,7.027229309,213.4990692,7.062416553,53.1451683,7.081333637,150.0559998,
7.508333206,44.10071182,7.527229309,213.2965546,7.562916756,53.30893707,7.581833363,148.3579865,
8.008333206,44.14056778,8.027229309,212.3049622,8.063979149,53.5331459,8.082896233,149.4289551,
8.508333206,44.46234894,8.527229309,213.0794373,8.563416481,53.46409225,8.582333565,149.1616669,
