,DNA Around Equator,DNA Around Equator (smoothed),Vesicle Circumference,Batch,Condition,File Name
0,42,42,204.71894002806613,1,1,Condition 1 Batch 1 Transform 8 52k.tif
1,27,31,191.18922947891477,2,1,Condition 1 Batch 2 Transform 2 30k.tif
2,56,61,270.434676981087,1,1,Condition 1 Batch 1 Transform 2 52k.tif
3,40,36,258.83778222467157,2,1,Condition 1 Batch 2 Transform 1 30k.tif
4,19,15,105.50106266762286,2,1,Condition 1 Batch 2 Transform 4 30k.tif
5,18,22,156.07640924421244,1,2,Condition 2 Batch 1 Transform 8 42k.png
6,78,61,396.38983947437697,2,1,Condition 1 Batch 2 Transform 6 30k.tif
7,32,37,202.14185230441825,1,2,Condition 2 Batch 1 Transform 7 52k.png
8,56,54,261.41486994831945,1,1,Condition 1 Batch 1 Transform 4 52k.tif
9,28,27,146.09019431507693,2,1,Condition 1 Batch 2 Transform 8 30k.tif
10,41,47,236.9325365736646,1,1,Condition 1 Batch 1 Transform 5 52k.tif
11,38,34,263.9919576719673,1,2,Condition 2 Batch 1 Transform 3 42k.png
12,21,24,91.32708018755953,1,1,Condition 1 Batch 1 Transform 3 52k.tif
13,37,51,231.77836112636885,1,2,Condition 2 Batch 1 Transform 2 52k.png
14,8,33,310.3795366976291,1,2,Condition 2 Batch 1 Transform 6 52k.png
15,30,33,259.15991819012754,1,2,Condition 2 Batch 1 Transform 4 42k.png
16,43,42,203.4303961662422,1,1,Condition 1 Batch 1 Transform 6 52k.tif
17,40,36,220.50360233540937,2,1,Condition 1 Batch 2 Transform 5 30k.tif
18,60,62,358.0556595851148,1,1,Condition 1 Batch 1 Transform 1 52k.tif
19,23,27,112.26591794219854,2,1,Condition 1 Batch 2 Transform 7 30k.tif
20,27,30,177.6595189297634,2,1,Condition 1 Batch 2 Transform 3 30k.tif
21,22,26,204.71894002806613,1,2,Condition 2 Batch 1 Transform 1 52k.png
22,146,26,283.32011559932636,1,2,Condition 2 Batch 1 Transform 5 52k.png
23,46,42,251.1065190537279,1,1,Condition 1 Batch 1 Transform 7 52k.tif
