User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 1249,,,
Test name: Nita-Liplysis,Date: 10/07/2024,Time: 16:05:32,,,
Fluorescence (FI),,,,,
,,,,,
Well Row,Well Col,Content, Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30)
,,Time [s],0,30,60
A,1,Sample X1,2322,2355,2344
A,2,Sample X2,1991,2085,2058
A,3,Sample X3,1950,1976,1939
A,4,Sample X4,1943,1889,1906
A,5,Sample X5,2181,2257,2229
A,6,Sample X6,4114,4088,4070
B,1,Sample X7,1889,1915,1943
B,2,Sample X8,1922,1947,1873
B,3,Sample X9,1574,1611,1595
B,4,Sample X10,1633,1626,1686
B,5,Sample X11,3622,3727,3762
B,6,Sample X12,4126,4099,4259
C,1,Sample X13,2588,2571,2558
C,2,Sample X14,2353,2429,2419
C,3,Sample X15,1954,1989,1986
C,4,Sample X16,1765,1772,1837
C,5,Sample X17,2250,2246,2280
C,6,Sample X18,3426,3506,3451
D,1,Sample X19,2190,2242,2155
D,2,Sample X20,1820,1831,1668
D,3,Sample X21,1819,1762,1674
D,4,Sample X22,1605,1579,1565
D,5,Sample X23,6268,6273,6164
D,6,Sample X24,3006,3050,2898
E,1,Sample X25,1741,1735,1751
E,2,Sample X26,1506,1477,1481
E,3,Sample X27,1574,1614,1604
E,4,Sample X28,1374,1395,1379
E,5,Sample X29,1989,2011,2023
E,6,Sample X30,3489,3556,3556
F,1,Sample X31,2152,2173,2189
F,2,Sample X32,1828,1810,1848
F,3,Sample X33,1359,1413,1427
F,4,Sample X34,1384,1407,1358
F,5,Sample X35,6065,6137,6187
F,6,Sample X36,3425,3509,3471
