User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 1247,,,
Test name: Nita-Liplysis,Date: 10/07/2024,Time: 15:28:03,,,
Fluorescence (FI),,,,,
,,,,,
Well Row,Well Col,Content, Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30)
,,Time [s],0,30,60
A,1,Sample X1,2214,2153,2166
A,2,Sample X2,1955,1962,1994
A,3,Sample X3,1929,1871,1925
A,4,Sample X4,1968,1964,1887
A,5,Sample X5,2070,2069,1997
A,6,Sample X6,3796,3708,3728
B,1,Sample X7,1727,1714,1678
B,2,Sample X8,1824,1857,1851
B,3,Sample X9,1517,1466,1522
B,4,Sample X10,1564,1595,1570
B,5,Sample X11,1746,1748,1766
B,6,Sample X12,3496,3481,3566
C,1,Sample X13,2408,2411,2401
C,2,Sample X14,2237,2189,2253
C,3,Sample X15,1848,1859,1918
C,4,Sample X16,1691,1746,1695
C,5,Sample X17,1957,2024,2024
C,6,Sample X18,3123,3194,3222
D,1,Sample X19,1990,1978,1933
D,2,Sample X20,1715,1710,1637
D,3,Sample X21,1790,1746,1689
D,4,Sample X22,1499,1539,1479
D,5,Sample X23,1881,1879,1810
D,6,Sample X24,2378,2418,2332
E,1,Sample X25,1555,1583,1602
E,2,Sample X26,1405,1396,1377
E,3,Sample X27,1560,1537,1570
E,4,Sample X28,1274,1316,1307
E,5,Sample X29,1707,1756,1728
E,6,Sample X30,3230,3225,3204
F,1,Sample X31,1735,1641,1690
F,2,Sample X32,1471,1477,1478
F,3,Sample X33,1391,1315,1342
F,4,Sample X34,1379,1321,1361
F,5,Sample X35,1326,1315,1326
F,6,Sample X36,3050,3048,3066
